subject-id,DSC,ASD,HD95,NSD
s0859_femur_left_msk,0.86,2.15,6.16,0.48
s0859_femur_right_msk,0.87,1.85,7.81,0.56
s0592_femur_left_msk,0.93,0.90,2.83,0.85
s0592_femur_right_msk,0.93,0.98,2.83,0.85
s0375_femur_left_msk,0.94,0.97,2.83,0.84
s0375_femur_right_msk,0.94,0.94,2.83,0.86
s0918_femur_left_msk,0.82,2.28,8.06,0.43
s0918_femur_right_msk,0.93,1.11,3.32,0.77
s0776_femur_left_msk,0.94,0.86,2.24,0.88
s0776_femur_right_msk,0.94,0.98,2.83,0.84
s0074_femur_left_msk,0.93,0.99,2.83,0.82
s0074_femur_right_msk,0.93,1.09,3.00,0.82
s1247_femur_left_msk,0.94,0.78,2.45,0.89
s1247_femur_right_msk,0.93,0.92,3.00,0.83
s0648_femur_left_msk,0.94,0.93,2.45,0.87
s0648_femur_right_msk,0.93,0.98,2.83,0.87
s1069_femur_left_msk,0.93,1.05,3.00,0.81
s1069_femur_right_msk,0.93,1.02,3.00,0.84
s0210_femur_left_msk,0.94,0.92,2.83,0.86
s0210_femur_right_msk,0.90,1.45,4.36,0.69
s0885_femur_left_msk,0.92,1.14,4.12,0.75
s0885_femur_right_msk,0.92,1.17,4.24,0.74
s0212_femur_left_msk,0.95,0.86,2.24,0.89
s0212_femur_right_msk,0.94,0.87,2.24,0.89
s1130_femur_left_msk,0.94,0.86,2.24,0.88
s1130_femur_right_msk,0.93,1.07,3.00,0.78
s0988_femur_left_msk,0.93,1.09,3.00,0.77
s0988_femur_right_msk,0.87,1.94,6.00,0.50
s1143_femur_left_msk,0.94,1.12,3.00,0.82
s1143_femur_right_msk,0.94,1.07,3.00,0.81
s0502_femur_left_msk,0.94,0.94,2.83,0.83
s0502_femur_right_msk,0.94,0.90,2.45,0.86
s0141_femur_left_msk,0.94,0.94,3.00,0.87
s0141_femur_right_msk,0.93,0.95,3.00,0.86
s1238_femur_left_msk,0.91,1.51,4.90,0.68
s1238_femur_right_msk,0.92,1.31,3.32,0.71
s0509_femur_left_msk,0.76,4.73,14.35,0.35
s0509_femur_right_msk,0.87,2.06,6.08,0.52
s1348_femur_left_msk,0.92,1.08,5.00,0.73
s1348_femur_right_msk,0.91,1.26,5.00,0.68
s0174_femur_left_msk,0.92,1.02,2.45,0.85
s0174_femur_right_msk,0.92,0.99,2.83,0.83
s1149_femur_left_msk,0.93,1.00,4.12,0.81
s1149_femur_right_msk,0.92,1.09,3.46,0.75
s0768_femur_left_msk,0.93,1.01,3.00,0.84
s0768_femur_right_msk,0.94,0.81,2.45,0.87
s1276_femur_left_msk,0.94,0.81,2.24,0.90
s1276_femur_right_msk,0.92,0.97,2.83,0.83
s0072_femur_left_msk,0.92,1.05,3.61,0.77
s0072_femur_right_msk,0.90,1.33,4.12,0.68
s0880_femur_left_msk,0.87,1.89,5.92,0.54
s0880_femur_right_msk,0.93,1.07,2.83,0.85
s0428_femur_left_msk,0.93,0.98,2.83,0.84
s0428_femur_right_msk,0.93,1.03,3.00,0.84
s0614_femur_left_msk,0.93,1.05,2.83,0.83
s0614_femur_right_msk,0.93,1.09,2.83,0.80
s0171_femur_left_msk,0.92,1.15,4.12,0.79
s0171_femur_right_msk,0.93,1.01,3.32,0.83
s0519_femur_left_msk,0.93,0.96,2.83,0.84
s0519_femur_right_msk,0.95,0.84,2.45,0.89
s0992_femur_left_msk,0.93,0.87,2.24,0.88
s0992_femur_right_msk,0.94,0.77,2.24,0.90
s1099_femur_left_msk,0.93,0.94,2.83,0.85
s1099_femur_right_msk,0.94,0.79,2.24,0.89
s0667_femur_left_msk,0.96,0.70,2.24,0.92
s0667_femur_right_msk,0.94,0.96,3.00,0.85
s1228_femur_left_msk,0.92,1.09,3.16,0.81
s1228_femur_right_msk,0.92,1.10,3.16,0.79
s0702_femur_left_msk,0.93,1.15,3.61,0.78
s0702_femur_right_msk,0.93,1.09,3.16,0.77
s0339_femur_left_msk,0.93,0.97,3.00,0.81
s0339_femur_right_msk,0.92,1.07,3.32,0.78
s1085_femur_left_msk,0.93,1.12,3.46,0.75
s1085_femur_right_msk,0.93,1.06,3.00,0.80
s1057_femur_left_msk,0.92,1.67,4.47,0.76
s1057_femur_right_msk,0.92,1.18,3.32,0.74
s0635_femur_left_msk,0.93,0.94,2.45,0.85
s0635_femur_right_msk,0.94,0.89,2.24,0.87
s0950_femur_left_msk,0.92,1.03,4.12,0.75
s0950_femur_right_msk,0.92,1.00,3.61,0.75
s0682_femur_left_msk,0.94,1.02,3.00,0.82
s0682_femur_right_msk,0.93,1.16,3.00,0.79
s0680_femur_left_msk,0.95,0.84,2.24,0.90
s0680_femur_right_msk,0.95,0.82,2.45,0.89
s0104_femur_left_msk,0.93,0.95,2.83,0.85
s0104_femur_right_msk,0.93,0.93,3.00,0.85
s0015_femur_left_msk,0.94,1.06,2.24,0.89
s0015_femur_right_msk,0.94,0.95,2.45,0.84
s0937_femur_left_msk,0.88,1.67,9.43,0.59
s0937_femur_right_msk,0.92,1.06,4.12,0.72
s0053_femur_left_msk,0.94,1.00,3.00,0.83
s0053_femur_right_msk,0.92,1.26,4.12,0.74
s1383_femur_left_msk,0.95,0.89,2.24,0.87
s1383_femur_right_msk,0.94,0.89,2.83,0.85
s1111_femur_left_msk,0.94,0.91,3.00,0.83
s1111_femur_right_msk,0.92,1.22,3.61,0.73
s0192_femur_left_msk,0.94,0.76,2.24,0.91
s0192_femur_right_msk,0.93,0.96,2.45,0.83
s0016_femur_left_msk,0.95,0.74,2.24,0.91
s0016_femur_right_msk,0.94,0.97,3.00,0.82
s0664_femur_left_msk,0.91,1.25,3.32,0.73
s0664_femur_right_msk,0.93,1.06,3.16,0.81
s1347_femur_left_msk,0.95,0.82,2.24,0.89
s1347_femur_right_msk,0.94,0.88,2.45,0.87
s1045_femur_left_msk,0.94,0.99,2.83,0.84
s1045_femur_right_msk,0.94,1.02,2.83,0.83
s0120_femur_left_msk,0.92,1.17,3.74,0.78
s0120_femur_right_msk,0.93,1.16,3.00,0.81
s0143_femur_left_msk,0.93,1.12,3.16,0.76
s0143_femur_right_msk,0.93,0.99,2.83,0.80
s0109_femur_left_msk,0.92,1.28,3.61,0.79
s0109_femur_right_msk,0.93,1.07,3.00,0.80
s0807_femur_left_msk,0.93,1.11,3.32,0.78
s0807_femur_right_msk,0.92,1.21,3.61,0.74
s0723_femur_left_msk,0.93,0.97,2.83,0.86
s0723_femur_right_msk,0.94,0.90,2.24,0.91
s1291_femur_left_msk,0.94,0.83,3.00,0.86
s1291_femur_right_msk,0.94,0.85,2.24,0.89
s0593_femur_left_msk,0.94,0.88,2.45,0.87
s0593_femur_right_msk,0.93,0.94,2.45,0.86
s0229_femur_left_msk,0.86,2.02,6.32,0.50
s0229_femur_right_msk,0.86,2.05,8.31,0.55
s1293_femur_left_msk,0.93,0.91,3.00,0.83
s1293_femur_right_msk,0.93,0.95,3.00,0.85
s0095_femur_left_msk,0.92,1.18,4.12,0.74
s0095_femur_right_msk,0.85,1.96,8.00,0.51
s0133_femur_left_msk,0.94,0.89,2.45,0.86
s0133_femur_right_msk,0.94,0.94,2.83,0.85
s0166_femur_left_msk,0.94,0.93,2.83,0.86
s0166_femur_right_msk,0.94,0.86,2.24,0.89
s0657_femur_left_msk,0.93,1.06,3.16,0.80
s0657_femur_right_msk,0.92,1.29,4.00,0.71
s0341_femur_left_msk,0.92,1.39,4.00,0.71
