subject-id,DSC,ASD,HD95,NSD
s0859,0.83,2.67,7.35,0.42
s0859,0.84,1.92,13.15,0.53
s0592,0.94,0.71,2.24,0.89
s0592,0.94,0.75,2.45,0.88
s0375,0.96,0.63,2.00,0.93
s0375,0.96,0.61,2.00,0.93
s0918,0.80,2.26,10.44,0.44
s0918,0.96,0.61,2.24,0.93
s0776,0.94,0.81,2.45,0.88
s0776,0.95,0.74,2.24,0.90
s0074,0.94,0.84,2.83,0.84
s0074,0.95,0.78,2.24,0.89
s1247,0.95,0.68,2.24,0.91
s1247,0.94,0.81,2.45,0.86
s0648,0.96,0.66,2.00,0.94
s0648,0.95,0.76,2.24,0.90
s1069,0.95,0.73,2.24,0.91
s1069,0.96,0.59,2.00,0.93
s0210,0.94,0.85,2.83,0.86
s0210,0.91,4.34,47.94,0.72
s0885,0.93,0.96,4.12,0.79
s0885,0.93,0.90,3.61,0.79
s0212,0.94,0.91,2.45,0.85
s0212,0.95,0.68,2.00,0.92
s1130,0.95,0.70,2.24,0.89
s1130,0.95,0.72,2.24,0.90
s0988,0.93,1.02,3.00,0.77
s0988,0.86,2.00,6.93,0.50
s1143,0.95,0.82,2.83,0.86
s1143,0.94,0.92,2.83,0.83
s0502,0.94,0.85,2.83,0.85
s0502,0.95,0.71,2.24,0.89
s0141,0.95,0.74,2.83,0.89
s0141,0.94,0.85,3.16,0.86
s1238,0.93,1.03,4.12,0.80
s1238,0.95,0.78,2.24,0.90
s0509,0.65,8.96,31.80,0.33
s0509,0.89,1.81,5.00,0.63
s1348,0.92,0.99,5.00,0.73
s1348,0.93,0.89,5.00,0.78
s0174,0.94,0.78,2.24,0.91
s0174,0.92,0.92,3.00,0.81
s1149,0.90,1.46,4.36,0.68
s1149,0.91,1.21,4.47,0.71
s0768,0.93,0.93,2.83,0.85
s0768,0.94,0.80,2.83,0.88
s1276,0.94,0.81,2.24,0.87
s1276,0.94,0.73,2.24,0.90
s0072,0.92,0.92,5.10,0.77
s0072,0.91,1.05,5.00,0.73
s0880,0.85,2.01,6.40,0.50
s0880,0.94,0.92,3.00,0.82
s0428,0.94,0.77,2.24,0.89
s0428,0.95,0.71,2.24,0.91
s0614,0.94,0.77,2.24,0.89
s0614,0.95,0.71,2.00,0.93
s0171,0.93,0.87,3.16,0.82
s0171,0.94,0.78,3.00,0.83
s0519,0.95,0.79,2.45,0.88
s0519,0.96,0.64,2.00,0.92
s0992,0.96,0.53,2.00,0.96
s0992,0.96,0.59,2.00,0.93
s1099,0.94,0.73,2.24,0.91
s1099,0.95,0.62,2.24,0.90
s0667,0.95,0.81,2.83,0.85
s0667,0.94,0.92,3.00,0.83
s1228,0.94,0.81,2.45,0.87
s1228,0.93,0.87,2.83,0.86
s0702,0.95,0.82,3.16,0.86
s0702,0.95,0.73,2.45,0.89
s0339,0.95,0.63,2.24,0.92
s0339,0.95,0.65,2.24,0.91
s1085,0.94,0.83,2.83,0.84
s1085,0.95,0.74,2.45,0.88
s1057,0.90,1.30,5.00,0.65
