subject-id,FHR(mm),FNA(degrees),FHO(mm)
s0174_femur_right_msk_pred,28.16,126.60,44.16
s0174_femur_left_msk_pred,28.51,120.39,54.46
s0592_femur_right_msk_pred,30.04,129.14,62.02
s0171_femur_left_msk_pred,30.77,131.83,56.00
s0593_femur_left_msk_pred,31.42,137.33,47.34
s0104_femur_left_msk_pred,31.15,125.55,62.25
s0212_femur_left_msk_pred,35.23,129.50,63.89
s0104_femur_right_msk_pred,30.88,130.80,51.87
s0593_femur_right_msk_pred,31.83,132.14,50.91
s0133_femur_left_msk_pred,37.11,120.22,75.26
s0375_femur_left_msk_pred,33.68,130.08,56.11
s0648_femur_right_msk_pred,31.66,121.65,70.09
s0648_femur_left_msk_pred,31.89,125.83,64.51
s0614_femur_left_msk_pred,32.29,126.50,56.45
s0592_femur_left_msk_pred,29.60,127.70,54.54
s0120_femur_right_msk_pred,36.83,119.81,69.08
s0375_femur_right_msk_pred,33.13,129.52,50.52
s0664_femur_left_msk_pred,33.59,127.95,54.64
s0133_femur_right_msk_pred,38.98,102.48,107.43
s0120_femur_left_msk_pred,35.18,128.31,57.80
s0723_femur_left_msk_pred,28.57,121.81,55.32
s0723_femur_right_msk_pred,30.77,127.16,46.01
s1099_femur_right_msk_pred,31.17,105.96,95.49
s0776_femur_left_msk_pred,35.56,127.38,74.95
s0680_femur_left_msk_pred,35.89,100.17,105.06
s0880_femur_left_msk_pred,30.49,133.92,45.55
s1228_femur_right_msk_pred,30.89,109.99,85.61
s0988_femur_left_msk_pred,34.47,119.66,71.46
s1069_femur_left_msk_pred,33.66,126.93,65.45
s1057_femur_right_msk_pred,32.79,121.53,79.82
s0859_femur_right_msk_pred,26.53,115.29,43.13
s1149_femur_left_msk_pred,33.03,123.04,68.21
s0880_femur_right_msk_pred,36.08,119.40,73.70
s1057_femur_left_msk_pred,30.11,105.42,84.21
s0859_femur_left_msk_pred,30.76,108.22,64.16
s1291_femur_left_msk_pred,30.61,121.79,60.45
s1143_femur_right_msk_pred,37.48,107.65,96.01
s0776_femur_right_msk_pred,34.96,124.35,65.69
s1143_femur_left_msk_pred,36.23,130.84,60.04
s0667_femur_left_msk_pred,37.78,102.59,108.45
