subject-id,DSC,ASD,HD95,NSD
s0859_femur_left_msk,0.86,2.38,6.16,0.48
s0859_femur_right_msk,0.88,1.83,7.48,0.59
s0592_femur_left_msk,0.94,0.78,2.24,0.89
s0592_femur_right_msk,0.94,0.80,2.45,0.87
s0375_femur_left_msk,0.95,0.81,2.24,0.88
s0375_femur_right_msk,0.94,0.83,2.45,0.87
s0918_femur_left_msk,0.86,2.00,5.48,0.49
s0918_femur_right_msk,0.94,1.04,3.00,0.81
s0776_femur_left_msk,0.95,0.81,2.83,0.85
s0776_femur_right_msk,0.95,0.73,2.24,0.89
s0074_femur_left_msk,0.95,0.69,2.00,0.93
s0074_femur_right_msk,0.95,0.71,2.00,0.92
s1247_femur_left_msk,0.94,0.83,2.45,0.87
s1247_femur_right_msk,0.94,0.82,2.45,0.86
s0648_femur_left_msk,0.94,0.91,2.83,0.87
s0648_femur_right_msk,0.94,0.92,2.45,0.86
s1069_femur_left_msk,0.95,0.85,2.24,0.87
s1069_femur_right_msk,0.95,0.77,2.24,0.89
s0210_femur_left_msk,0.94,0.92,2.83,0.84
s0210_femur_right_msk,0.87,4.63,40.31,0.59
s0885_femur_left_msk,0.93,0.97,3.74,0.81
s0885_femur_right_msk,0.93,0.95,3.46,0.80
s0212_femur_left_msk,0.94,0.98,2.83,0.83
s0212_femur_right_msk,0.95,0.75,2.00,0.91
s1130_femur_left_msk,0.94,0.94,3.00,0.86
s1130_femur_right_msk,0.93,1.05,3.46,0.79
s0988_femur_left_msk,0.93,1.17,3.32,0.76
s0988_femur_right_msk,0.87,1.94,6.00,0.52
s1143_femur_left_msk,0.89,1.71,5.00,0.57
s1143_femur_right_msk,0.87,1.93,6.00,0.52
s0502_femur_left_msk,0.93,1.05,3.00,0.78
s0502_femur_right_msk,0.95,0.79,2.24,0.88
s0141_femur_left_msk,0.92,1.14,3.00,0.81
s0141_femur_right_msk,0.92,1.17,3.00,0.81
s1238_femur_left_msk,0.92,1.22,3.46,0.75
s1238_femur_right_msk,0.94,0.99,3.00,0.82
s0509_femur_left_msk,0.67,6.58,24.00,0.31
s0509_femur_right_msk,0.89,1.77,5.66,0.59
s1348_femur_left_msk,0.91,1.29,5.74,0.67
s1348_femur_right_msk,0.91,1.35,5.10,0.66
s0174_femur_left_msk,0.91,1.13,3.00,0.78
s0174_femur_right_msk,0.89,1.73,5.66,0.70
s1149_femur_left_msk,0.92,1.30,3.74,0.75
s1149_femur_right_msk,0.88,1.80,5.95,0.58
s0768_femur_left_msk,0.93,0.93,2.45,0.85
s0768_femur_right_msk,0.94,0.84,2.45,0.87
s1276_femur_left_msk,0.94,0.77,2.24,0.89
s1276_femur_right_msk,0.94,0.78,2.24,0.89
s0072_femur_left_msk,0.89,1.30,5.39,0.67
s0072_femur_right_msk,0.87,1.65,5.20,0.58
s0880_femur_left_msk,0.86,2.03,6.16,0.47
s0880_femur_right_msk,0.92,1.20,3.16,0.77
s0428_femur_left_msk,0.91,1.24,3.16,0.75
s0428_femur_right_msk,0.94,0.93,2.45,0.85
s0614_femur_left_msk,0.94,0.84,2.45,0.88
s0614_femur_right_msk,0.94,0.87,2.24,0.87
s0171_femur_left_msk,0.94,0.87,2.83,0.87
s0171_femur_right_msk,0.93,1.00,3.00,0.83
s0519_femur_left_msk,0.95,0.85,2.45,0.88
s0519_femur_right_msk,0.95,0.81,2.24,0.88
s0992_femur_left_msk,0.95,0.64,2.00,0.94
s0992_femur_right_msk,0.95,0.75,2.24,0.89
s1099_femur_left_msk,0.92,1.10,3.00,0.81
s1099_femur_right_msk,0.94,0.84,2.24,0.87
s0667_femur_left_msk,0.95,1.04,2.24,0.88
s0667_femur_right_msk,0.95,0.79,2.45,0.87
s1228_femur_left_msk,0.93,0.99,3.00,0.82
s1228_femur_right_msk,0.93,0.94,2.83,0.84
s0702_femur_left_msk,0.92,1.29,3.61,0.71
s0702_femur_right_msk,0.94,1.08,3.00,0.78
s0339_femur_left_msk,0.93,0.87,2.83,0.85
s0339_femur_right_msk,0.93,0.90,2.24,0.86
s1085_femur_left_msk,0.93,0.98,3.00,0.79
s1085_femur_right_msk,0.94,0.89,2.45,0.85
s1057_femur_left_msk,0.90,1.93,4.36,0.65
s1057_femur_right_msk,0.92,1.26,4.00,0.73
s0635_femur_left_msk,0.93,1.07,3.00,0.79
s0635_femur_right_msk,0.96,0.62,2.00,0.94
s0950_femur_left_msk,0.93,0.95,4.12,0.78
s0950_femur_right_msk,0.93,0.86,3.61,0.80
s0682_femur_left_msk,0.94,0.93,2.45,0.85
s0682_femur_right_msk,0.95,0.79,2.24,0.89
s0680_femur_left_msk,0.95,0.78,2.24,0.89
s0680_femur_right_msk,0.95,0.85,2.45,0.88
s0104_femur_left_msk,0.89,1.50,5.00,0.68
s0104_femur_right_msk,0.86,1.91,6.16,0.60
s0015_femur_left_msk,0.95,0.85,2.24,0.89
s0015_femur_right_msk,0.94,0.94,2.83,0.84
s0937_femur_left_msk,0.74,3.78,15.00,0.32
s0937_femur_right_msk,0.86,2.19,7.48,0.51
s0053_femur_left_msk,0.95,0.81,2.24,0.88
s0053_femur_right_msk,0.94,0.96,3.00,0.84
s1383_femur_left_msk,0.96,0.67,2.00,0.92
s1383_femur_right_msk,0.95,0.76,2.24,0.88
s1111_femur_left_msk,0.94,0.94,3.00,0.83
s1111_femur_right_msk,0.93,1.15,3.16,0.78
s0192_femur_left_msk,0.95,0.67,2.00,0.92
s0192_femur_right_msk,0.94,0.84,2.45,0.85
s0016_femur_left_msk,0.95,0.79,2.24,0.89
s0016_femur_right_msk,0.95,0.84,2.45,0.86
s0664_femur_left_msk,0.92,1.22,3.16,0.76
s0664_femur_right_msk,0.94,0.84,2.24,0.87
s1347_femur_left_msk,0.95,0.78,2.24,0.90
s1347_femur_right_msk,0.94,0.85,2.24,0.87
s1045_femur_left_msk,0.94,0.93,2.45,0.86
s1045_femur_right_msk,0.96,0.71,2.00,0.92
s0120_femur_left_msk,0.92,1.27,3.32,0.74
s0120_femur_right_msk,0.95,0.85,2.45,0.89
s0143_femur_left_msk,0.95,0.76,2.24,0.89
s0143_femur_right_msk,0.96,0.66,2.00,0.92
s0109_femur_left_msk,0.94,0.92,3.00,0.89
s0109_femur_right_msk,0.94,0.91,2.83,0.89
s0807_femur_left_msk,0.93,1.03,3.16,0.79
s0807_femur_right_msk,0.93,1.03,3.16,0.79
s0723_femur_left_msk,0.93,1.02,3.00,0.84
s0723_femur_right_msk,0.94,0.86,2.24,0.91
s1291_femur_left_msk,0.92,1.07,3.32,0.77
s1291_femur_right_msk,0.93,0.96,2.83,0.84
s0593_femur_left_msk,0.95,0.74,2.00,0.92
s0593_femur_right_msk,0.95,0.75,2.00,0.92
s0229_femur_left_msk,0.85,2.12,7.21,0.50
s0229_femur_right_msk,0.85,2.44,8.12,0.53
s1293_femur_left_msk,0.94,0.79,2.24,0.87
s1293_femur_right_msk,0.95,0.73,2.24,0.89
s0095_femur_left_msk,0.94,1.00,3.00,0.82
s0095_femur_right_msk,0.89,1.51,7.28,0.63
s0133_femur_left_msk,0.95,0.71,2.24,0.90
s0133_femur_right_msk,0.94,0.99,3.00,0.80
s0166_femur_left_msk,0.94,0.89,2.45,0.85
s0166_femur_right_msk,0.92,1.15,3.00,0.79
s0657_femur_left_msk,0.94,0.99,2.83,0.82
s0657_femur_right_msk,0.93,1.11,3.32,0.79
s0341_femur_left_msk,0.93,1.15,3.16,0.76
s0341_femur_right_msk,0.92,1.28,4.47,0.72
s0794_femur_left_msk,0.95,0.76,2.24,0.90
s0794_femur_right_msk,0.95,0.72,2.24,0.90
s0334_femur_left_msk,0.95,0.71,2.00,0.92
s0334_femur_right_msk,0.95,0.77,2.24,0.89
s0921_femur_left_msk,0.90,1.63,5.00,0.69
s0921_femur_right_msk,0.93,1.25,3.16,0.75
