subject-id,DSC,ASD,HD95,NSD
s0859_femur_left_msk,0.83,2.72,7.62,0.39
s0859_femur_right_msk,0.81,2.75,12.19,0.40
s0592_femur_left_msk,0.93,0.94,2.83,0.83
s0592_femur_right_msk,0.91,1.22,3.00,0.73
s0375_femur_left_msk,0.93,1.15,3.00,0.78
s0375_femur_right_msk,0.91,1.45,3.61,0.67
s0918_femur_left_msk,0.69,4.08,13.67,0.29
s0918_femur_right_msk,0.92,1.30,3.32,0.70
s0776_femur_left_msk,0.89,1.67,4.58,0.58
s0776_femur_right_msk,0.92,1.15,3.61,0.75
s0074_femur_left_msk,0.92,1.23,3.61,0.76
s0074_femur_right_msk,0.86,6.20,39.93,0.71
s1247_femur_left_msk,0.92,1.11,3.00,0.77
s1247_femur_right_msk,0.90,1.35,4.12,0.66
s0648_femur_left_msk,0.91,1.39,3.61,0.70
s0648_femur_right_msk,0.90,1.47,3.32,0.66
s1069_femur_left_msk,0.92,1.28,3.32,0.76
s1069_femur_right_msk,0.92,1.26,3.61,0.75
s0210_femur_left_msk,0.89,1.59,5.00,0.59
s0210_femur_right_msk,0.81,2.60,8.60,0.38
s0885_femur_left_msk,0.91,1.28,3.74,0.68
s0885_femur_right_msk,0.90,1.40,4.12,0.63
s0212_femur_left_msk,0.92,1.18,3.16,0.77
s0212_femur_right_msk,0.94,1.01,2.83,0.84
s1130_femur_left_msk,0.92,1.29,3.61,0.67
s1130_femur_right_msk,0.91,1.41,3.74,0.64
s0988_femur_left_msk,0.85,2.42,7.00,0.45
s0988_femur_right_msk,0.82,2.58,7.68,0.35
s1143_femur_left_msk,0.89,1.80,4.90,0.54
s1143_femur_right_msk,0.88,1.85,5.39,0.57
s0502_femur_left_msk,0.92,1.12,3.61,0.73
s0502_femur_right_msk,0.92,1.10,3.16,0.74
s0141_femur_left_msk,0.91,1.21,3.61,0.72
s0141_femur_right_msk,0.91,1.25,3.61,0.72
s1238_femur_left_msk,0.92,1.24,4.12,0.72
s1238_femur_right_msk,0.92,1.21,3.74,0.73
s0509_femur_left_msk,0.60,8.47,25.88,0.23
s0509_femur_right_msk,0.87,1.99,5.39,0.52
s1348_femur_left_msk,0.89,1.51,6.71,0.60
s1348_femur_right_msk,0.89,1.62,6.32,0.56
s0174_femur_left_msk,0.84,2.31,5.10,0.47
s0174_femur_right_msk,0.83,2.35,5.10,0.44
s1149_femur_left_msk,0.87,2.05,6.00,0.51
s1149_femur_right_msk,0.84,2.40,6.40,0.44
s0768_femur_left_msk,0.87,1.81,4.36,0.51
s0768_femur_right_msk,0.90,1.34,3.46,0.68
s1276_femur_left_msk,0.92,1.02,3.00,0.80
s1276_femur_right_msk,0.92,1.09,3.32,0.78
s0072_femur_left_msk,0.82,2.33,6.40,0.41
s0072_femur_right_msk,0.81,2.55,6.63,0.37
s0880_femur_left_msk,0.75,4.61,14.21,0.35
s0880_femur_right_msk,0.85,2.66,7.81,0.52
s0428_femur_left_msk,0.91,1.30,4.00,0.72
s0428_femur_right_msk,0.88,1.73,4.12,0.59
s0614_femur_left_msk,0.92,1.21,3.00,0.74
s0614_femur_right_msk,0.91,1.31,3.00,0.73
s0171_femur_left_msk,0.90,1.38,3.74,0.67
s0171_femur_right_msk,0.93,0.97,3.00,0.82
s0519_femur_left_msk,0.91,1.33,4.12,0.69
s0519_femur_right_msk,0.90,1.43,4.00,0.64
s0992_femur_left_msk,0.93,0.92,2.83,0.83
s0992_femur_right_msk,0.94,0.79,2.45,0.85
s1099_femur_left_msk,0.90,1.40,3.46,0.67
s1099_femur_right_msk,0.90,1.37,3.61,0.67
s0667_femur_left_msk,0.94,0.95,3.00,0.81
s0667_femur_right_msk,0.93,1.06,3.16,0.76
s1228_femur_left_msk,0.92,1.01,3.00,0.79
s1228_femur_right_msk,0.90,1.31,3.32,0.71
s0702_femur_left_msk,0.91,1.48,4.00,0.65
s0702_femur_right_msk,0.91,1.51,4.00,0.63
s0339_femur_left_msk,0.92,1.03,3.16,0.79
s0339_femur_right_msk,0.88,1.79,5.00,0.61
s1085_femur_left_msk,0.90,1.58,4.24,0.62
s1085_femur_right_msk,0.91,1.46,3.61,0.63
s1057_femur_left_msk,0.84,2.18,7.00,0.49
s1057_femur_right_msk,0.89,1.78,4.90,0.60
s0635_femur_left_msk,0.89,1.54,4.47,0.64
s0635_femur_right_msk,0.93,1.03,2.83,0.80
s0950_femur_left_msk,0.88,1.72,5.00,0.54
s0950_femur_right_msk,0.89,1.39,4.24,0.61
