subject-id,DSC,ASD,HD95,NSD
s0859_femur_left_msk,0.87,2.12,5.92,0.56
s0859_femur_right_msk,0.85,2.23,11.18,0.55
s0592_femur_left_msk,0.95,0.64,2.24,0.92
s0592_femur_right_msk,0.95,0.67,2.24,0.89
s0375_femur_left_msk,0.94,0.81,2.45,0.89
s0375_femur_right_msk,0.95,0.77,2.45,0.88
s0918_femur_left_msk,0.81,2.36,9.06,0.46
s0918_femur_right_msk,0.94,0.93,3.00,0.82
s0776_femur_left_msk,0.94,0.81,2.45,0.87
s0776_femur_right_msk,0.95,0.73,2.45,0.88
s0074_femur_left_msk,0.94,0.89,2.45,0.84
s0074_femur_right_msk,0.93,2.99,23.32,0.86
s1247_femur_left_msk,0.94,0.80,2.45,0.88
s1247_femur_right_msk,0.94,0.74,2.83,0.88
s0648_femur_left_msk,0.95,0.66,2.00,0.93
s0648_femur_right_msk,0.94,0.90,2.45,0.86
s1069_femur_left_msk,0.95,0.79,2.24,0.90
s1069_femur_right_msk,0.95,0.70,2.24,0.92
s0210_femur_left_msk,0.94,0.77,2.45,0.88
s0210_femur_right_msk,0.89,1.44,5.20,0.63
s0885_femur_left_msk,0.93,0.96,4.36,0.80
s0885_femur_right_msk,0.94,0.87,4.12,0.83
s0212_femur_left_msk,0.93,1.03,3.00,0.81
s0212_femur_right_msk,0.95,0.71,2.24,0.90
s1130_femur_left_msk,0.95,0.76,2.24,0.90
s1130_femur_right_msk,0.95,0.69,2.24,0.91
s0988_femur_left_msk,0.94,0.87,2.83,0.85
s0988_femur_right_msk,0.88,1.75,5.48,0.57
s1143_femur_left_msk,0.94,0.97,3.00,0.87
s1143_femur_right_msk,0.94,0.91,3.00,0.86
s0502_femur_left_msk,0.94,0.82,2.83,0.86
s0502_femur_right_msk,0.96,0.62,2.00,0.94
s0141_femur_left_msk,0.94,0.74,2.24,0.90
s0141_femur_right_msk,0.94,0.75,2.24,0.89
s1238_femur_left_msk,0.92,1.24,4.12,0.75
s1238_femur_right_msk,0.95,0.72,2.24,0.91
s0509_femur_left_msk,0.75,5.71,23.43,0.41
s0509_femur_right_msk,0.85,2.18,7.21,0.52
s1348_femur_left_msk,0.93,0.92,5.10,0.78
s1348_femur_right_msk,0.93,0.99,5.39,0.76
s0174_femur_left_msk,0.93,0.87,2.83,0.87
s0174_femur_right_msk,0.91,1.12,3.16,0.77
s1149_femur_left_msk,0.92,1.14,4.24,0.77
s1149_femur_right_msk,0.90,1.41,4.00,0.67
s0768_femur_left_msk,0.93,0.91,2.83,0.85
s0768_femur_right_msk,0.94,0.75,2.24,0.88
s1276_femur_left_msk,0.94,0.78,2.83,0.87
s1276_femur_right_msk,0.93,0.81,2.45,0.87
s0072_femur_left_msk,0.91,0.97,5.66,0.77
s0072_femur_right_msk,0.91,1.04,4.69,0.75
s0880_femur_left_msk,0.87,2.02,6.78,0.58
s0880_femur_right_msk,0.95,0.76,2.45,0.88
s0428_femur_left_msk,0.95,0.76,2.24,0.90
s0428_femur_right_msk,0.93,0.94,3.16,0.84
s0614_femur_left_msk,0.95,0.77,2.24,0.90
s0614_femur_right_msk,0.95,0.75,2.00,0.94
s0171_femur_left_msk,0.94,0.80,3.16,0.83
s0171_femur_right_msk,0.95,0.71,2.24,0.90
s0519_femur_left_msk,0.95,0.72,2.24,0.92
s0519_femur_right_msk,0.95,0.66,2.24,0.92
s0992_femur_left_msk,0.94,0.70,2.24,0.89
s0992_femur_right_msk,0.95,0.64,2.24,0.93
s1099_femur_left_msk,0.94,0.81,2.24,0.87
s1099_femur_right_msk,0.95,0.64,2.00,0.93
s0667_femur_left_msk,0.95,0.78,3.16,0.86
s0667_femur_right_msk,0.95,0.88,2.83,0.86
s1228_femur_left_msk,0.93,0.92,3.00,0.84
s1228_femur_right_msk,0.94,0.77,2.24,0.90
s0702_femur_left_msk,0.94,0.85,3.00,0.82
s0702_femur_right_msk,0.95,0.75,2.83,0.88
s0339_femur_left_msk,0.94,0.77,2.45,0.87
s0339_femur_right_msk,0.94,0.73,2.24,0.89
s1085_femur_left_msk,0.95,0.71,3.00,0.86
s1085_femur_right_msk,0.95,0.69,2.24,0.91
s1057_femur_left_msk,0.91,1.25,5.66,0.72
s1057_femur_right_msk,0.93,0.92,3.00,0.81
s0635_femur_left_msk,0.94,0.82,2.45,0.86
s0635_femur_right_msk,0.96,0.55,2.00,0.95
s0950_femur_left_msk,0.93,0.80,4.12,0.81
s0950_femur_right_msk,0.94,0.71,3.16,0.84
s0682_femur_left_msk,0.94,0.91,2.45,0.85
s0682_femur_right_msk,0.94,0.91,2.83,0.84
s0680_femur_left_msk,0.96,0.67,2.24,0.92
s0680_femur_right_msk,0.96,0.67,2.24,0.92
s0104_femur_left_msk,0.94,0.76,2.83,0.87
s0104_femur_right_msk,0.94,0.80,2.83,0.86
s0015_femur_left_msk,0.96,0.63,2.00,0.94
s0015_femur_right_msk,0.96,0.63,2.00,0.94
s0937_femur_left_msk,0.85,3.37,17.72,0.64
s0937_femur_right_msk,0.91,1.28,5.00,0.72
s0053_femur_left_msk,0.95,0.80,2.24,0.88
s0053_femur_right_msk,0.94,0.92,2.45,0.85
s1383_femur_left_msk,0.96,0.63,2.00,0.93
s1383_femur_right_msk,0.96,0.62,2.00,0.93
s1111_femur_left_msk,0.94,0.83,3.00,0.83
s1111_femur_right_msk,0.94,0.92,3.00,0.83
s0192_femur_left_msk,0.94,0.72,2.24,0.88
s0192_femur_right_msk,0.94,0.75,2.24,0.89
s0016_femur_left_msk,0.95,0.71,2.24,0.89
s0016_femur_right_msk,0.96,0.61,2.24,0.91
s0664_femur_left_msk,0.94,0.87,2.83,0.87
s0664_femur_right_msk,0.95,0.64,2.00,0.92
s1347_femur_left_msk,0.95,0.70,2.24,0.91
s1347_femur_right_msk,0.96,0.60,1.73,0.96
s1045_femur_left_msk,0.95,0.74,2.24,0.91
s1045_femur_right_msk,0.96,0.65,2.00,0.93
s0120_femur_left_msk,0.94,0.85,2.83,0.88
s0120_femur_right_msk,0.96,0.73,2.00,0.93
s0143_femur_left_msk,0.95,0.69,2.24,0.91
s0143_femur_right_msk,0.96,0.63,2.00,0.92
s0109_femur_left_msk,0.92,1.18,3.74,0.81
s0109_femur_right_msk,0.94,0.84,2.24,0.90
s0807_femur_left_msk,0.95,0.80,2.45,0.87
s0807_femur_right_msk,0.94,0.86,3.00,0.84
s0723_femur_left_msk,0.94,0.77,2.24,0.92
s0723_femur_right_msk,0.95,0.68,2.00,0.95
s1291_femur_left_msk,0.94,0.75,2.83,0.87
s1291_femur_right_msk,0.94,0.77,2.83,0.86
s0593_femur_left_msk,0.95,0.71,2.24,0.93
s0593_femur_right_msk,0.96,0.58,2.00,0.95
s0229_femur_left_msk,0.89,1.68,5.74,0.60
s0229_femur_right_msk,0.84,3.03,9.90,0.53
s1293_femur_left_msk,0.95,0.72,2.24,0.88
s1293_femur_right_msk,0.95,0.64,2.24,0.91
