subject-id,DSC,ASD,HD95,NSD
s0859_femur_left_msk,0.85,2.37,6.78,0.41
s0859_femur_right_msk,0.82,2.29,11.79,0.45
s0592_femur_left_msk,0.94,0.82,2.45,0.87
s0592_femur_right_msk,0.93,0.96,3.00,0.84
s0375_femur_left_msk,0.94,0.95,2.83,0.86
s0375_femur_right_msk,0.93,1.02,3.00,0.82
s0918_femur_left_msk,0.64,4.26,15.13,0.22
s0918_femur_right_msk,0.93,1.07,3.00,0.81
s0776_femur_left_msk,0.92,1.24,3.32,0.71
s0776_femur_right_msk,0.93,1.07,3.16,0.77
s0074_femur_left_msk,0.94,0.95,2.83,0.85
s0074_femur_right_msk,0.92,1.21,3.61,0.75
s1247_femur_left_msk,0.93,0.97,3.00,0.82
s1247_femur_right_msk,0.93,0.95,3.16,0.81
s0648_femur_left_msk,0.93,1.06,3.00,0.84
s0648_femur_right_msk,0.93,1.03,3.00,0.84
s1069_femur_left_msk,0.94,0.96,3.00,0.86
s1069_femur_right_msk,0.93,1.09,3.00,0.82
s0210_femur_left_msk,0.92,1.16,3.61,0.76
s0210_femur_right_msk,0.83,6.05,42.35,0.45
s0885_femur_left_msk,0.91,1.35,5.00,0.68
s0885_femur_right_msk,0.91,1.30,4.00,0.68
s0212_femur_left_msk,0.93,1.11,3.61,0.79
s0212_femur_right_msk,0.95,0.84,2.24,0.90
s1130_femur_left_msk,0.93,1.07,3.00,0.79
s1130_femur_right_msk,0.93,1.12,3.32,0.78
s0988_femur_left_msk,0.90,1.73,5.00,0.59
s0988_femur_right_msk,0.81,2.77,9.43,0.38
s1143_femur_left_msk,0.90,1.60,4.12,0.58
s1143_femur_right_msk,0.89,1.66,5.10,0.61
s0502_femur_left_msk,0.91,1.27,4.24,0.69
s0502_femur_right_msk,0.92,1.17,3.46,0.71
s0141_femur_left_msk,0.92,1.03,3.00,0.83
s0141_femur_right_msk,0.92,1.16,3.32,0.79
s1238_femur_left_msk,0.91,1.41,4.12,0.68
s1238_femur_right_msk,0.92,1.23,3.61,0.72
s0509_femur_left_msk,0.56,6.85,17.75,0.19
s0509_femur_right_msk,0.80,3.18,8.31,0.33
s1348_femur_left_msk,0.90,1.30,6.08,0.67
s1348_femur_right_msk,0.92,1.06,4.47,0.73
s0174_femur_left_msk,0.85,1.83,5.00,0.57
s0174_femur_right_msk,0.82,2.33,5.74,0.40
s1149_femur_left_msk,0.89,1.60,5.00,0.59
s1149_femur_right_msk,0.86,1.89,5.74,0.49
s0768_femur_left_msk,0.90,1.38,3.61,0.68
s0768_femur_right_msk,0.92,1.15,3.32,0.77
s1276_femur_left_msk,0.93,0.96,2.83,0.84
s1276_femur_right_msk,0.93,0.96,2.83,0.85
s0072_femur_left_msk,0.85,1.86,8.00,0.51
s0072_femur_right_msk,0.82,2.45,7.00,0.43
s0880_femur_left_msk,0.83,2.46,8.12,0.43
s0880_femur_right_msk,0.90,1.49,4.12,0.64
s0428_femur_left_msk,0.91,1.29,3.32,0.73
s0428_femur_right_msk,0.91,1.34,3.61,0.73
s0614_femur_left_msk,0.92,1.11,3.00,0.78
s0614_femur_right_msk,0.91,1.34,3.00,0.75
s0171_femur_left_msk,0.92,1.05,3.16,0.79
s0171_femur_right_msk,0.94,0.83,2.45,0.86
s0519_femur_left_msk,0.94,0.81,2.45,0.89
s0519_femur_right_msk,0.92,1.16,3.74,0.75
s0992_femur_left_msk,0.94,0.88,2.24,0.89
s0992_femur_right_msk,0.93,1.03,3.00,0.85
s1099_femur_left_msk,0.91,1.24,3.16,0.75
s1099_femur_right_msk,0.92,1.05,2.83,0.80
s0667_femur_left_msk,0.94,0.99,3.32,0.79
s0667_femur_right_msk,0.94,0.91,3.00,0.84
s1228_femur_left_msk,0.89,1.46,4.58,0.69
s1228_femur_right_msk,0.93,0.99,2.83,0.82
s0702_femur_left_msk,0.93,1.03,3.16,0.81
s0702_femur_right_msk,0.91,1.42,4.24,0.67
s0339_femur_left_msk,0.92,1.05,3.00,0.80
s0339_femur_right_msk,0.92,1.12,3.32,0.77
s1085_femur_left_msk,0.92,1.29,4.00,0.71
s1085_femur_right_msk,0.94,0.94,2.83,0.87
s1057_femur_left_msk,0.86,1.91,7.35,0.55
s1057_femur_right_msk,0.90,1.50,4.12,0.65
s0635_femur_left_msk,0.93,1.02,3.16,0.80
s0635_femur_right_msk,0.94,0.90,2.24,0.87
s0950_femur_left_msk,0.91,1.19,3.61,0.70
s0950_femur_right_msk,0.92,1.01,3.61,0.77
s0682_femur_left_msk,0.93,1.13,3.32,0.77
s0682_femur_right_msk,0.93,1.05,3.16,0.79
s0680_femur_left_msk,0.94,0.84,2.83,0.87
s0680_femur_right_msk,0.94,0.88,2.83,0.86
s0104_femur_left_msk,0.90,1.35,4.12,0.70
s0104_femur_right_msk,0.89,1.52,4.24,0.65
s0015_femur_left_msk,0.95,0.78,2.24,0.90
s0015_femur_right_msk,0.94,0.85,2.83,0.86
s0937_femur_left_msk,0.48,8.11,23.62,0.22
s0937_femur_right_msk,0.77,3.99,14.25,0.42
s0053_femur_left_msk,0.93,1.17,3.16,0.78
s0053_femur_right_msk,0.90,1.60,4.58,0.67
s1383_femur_left_msk,0.95,0.84,2.45,0.87
s1383_femur_right_msk,0.95,0.82,2.83,0.86
s1111_femur_left_msk,0.94,0.94,3.00,0.81
s1111_femur_right_msk,0.92,1.29,3.74,0.72
s0192_femur_left_msk,0.93,0.92,3.00,0.85
s0192_femur_right_msk,0.91,1.25,3.61,0.74
s0016_femur_left_msk,0.95,0.78,2.24,0.91
s0016_femur_right_msk,0.95,0.78,2.24,0.89
s0664_femur_left_msk,0.86,1.99,5.39,0.56
s0664_femur_right_msk,0.93,1.09,3.16,0.82
s1347_femur_left_msk,0.95,0.79,2.24,0.91
s1347_femur_right_msk,0.94,0.94,2.83,0.85
s1045_femur_left_msk,0.93,1.08,2.83,0.81
s1045_femur_right_msk,0.94,0.92,2.45,0.89
s0120_femur_left_msk,0.86,2.06,5.92,0.51
s0120_femur_right_msk,0.94,1.01,2.83,0.85
s0143_femur_left_msk,0.92,1.29,3.00,0.75
s0143_femur_right_msk,0.92,1.32,3.46,0.72
s0109_femur_left_msk,0.91,1.32,3.16,0.75
s0109_femur_right_msk,0.91,1.42,3.61,0.69
s0807_femur_left_msk,0.92,1.17,3.61,0.74
s0807_femur_right_msk,0.93,1.08,3.46,0.78
s0723_femur_left_msk,0.91,1.22,3.32,0.76
s0723_femur_right_msk,0.92,1.13,3.32,0.79
s1291_femur_left_msk,0.91,1.21,3.32,0.75
s1291_femur_right_msk,0.91,1.14,3.00,0.78
s0593_femur_left_msk,0.92,1.07,2.83,0.84
s0593_femur_right_msk,0.95,0.70,2.00,0.94
s0229_femur_left_msk,0.81,2.86,8.25,0.35
s0229_femur_right_msk,0.81,3.39,11.58,0.42
s1293_femur_left_msk,0.94,0.81,2.45,0.88
s1293_femur_right_msk,0.93,1.02,3.00,0.79
s0095_femur_left_msk,0.87,1.75,6.71,0.50
s0095_femur_right_msk,0.80,2.65,9.00,0.35
s0133_femur_left_msk,0.94,1.00,3.00,0.80
s0133_femur_right_msk,0.93,1.18,3.00,0.72
s0166_femur_left_msk,0.93,1.06,3.00,0.78
s0166_femur_right_msk,0.92,1.13,3.32,0.76
s0657_femur_left_msk,0.92,1.38,3.61,0.67
s0657_femur_right_msk,0.92,1.28,4.12,0.69
s0341_femur_left_msk,0.91,1.39,4.12,0.69
s0341_femur_right_msk,0.91,1.35,4.12,0.65
s0794_femur_left_msk,0.94,0.87,2.24,0.88
s0794_femur_right_msk,0.95,0.75,2.24,0.91
s0334_femur_left_msk,0.93,1.01,2.83,0.84
s0334_femur_right_msk,0.94,0.84,2.45,0.87
s0921_femur_left_msk,0.90,1.66,5.20,0.65
s0921_femur_right_msk,0.92,1.39,4.12,0.71
