subject-id,DSC,ASD,HD95,NSD
s0859_femur_left_msk,0.86,2.13,6.71,0.52
s0859_femur_right_msk,0.89,1.66,6.00,0.59
s0592_femur_left_msk,0.90,1.30,3.74,0.70
s0592_femur_right_msk,0.91,1.25,3.61,0.72
s0375_femur_left_msk,0.91,1.27,3.61,0.72
s0375_femur_right_msk,0.92,1.20,3.61,0.76
s0918_femur_left_msk,0.72,2.98,17.72,0.35
s0918_femur_right_msk,0.92,1.29,3.61,0.69
s0776_femur_left_msk,0.90,1.46,5.00,0.68
s0776_femur_right_msk,0.91,1.28,3.74,0.70
s0074_femur_left_msk,0.90,1.41,4.12,0.68
s0074_femur_right_msk,0.91,4.39,40.80,0.75
s1247_femur_left_msk,0.92,1.05,3.32,0.78
s1247_femur_right_msk,0.92,1.08,3.74,0.76
s0648_femur_left_msk,0.90,1.56,4.58,0.67
s0648_femur_right_msk,0.91,1.24,3.61,0.74
s1069_femur_left_msk,0.91,1.39,3.74,0.70
s1069_femur_right_msk,0.91,1.34,4.12,0.71
s0210_femur_left_msk,0.92,1.25,3.32,0.71
s0210_femur_right_msk,0.91,1.19,4.24,0.71
s0885_femur_left_msk,0.90,1.55,6.00,0.63
s0885_femur_right_msk,0.90,1.42,5.39,0.64
s0212_femur_left_msk,0.92,1.33,3.61,0.74
s0212_femur_right_msk,0.92,1.19,3.16,0.76
s1130_femur_left_msk,0.90,1.60,4.12,0.58
s1130_femur_right_msk,0.90,1.58,4.90,0.60
s0988_femur_left_msk,0.92,1.36,3.74,0.67
s0988_femur_right_msk,0.82,1.95,17.12,0.49
s1143_femur_left_msk,0.92,1.20,3.74,0.76
s1143_femur_right_msk,0.93,1.05,3.61,0.81
s0502_femur_left_msk,0.93,1.06,3.32,0.77
s0502_femur_right_msk,0.94,1.10,3.00,0.82
s0141_femur_left_msk,0.91,1.22,3.32,0.74
s0141_femur_right_msk,0.90,1.39,3.61,0.69
s1238_femur_left_msk,0.90,1.52,4.58,0.64
s1238_femur_right_msk,0.92,1.31,3.74,0.72
s0509_femur_left_msk,0.67,6.28,22.52,0.28
s0509_femur_right_msk,0.85,2.15,8.19,0.46
s1348_femur_left_msk,0.90,1.45,6.32,0.61
s1348_femur_right_msk,0.89,1.62,6.56,0.59
s0174_femur_left_msk,0.90,1.34,3.61,0.73
s0174_femur_right_msk,0.89,1.43,4.00,0.69
s1149_femur_left_msk,0.91,1.28,4.12,0.72
s1149_femur_right_msk,0.91,1.34,3.74,0.68
s0768_femur_left_msk,0.92,1.05,3.46,0.79
s0768_femur_right_msk,0.92,1.08,3.32,0.78
s1276_femur_left_msk,0.93,1.00,3.00,0.81
s1276_femur_right_msk,0.91,1.15,3.61,0.73
s0072_femur_left_msk,0.91,1.17,3.61,0.72
s0072_femur_right_msk,0.89,1.38,4.58,0.62
s0880_femur_left_msk,0.77,3.31,10.68,0.39
s0880_femur_right_msk,0.90,1.35,4.24,0.70
s0428_femur_left_msk,0.92,1.13,3.32,0.77
s0428_femur_right_msk,0.90,1.34,4.12,0.70
s0614_femur_left_msk,0.91,1.26,3.46,0.73
s0614_femur_right_msk,0.90,1.48,4.00,0.68
s0171_femur_left_msk,0.91,1.32,4.00,0.72
s0171_femur_right_msk,0.93,1.03,3.00,0.77
s0519_femur_left_msk,0.90,1.42,4.12,0.66
s0519_femur_right_msk,0.92,1.25,3.32,0.70
s0992_femur_left_msk,0.92,1.08,3.16,0.77
s0992_femur_right_msk,0.92,1.13,3.74,0.76
s1099_femur_left_msk,0.90,1.24,3.61,0.71
s1099_femur_right_msk,0.91,1.11,3.16,0.75
s0667_femur_left_msk,0.92,1.31,4.00,0.67
s0667_femur_right_msk,0.92,1.38,4.00,0.66
s1228_femur_left_msk,0.90,1.33,4.00,0.73
s1228_femur_right_msk,0.91,1.20,3.61,0.73
s0702_femur_left_msk,0.89,1.67,5.20,0.59
s0702_femur_right_msk,0.89,1.74,6.00,0.57
s0339_femur_left_msk,0.91,1.15,3.46,0.74
s0339_femur_right_msk,0.90,1.22,4.12,0.71
s1085_femur_left_msk,0.90,1.51,5.48,0.61
s1085_femur_right_msk,0.90,1.65,5.39,0.61
s1057_femur_left_msk,0.87,1.87,6.40,0.56
s1057_femur_right_msk,0.88,1.66,5.39,0.60
s0635_femur_left_msk,0.91,1.50,3.74,0.70
s0635_femur_right_msk,0.91,1.30,3.61,0.70
s0950_femur_left_msk,0.89,1.44,5.74,0.60
s0950_femur_right_msk,0.90,1.29,4.58,0.66
s0682_femur_left_msk,0.91,1.50,4.24,0.63
s0682_femur_right_msk,0.92,1.29,3.74,0.70
s0680_femur_left_msk,0.92,1.25,3.61,0.73
s0680_femur_right_msk,0.92,1.19,3.32,0.74
s0104_femur_left_msk,0.90,1.37,4.12,0.68
s0104_femur_right_msk,0.91,1.26,4.12,0.74
s0015_femur_left_msk,0.92,1.19,3.16,0.73
