subject-id,DSC,ASD,HD95,NSD
s0859,0.88,1.91,5.92,0.45
s0859,0.91,1.27,4.24,0.57
s0592,0.95,0.68,2.24,0.84
s0592,0.95,0.62,2.00,0.87
s0375,0.95,0.67,2.24,0.87
s0375,0.95,0.71,2.24,0.85
s0918,0.79,2.24,14.56,0.37
s0918,0.96,0.69,2.24,0.85
s0776,0.94,0.80,3.00,0.78
s0776,0.95,0.67,2.24,0.84
s0074,0.94,0.84,2.24,0.77
s0074,0.95,0.70,2.24,0.85
s1247,0.96,0.58,2.00,0.89
s1247,0.95,0.63,2.00,0.86
s0648,0.95,0.68,2.00,0.87
s0648,0.94,0.82,2.24,0.83
s1069,0.95,0.73,2.24,0.85
s1069,0.95,0.67,2.24,0.86
s0210,0.95,0.66,2.24,0.84
s0210,0.93,0.95,3.16,0.67
s0885,0.93,1.01,4.24,0.71
s0885,0.93,0.91,3.61,0.73
s0212,0.95,0.81,2.45,0.83
s0212,0.95,0.74,2.24,0.83
s1130,0.95,0.82,2.45,0.80
s1130,0.95,0.77,2.45,0.82
s0988,0.93,1.03,3.00,0.67
s0988,0.88,1.68,5.39,0.44
s1143,0.95,0.84,2.83,0.79
s1143,0.95,0.79,2.45,0.79
s0502,0.93,1.05,4.12,0.71
s0502,0.95,0.79,2.24,0.81
s0141,0.95,0.69,2.24,0.86
s0141,0.95,0.71,2.00,0.87
s1238,0.94,0.87,2.83,0.75
s1238,0.95,0.70,2.24,0.84
s0509,0.71,4.43,12.69,0.23
s0509,0.92,1.30,4.24,0.62
s1348,0.93,0.91,4.36,0.71
s1348,0.93,0.92,4.69,0.71
s0174,0.91,1.17,3.00,0.66
s0174,0.92,0.99,3.00,0.74
s1149,0.94,0.94,3.00,0.77
s1149,0.93,0.99,3.00,0.72
s0768,0.94,0.74,2.45,0.80
s0768,0.94,0.70,2.24,0.81
s1276,0.95,0.63,2.24,0.87
s1276,0.95,0.62,2.00,0.87
s0072,0.92,0.93,4.12,0.70
s0072,0.92,0.95,5.00,0.69
s0880,0.84,2.42,7.81,0.40
s0880,0.95,0.78,2.24,0.81
s0428,0.93,0.90,3.00,0.75
s0428,0.94,0.79,2.45,0.80
s0614,0.95,0.69,2.00,0.86
s0614,0.94,0.85,2.45,0.81
s0171,0.95,0.70,2.45,0.84
s0171,0.95,0.70,2.24,0.83
s0519,0.95,0.74,2.24,0.82
s0519,0.95,0.67,2.00,0.86
s0992,0.96,0.53,1.73,0.91
s0992,0.95,0.61,2.00,0.88
s1099,0.94,0.79,2.24,0.82
s1099,0.95,0.63,2.00,0.89
s0667,0.95,1.37,2.45,0.79
s0667,0.95,0.75,2.45,0.81
s1228,0.94,0.81,2.45,0.79
s1228,0.94,0.76,2.24,0.81
s0702,0.95,0.80,2.45,0.80
s0702,0.95,0.82,2.24,0.78
s0339,0.94,0.73,2.24,0.84
s0339,0.95,0.65,2.00,0.87
s1085,0.94,0.84,3.00,0.78
s1085,0.95,0.73,2.45,0.85
s1057,0.90,1.37,5.66,0.59
s1057,0.93,1.00,3.16,0.67
s0635,0.95,0.66,2.24,0.86
s0635,0.96,0.63,2.00,0.89
s0950,0.94,0.75,3.16,0.78
s0950,0.94,0.73,3.16,0.78
s0682,0.95,0.71,2.24,0.84
s0682,0.95,0.70,2.24,0.83
s0680,0.95,0.72,2.24,0.84
s0680,0.96,0.67,2.24,0.86
s0104,0.94,0.82,3.00,0.79
s0104,0.93,0.92,3.61,0.74
s0015,0.96,0.63,2.00,0.88
s0015,0.96,0.63,2.00,0.86
s0937,0.83,2.95,17.03,0.54
s0937,0.89,1.30,8.83,0.59
s0053,0.95,0.72,2.24,0.83
s0053,0.94,0.88,2.45,0.75
s1383,0.95,0.70,2.45,0.82
s1383,0.96,0.67,2.24,0.84
s1111,0.95,0.81,2.83,0.77
s1111,0.94,0.94,3.00,0.74
s0192,0.96,0.57,1.73,0.92
s0192,0.95,0.70,2.00,0.85
s0016,0.95,0.67,2.24,0.83
s0016,0.96,0.64,2.24,0.87
s0664,0.94,0.86,2.45,0.77
s0664,0.95,0.70,2.24,0.84
s1347,0.96,0.69,2.00,0.87
s1347,0.96,0.66,2.00,0.88
s1045,0.95,0.75,2.24,0.83
s1045,0.96,0.65,1.73,0.90
s0120,0.94,0.94,3.00,0.73
s0120,0.96,0.69,2.00,0.89
s0143,0.96,0.60,2.00,0.88
s0143,0.95,0.71,2.24,0.82
s0109,0.93,1.05,3.16,0.77
s0109,0.94,0.86,2.24,0.81
s0807,0.94,0.85,2.83,0.77
s0807,0.94,0.87,3.00,0.76
s0723,0.93,0.92,2.24,0.81
s0723,0.95,0.82,2.24,0.88
s1291,0.95,0.64,2.24,0.87
s1291,0.94,0.74,2.24,0.83
s0593,0.92,1.07,3.46,0.74
s0593,0.95,0.65,1.73,0.90
s0229,0.84,2.17,8.06,0.35
s0229,0.88,1.63,5.48,0.53
s1293,0.95,0.68,2.24,0.83
s1293,0.95,0.68,2.24,0.82
s0095,0.94,0.95,3.16,0.73
s0095,0.90,1.44,5.83,0.62
s0133,0.95,0.72,2.45,0.81
s0133,0.95,0.78,2.24,0.81
s0166,0.96,0.65,2.00,0.89
s0166,0.96,0.65,2.00,0.87
s0657,0.95,0.79,2.83,0.79
s0657,0.95,0.81,2.83,0.77
s0341,0.95,0.77,2.24,0.79
s0341,0.95,0.81,2.45,0.78
s0794,0.96,0.59,2.00,0.88
s0794,0.96,0.57,2.00,0.89
s0334,0.96,0.56,2.00,0.90
s0334,0.96,0.56,2.00,0.90
s0921,0.95,0.77,3.00,0.79
s0921,0.95,0.71,2.24,0.81
