subject-id,DSC,ASD,HD95,NSD
s0859_femur_left_msk,0.87,2.07,5.92,0.55
s0859_femur_right_msk,0.86,2.20,5.83,0.47
s0592_femur_left_msk,0.91,1.22,3.74,0.74
s0592_femur_right_msk,0.90,1.32,4.12,0.71
s0375_femur_left_msk,0.90,1.45,4.47,0.69
s0375_femur_right_msk,0.91,1.28,3.74,0.73
s0918_femur_left_msk,0.82,3.25,9.17,0.50
s0918_femur_right_msk,0.90,1.69,5.39,0.66
s0776_femur_left_msk,0.92,1.23,4.12,0.76
s0776_femur_right_msk,0.91,1.30,4.58,0.72
s0074_femur_left_msk,0.90,1.53,4.58,0.70
s0074_femur_right_msk,0.89,2.83,16.02,0.69
s1247_femur_left_msk,0.92,1.16,4.24,0.79
s1247_femur_right_msk,0.90,1.33,4.69,0.72
s0648_femur_left_msk,0.88,1.75,6.16,0.67
s0648_femur_right_msk,0.91,1.35,4.47,0.77
s1069_femur_left_msk,0.92,1.28,4.00,0.76
s1069_femur_right_msk,0.92,1.25,3.74,0.77
s0210_femur_left_msk,0.90,1.47,4.24,0.63
s0210_femur_right_msk,0.81,6.62,39.91,0.50
s0885_femur_left_msk,0.91,1.39,5.20,0.67
s0885_femur_right_msk,0.90,1.45,5.00,0.68
s0212_femur_left_msk,0.90,1.82,5.74,0.69
s0212_femur_right_msk,0.91,1.35,4.00,0.71
s1130_femur_left_msk,0.90,1.54,4.24,0.65
s1130_femur_right_msk,0.88,1.83,5.39,0.57
s0988_femur_left_msk,0.90,1.59,4.12,0.62
s0988_femur_right_msk,0.85,2.28,7.35,0.47
s1143_femur_left_msk,0.91,1.48,4.24,0.69
s1143_femur_right_msk,0.89,1.85,5.39,0.64
s0502_femur_left_msk,0.92,1.23,4.12,0.73
s0502_femur_right_msk,0.93,1.06,3.32,0.79
s0141_femur_left_msk,0.90,1.41,5.00,0.77
s0141_femur_right_msk,0.89,1.59,5.39,0.72
s1238_femur_left_msk,0.86,2.26,6.56,0.52
s1238_femur_right_msk,0.89,1.73,4.69,0.64
s0509_femur_left_msk,0.73,5.65,22.49,0.38
s0509_femur_right_msk,0.78,3.55,10.82,0.40
s1348_femur_left_msk,0.89,1.58,6.63,0.56
s1348_femur_right_msk,0.88,1.69,6.71,0.54
s0174_femur_left_msk,0.89,1.40,3.61,0.72
s0174_femur_right_msk,0.87,1.71,4.47,0.61
s1149_femur_left_msk,0.89,1.65,5.83,0.69
s1149_femur_right_msk,0.89,1.72,5.10,0.62
s0768_femur_left_msk,0.89,1.95,5.10,0.71
s0768_femur_right_msk,0.89,1.53,4.69,0.68
s1276_femur_left_msk,0.90,1.40,4.36,0.72
s1276_femur_right_msk,0.89,1.36,4.24,0.70
s0072_femur_left_msk,0.87,1.63,5.66,0.62
s0072_femur_right_msk,0.87,1.68,5.39,0.61
s0880_femur_left_msk,0.80,3.53,12.37,0.44
s0880_femur_right_msk,0.91,1.42,4.12,0.70
s0428_femur_left_msk,0.89,1.61,5.10,0.69
s0428_femur_right_msk,0.88,1.85,7.07,0.68
s0614_femur_left_msk,0.91,1.44,4.58,0.75
s0614_femur_right_msk,0.91,1.33,3.46,0.74
s0171_femur_left_msk,0.89,1.73,6.40,0.72
s0171_femur_right_msk,0.90,1.76,6.00,0.72
s0519_femur_left_msk,0.89,1.73,5.48,0.66
s0519_femur_right_msk,0.91,1.36,3.74,0.69
s0992_femur_left_msk,0.90,1.39,4.12,0.71
s0992_femur_right_msk,0.90,1.34,4.47,0.72
s1099_femur_left_msk,0.90,1.36,4.47,0.73
s1099_femur_right_msk,0.90,1.34,4.24,0.71
s0667_femur_left_msk,0.92,1.29,4.47,0.69
s0667_femur_right_msk,0.92,1.49,4.12,0.71
s1228_femur_left_msk,0.90,1.51,5.00,0.72
