subject-id,DSC,ASD,HD95,NSD
s0859_femur_left_msk,0.87,1.93,5.83,0.58
s0859_femur_right_msk,0.87,1.95,6.00,0.52
s0592_femur_left_msk,0.94,0.78,2.83,0.84
s0592_femur_right_msk,0.95,0.70,2.24,0.89
s0375_femur_left_msk,0.94,0.83,2.45,0.88
s0375_femur_right_msk,0.94,0.90,3.00,0.87
s0918_femur_left_msk,0.83,2.43,7.81,0.46
s0918_femur_right_msk,0.93,1.04,3.00,0.82
s0776_femur_left_msk,0.93,0.93,3.00,0.82
s0776_femur_right_msk,0.94,0.88,2.45,0.87
s0074_femur_left_msk,0.93,1.08,3.00,0.79
s0074_femur_right_msk,0.92,3.40,28.32,0.82
s1247_femur_left_msk,0.94,0.77,2.24,0.90
s1247_femur_right_msk,0.92,0.97,3.16,0.79
s0648_femur_left_msk,0.94,0.92,2.83,0.86
s0648_femur_right_msk,0.94,0.87,2.45,0.88
s1069_femur_left_msk,0.94,0.86,2.83,0.87
s1069_femur_right_msk,0.93,0.99,3.00,0.84
s0210_femur_left_msk,0.92,1.08,3.32,0.77
s0210_femur_right_msk,0.86,1.97,6.32,0.56
s0885_femur_left_msk,0.92,1.13,4.12,0.76
s0885_femur_right_msk,0.93,0.99,3.32,0.81
s0212_femur_left_msk,0.92,1.27,3.00,0.79
s0212_femur_right_msk,0.94,0.86,2.45,0.87
s1130_femur_left_msk,0.94,0.92,2.45,0.85
s1130_femur_right_msk,0.94,0.88,2.83,0.86
s0988_femur_left_msk,0.92,1.27,3.46,0.69
s0988_femur_right_msk,0.82,3.35,10.82,0.42
s1143_femur_left_msk,0.93,1.20,3.32,0.78
s1143_femur_right_msk,0.92,1.55,5.39,0.78
s0502_femur_left_msk,0.93,1.10,3.16,0.78
s0502_femur_right_msk,0.94,0.86,2.45,0.87
s0141_femur_left_msk,0.93,0.96,3.00,0.82
s0141_femur_right_msk,0.93,0.98,3.00,0.83
s1238_femur_left_msk,0.92,1.20,4.24,0.76
s1238_femur_right_msk,0.94,1.00,2.83,0.83
s0509_femur_left_msk,0.69,6.40,23.41,0.36
s0509_femur_right_msk,0.85,2.40,7.87,0.54
s1348_femur_left_msk,0.92,1.09,4.58,0.72
s1348_femur_right_msk,0.92,1.04,5.00,0.74
s0174_femur_left_msk,0.92,1.06,2.83,0.82
s0174_femur_right_msk,0.92,1.01,2.83,0.82
s1149_femur_left_msk,0.90,1.37,5.39,0.71
s1149_femur_right_msk,0.88,2.46,5.83,0.61
s0768_femur_left_msk,0.91,1.25,3.32,0.77
s0768_femur_right_msk,0.92,1.09,3.46,0.79
s1276_femur_left_msk,0.93,0.86,2.83,0.86
s1276_femur_right_msk,0.94,0.75,2.45,0.89
s0072_femur_left_msk,0.90,1.10,7.21,0.72
s0072_femur_right_msk,0.89,1.22,9.27,0.67
s0880_femur_left_msk,0.83,2.86,8.12,0.48
s0880_femur_right_msk,0.93,1.00,3.00,0.82
s0428_femur_left_msk,0.91,1.32,4.12,0.74
s0428_femur_right_msk,0.93,1.00,3.00,0.82
s0614_femur_left_msk,0.94,0.90,2.45,0.88
s0614_femur_right_msk,0.94,0.89,2.24,0.89
s0171_femur_left_msk,0.93,0.87,3.32,0.81
s0171_femur_right_msk,0.93,0.92,3.00,0.84
s0519_femur_left_msk,0.94,0.95,2.83,0.84
s0519_femur_right_msk,0.95,0.74,2.24,0.90
s0992_femur_left_msk,0.95,0.61,2.00,0.94
s0992_femur_right_msk,0.94,0.76,2.83,0.89
s1099_femur_left_msk,0.93,0.88,2.83,0.86
s1099_femur_right_msk,0.93,0.81,2.83,0.86
s0667_femur_left_msk,0.93,1.12,4.12,0.73
s0667_femur_right_msk,0.93,1.14,4.00,0.82
s1228_femur_left_msk,0.93,0.92,2.83,0.86
s1228_femur_right_msk,0.92,0.98,2.83,0.83
s0702_femur_left_msk,0.93,0.98,3.61,0.80
s0702_femur_right_msk,0.93,1.10,4.12,0.78
s0339_femur_left_msk,0.93,0.90,2.83,0.84
s0339_femur_right_msk,0.93,0.83,2.45,0.87
s1085_femur_left_msk,0.93,1.06,3.61,0.77
s1085_femur_right_msk,0.94,0.86,2.83,0.86
s1057_femur_left_msk,0.89,1.38,5.66,0.67
s1057_femur_right_msk,0.92,1.14,3.16,0.74
s0635_femur_left_msk,0.93,0.91,2.83,0.85
s0635_femur_right_msk,0.95,0.69,2.24,0.91
s0950_femur_left_msk,0.93,0.84,3.16,0.82
s0950_femur_right_msk,0.94,0.77,3.00,0.85
s0682_femur_left_msk,0.94,0.92,2.83,0.85
s0682_femur_right_msk,0.93,1.02,3.00,0.81
s0680_femur_left_msk,0.94,0.89,3.00,0.86
s0680_femur_right_msk,0.95,0.76,2.24,0.90
s0104_femur_left_msk,0.92,1.00,3.00,0.82
s0104_femur_right_msk,0.91,1.21,3.74,0.77
s0015_femur_left_msk,0.95,0.77,2.24,0.91
s0015_femur_right_msk,0.95,0.77,2.24,0.90
s0937_femur_left_msk,0.85,2.62,13.00,0.61
s0937_femur_right_msk,0.87,1.95,8.12,0.65
s0053_femur_left_msk,0.94,1.13,3.00,0.82
s0053_femur_right_msk,0.92,1.20,3.74,0.76
s1383_femur_left_msk,0.96,0.66,2.24,0.92
s1383_femur_right_msk,0.95,0.78,2.45,0.87
s1111_femur_left_msk,0.93,0.99,3.32,0.81
s1111_femur_right_msk,0.91,1.40,4.12,0.67
s0192_femur_left_msk,0.94,0.74,2.24,0.89
s0192_femur_right_msk,0.95,0.70,2.00,0.92
s0016_femur_left_msk,0.95,0.76,2.24,0.88
s0016_femur_right_msk,0.95,0.75,2.24,0.89
s0664_femur_left_msk,0.92,1.11,3.16,0.81
s0664_femur_right_msk,0.95,0.75,2.24,0.91
s1347_femur_left_msk,0.94,1.03,2.45,0.87
s1347_femur_right_msk,0.94,0.86,2.45,0.88
s1045_femur_left_msk,0.95,0.78,2.24,0.91
s1045_femur_right_msk,0.95,0.79,2.24,0.90
s0120_femur_left_msk,0.95,0.83,2.45,0.88
s0120_femur_right_msk,0.95,0.84,2.24,0.90
s0143_femur_left_msk,0.94,0.85,2.83,0.87
s0143_femur_right_msk,0.94,0.87,2.45,0.87
s0109_femur_left_msk,0.93,1.21,3.16,0.84
s0109_femur_right_msk,0.93,1.01,3.00,0.83
s0807_femur_left_msk,0.94,0.83,3.00,0.85
s0807_femur_right_msk,0.93,1.07,3.32,0.79
s0723_femur_left_msk,0.93,0.94,2.45,0.88
s0723_femur_right_msk,0.94,0.83,2.24,0.91
s1291_femur_left_msk,0.93,0.83,2.45,0.87
s1291_femur_right_msk,0.91,1.63,4.24,0.76
s0593_femur_left_msk,0.92,1.23,4.12,0.81
s0593_femur_right_msk,0.95,0.70,2.00,0.95
s0229_femur_left_msk,0.86,2.21,6.16,0.51
s0229_femur_right_msk,0.82,5.05,23.30,0.52
s1293_femur_left_msk,0.94,0.70,2.24,0.89
s1293_femur_right_msk,0.93,0.94,3.32,0.82
s0095_femur_left_msk,0.93,0.94,3.16,0.81
s0095_femur_right_msk,0.90,1.33,6.40,0.64
s0133_femur_left_msk,0.95,0.82,2.45,0.86
s0133_femur_right_msk,0.93,1.05,3.00,0.77
