subject-id,DSC,ASD,HD95,NSD
s0859_femur_left_msk,0.86,1.90,6.71,0.51
s0859_femur_right_msk,0.84,2.09,8.77,0.46
s0592_femur_left_msk,0.93,0.95,2.83,0.83
s0592_femur_right_msk,0.92,1.04,3.00,0.80
s0375_femur_left_msk,0.94,0.89,2.24,0.89
s0375_femur_right_msk,0.94,0.88,2.24,0.89
s0918_femur_left_msk,0.82,2.35,7.35,0.40
s0918_femur_right_msk,0.94,0.87,2.83,0.85
s0776_femur_left_msk,0.95,0.76,2.24,0.90
s0776_femur_right_msk,0.93,1.02,3.16,0.80
s0074_femur_left_msk,0.94,0.86,2.83,0.86
s0074_femur_right_msk,0.94,0.90,3.00,0.84
s1247_femur_left_msk,0.94,0.79,2.45,0.88
s1247_femur_right_msk,0.94,0.85,2.83,0.85
s0648_femur_left_msk,0.93,1.00,3.00,0.81
s0648_femur_right_msk,0.94,0.95,2.24,0.89
s1069_femur_left_msk,0.93,1.00,3.00,0.81
s1069_femur_right_msk,0.94,0.88,2.45,0.88
s0210_femur_left_msk,0.95,0.78,2.24,0.89
s0210_femur_right_msk,0.91,1.30,4.24,0.68
s0885_femur_left_msk,0.91,1.26,5.00,0.72
s0885_femur_right_msk,0.91,1.20,4.69,0.72
s0212_femur_left_msk,0.94,0.92,2.45,0.87
s0212_femur_right_msk,0.94,0.89,2.45,0.86
s1130_femur_left_msk,0.94,0.98,3.00,0.81
s1130_femur_right_msk,0.93,1.02,3.00,0.79
s0988_femur_left_msk,0.93,1.15,3.32,0.73
s0988_femur_right_msk,0.78,2.76,13.93,0.36
s1143_femur_left_msk,0.93,1.10,3.16,0.76
s1143_femur_right_msk,0.93,1.09,3.32,0.77
s0502_femur_left_msk,0.92,1.11,3.61,0.75
s0502_femur_right_msk,0.94,0.98,3.00,0.82
s0141_femur_left_msk,0.94,0.76,2.24,0.91
s0141_femur_right_msk,0.93,0.91,2.83,0.86
s1238_femur_left_msk,0.91,1.37,4.24,0.70
s1238_femur_right_msk,0.94,0.94,2.83,0.86
s0509_femur_left_msk,0.73,4.10,11.66,0.29
s0509_femur_right_msk,0.85,2.14,7.07,0.44
s1348_femur_left_msk,0.90,1.32,5.74,0.66
s1348_femur_right_msk,0.91,1.27,5.48,0.68
s0174_femur_left_msk,0.92,1.02,2.83,0.83
s0174_femur_right_msk,0.90,1.47,3.74,0.74
s1149_femur_left_msk,0.92,1.08,3.61,0.80
s1149_femur_right_msk,0.91,1.24,4.12,0.71
s0768_femur_left_msk,0.93,1.15,2.83,0.82
s0768_femur_right_msk,0.93,0.82,2.83,0.83
s1276_femur_left_msk,0.93,0.92,2.83,0.85
s1276_femur_right_msk,0.92,0.96,2.45,0.83
s0072_femur_left_msk,0.92,0.97,3.61,0.78
s0072_femur_right_msk,0.89,1.22,5.10,0.66
s0880_femur_left_msk,0.87,1.81,6.40,0.55
s0880_femur_right_msk,0.94,0.96,2.83,0.86
s0428_femur_left_msk,0.93,1.03,2.83,0.83
s0428_femur_right_msk,0.92,1.19,4.00,0.78
s0614_femur_left_msk,0.93,1.08,3.00,0.80
s0614_femur_right_msk,0.93,1.04,2.83,0.82
s0171_femur_left_msk,0.92,1.10,3.32,0.77
s0171_femur_right_msk,0.93,1.43,3.16,0.81
s0519_femur_left_msk,0.93,1.09,3.00,0.78
s0519_femur_right_msk,0.93,0.98,2.83,0.83
s0992_femur_left_msk,0.93,0.89,2.45,0.87
s0992_femur_right_msk,0.94,0.76,2.24,0.90
s1099_femur_left_msk,0.91,1.10,3.00,0.76
s1099_femur_right_msk,0.92,0.99,3.16,0.80
s0667_femur_left_msk,0.95,0.82,3.00,0.84
s0667_femur_right_msk,0.95,0.81,2.45,0.89
s1228_femur_left_msk,0.93,0.98,3.00,0.83
s1228_femur_right_msk,0.92,1.01,3.00,0.81
s0702_femur_left_msk,0.93,1.13,3.61,0.77
s0702_femur_right_msk,0.93,1.07,3.61,0.76
s0339_femur_left_msk,0.92,1.00,3.00,0.80
s0339_femur_right_msk,0.91,1.19,4.12,0.73
s1085_femur_left_msk,0.92,1.14,4.12,0.72
s1085_femur_right_msk,0.93,1.00,3.00,0.81
s1057_femur_left_msk,0.90,1.26,5.39,0.68
s1057_femur_right_msk,0.91,1.22,4.58,0.71
s0635_femur_left_msk,0.94,0.88,2.45,0.86
s0635_femur_right_msk,0.94,0.86,2.24,0.87
s0950_femur_left_msk,0.92,1.03,4.12,0.74
s0950_femur_right_msk,0.91,1.08,3.74,0.73
s0682_femur_left_msk,0.94,1.02,3.00,0.83
s0682_femur_right_msk,0.94,0.88,2.45,0.86
s0680_femur_left_msk,0.95,0.86,2.24,0.89
s0680_femur_right_msk,0.95,0.78,2.45,0.89
s0104_femur_left_msk,0.92,1.03,3.16,0.81
s0104_femur_right_msk,0.93,0.94,3.00,0.82
s0015_femur_left_msk,0.94,0.97,2.45,0.85
s0015_femur_right_msk,0.93,1.00,2.83,0.82
s0937_femur_left_msk,0.74,2.71,16.00,0.47
s0937_femur_right_msk,0.91,1.14,5.10,0.68
s0053_femur_left_msk,0.94,1.03,3.00,0.81
s0053_femur_right_msk,0.93,1.05,3.00,0.79
s1383_femur_left_msk,0.94,0.92,2.45,0.85
s1383_femur_right_msk,0.94,0.99,3.00,0.80
