subject-id,DSC,ASD,HD95,NSD
s0859,0.86,1.92,6.63,0.44
s0859,0.83,2.15,12.81,0.38
s0592,0.94,0.76,2.45,0.76
s0592,0.94,0.77,3.00,0.77
s0375,0.96,0.63,2.00,0.88
s0375,0.95,0.69,2.24,0.87
s0918,0.85,1.89,7.00,0.42
s0918,0.95,0.81,2.45,0.79
s0776,0.94,0.88,2.83,0.75
s0776,0.95,0.76,2.24,0.80
s0074,0.93,1.27,2.83,0.69
s0074,0.90,3.15,20.62,0.74
s1247,0.94,0.75,2.24,0.83
s1247,0.94,0.75,2.24,0.81
s0648,0.94,0.80,2.24,0.81
s0648,0.94,0.81,2.24,0.81
s1069,0.95,0.78,2.24,0.80
s1069,0.95,0.71,2.24,0.83
s0210,0.95,0.69,2.24,0.82
s0210,0.90,1.16,8.83,0.61
s0885,0.92,1.11,4.90,0.65
s0885,0.93,1.00,4.12,0.68
s0212,0.94,0.83,2.45,0.80
s0212,0.95,0.71,2.24,0.84
s1130,0.95,0.73,2.24,0.80
s1130,0.95,0.69,2.24,0.82
s0988,0.93,1.13,3.74,0.65
s0988,0.85,2.16,7.81,0.41
s1143,0.93,1.09,3.32,0.67
s1143,0.93,1.03,3.00,0.70
s0502,0.93,1.42,3.32,0.67
s0502,0.95,0.74,2.24,0.82
s0141,0.94,0.83,2.24,0.76
s0141,0.94,0.94,2.45,0.82
s1238,0.93,1.15,3.61,0.67
s1238,0.95,0.82,2.24,0.81
s0509,0.66,4.88,14.25,0.24
s0509,0.86,1.97,6.16,0.43
s1348,0.92,1.10,5.00,0.61
s1348,0.93,0.89,4.90,0.71
s0174,0.92,0.97,3.00,0.71
s0174,0.91,1.03,3.61,0.67
s1149,0.91,1.21,4.12,0.64
s1149,0.91,1.43,4.47,0.60
s0768,0.92,1.34,3.61,0.66
s0768,0.93,1.30,2.83,0.76
s1276,0.94,0.70,2.24,0.82
s1276,0.93,0.82,2.45,0.74
s0072,0.92,0.88,6.48,0.70
s0072,0.91,1.00,6.32,0.65
s0880,0.83,2.26,7.14,0.39
s0880,0.94,0.87,3.00,0.74
s0428,0.94,0.81,2.45,0.79
s0428,0.94,0.80,2.45,0.79
s0614,0.95,0.71,2.24,0.84
s0614,0.95,0.74,2.24,0.84
s0171,0.93,0.91,3.00,0.71
s0171,0.94,0.77,2.45,0.77
s0519,0.94,0.94,2.83,0.74
s0519,0.96,0.61,2.00,0.88
s0992,0.95,0.65,2.24,0.85
s0992,0.95,0.62,2.00,0.87
s1099,0.93,0.84,2.45,0.78
s1099,0.94,0.71,2.24,0.82
s0667,0.94,0.98,3.16,0.71
s0667,0.94,1.03,2.83,0.76
s1228,0.94,0.82,2.45,0.79
s1228,0.94,0.77,2.24,0.80
s0702,0.94,0.81,3.16,0.78
s0702,0.94,0.97,3.00,0.71
s0339,0.94,0.78,2.83,0.77
s0339,0.93,0.88,3.00,0.74
s1085,0.95,0.71,2.83,0.79
s1085,0.94,0.85,2.83,0.75
