subject-id,DSC,ASD,HD95,NSD
img0073_hip_msk,0.14,12.31,32.02,0.05
img0071_hip_msk,0.16,10.35,27.62,0.06
img0068_hip_msk,0.20,9.93,26.90,0.06
img0080_hip_msk,0.19,9.78,25.71,0.06
img0061_hip_msk,0.15,12.13,29.98,0.05
img0065_hip_msk,0.18,10.54,27.60,0.08
img0069_hip_msk,0.17,12.30,32.17,0.05
img0079_hip_msk,0.13,13.44,34.90,0.06
img0077_hip_msk,0.18,13.56,37.43,0.07
img0072_hip_msk,0.17,11.47,30.07,0.07
img0066_hip_msk,0.21,8.25,22.58,0.07
img0067_hip_msk,0.23,8.65,24.57,0.06
img0075_hip_msk,0.22,8.12,23.26,0.07
img0040_hip_msk,0.16,11.43,31.70,0.05
img0007_hip_msk,0.19,8.28,28.02,0.05
img0039_hip_msk,0.20,9.41,26.25,0.07
img0036_hip_msk,0.17,9.87,27.48,0.05
img0025_hip_msk,0.19,11.07,31.24,0.06
img0034_hip_msk,0.23,11.04,33.08,0.07
img0026_hip_msk,0.21,9.10,28.23,0.06
img0008_hip_msk,0.16,10.89,26.55,0.06
img0021_hip_msk,0.18,9.73,24.78,0.06
img0001_hip_msk,0.15,11.64,32.16,0.05
img0037_hip_msk,0.21,8.71,29.97,0.06
img0006_hip_msk,0.15,10.98,26.25,0.06
img0023_hip_msk,0.22,8.99,28.18,0.07
img0022_hip_msk,0.21,9.60,26.38,0.07
img0030_hip_msk,0.19,10.58,29.41,0.06
img0028_hip_msk,0.16,8.89,23.54,0.06
img0002_hip_msk,0.15,10.41,26.08,0.06
img0024_hip_msk,0.16,10.24,29.69,0.06
img0004_hip_msk,0.17,8.58,22.89,0.05
img0010_hip_msk,0.16,12.85,32.86,0.07
img0032_hip_msk,0.16,10.41,33.30,0.05
img0003_hip_msk,0.21,10.20,29.07,0.06
