subject-id,DSC,ASD,HD95,NSD
CLINIC_0024_hip_msk,0.74,1.14,6.56,0.36
CLINIC_0059_hip_msk,0.68,1.48,4.69,0.29
CLINIC_0020_hip_msk,0.74,1.22,4.00,0.35
CLINIC_0010_hip_msk,0.76,1.26,4.12,0.37
CLINIC_0079_hip_msk,0.73,1.41,4.12,0.34
CLINIC_0062_hip_msk,0.80,1.03,3.00,0.44
CLINIC_0005_hip_msk,0.67,1.66,4.69,0.32
CLINIC_0077_hip_msk,0.81,0.91,2.83,0.45
CLINIC_0096_hip_msk,0.77,1.11,3.00,0.39
CLINIC_0087_hip_msk,0.72,1.24,4.00,0.39
CLINIC_0093_hip_msk,0.78,1.15,3.00,0.40
CLINIC_0054_hip_msk,0.61,3.98,10.86,0.25
CLINIC_0018_hip_msk,0.75,1.11,4.12,0.33
CLINIC_0013_hip_msk,0.74,1.40,4.12,0.37
CLINIC_0090_hip_msk,0.78,1.24,3.16,0.42
CLINIC_0044_hip_msk,0.78,1.00,2.83,0.41
CLINIC_0022_hip_msk,0.74,1.50,3.61,0.38
CLINIC_0074_hip_msk,0.78,1.07,4.69,0.38
CLINIC_0103_hip_msk,0.79,1.07,3.61,0.40
CLINIC_0026_hip_msk,0.80,0.97,3.16,0.45
CLINIC_0039_hip_msk,0.76,1.29,4.00,0.35
CLINIC_0073_hip_msk,0.76,1.22,4.58,0.37
CLINIC_0092_hip_msk,0.82,0.92,3.16,0.45
CLINIC_0084_hip_msk,0.78,1.22,3.74,0.36
CLINIC_0031_hip_msk,0.80,1.02,3.74,0.39
CLINIC_0029_hip_msk,0.77,1.37,3.32,0.36
CLINIC_0028_hip_msk,0.80,1.03,3.61,0.40
CLINIC_0046_hip_msk,0.78,1.10,3.74,0.41
CLINIC_0069_hip_msk,0.76,1.15,3.61,0.38
CLINIC_0058_hip_msk,0.82,0.92,3.16,0.45
CLINIC_0098_hip_msk,0.77,1.05,3.61,0.38
CLINIC_0037_hip_msk,0.71,1.29,4.12,0.34
CLINIC_0016_hip_msk,0.75,1.11,3.32,0.40
CLINIC_0061_hip_msk,0.76,1.23,3.74,0.36
CLINIC_0095_hip_msk,0.78,1.07,3.16,0.38
CLINIC_0045_hip_msk,0.76,1.19,4.12,0.38
CLINIC_0050_hip_msk,0.71,1.46,4.36,0.31
CLINIC_0035_hip_msk,0.75,1.32,3.16,0.42
CLINIC_0047_hip_msk,0.64,6.14,41.26,0.26
CLINIC_0089_hip_msk,0.77,1.18,3.74,0.37
CLINIC_0101_hip_msk,0.72,1.36,4.12,0.34
CLINIC_0041_hip_msk,0.78,1.05,3.00,0.43
CLINIC_0100_hip_msk,0.80,1.16,3.32,0.46
CLINIC_0001_hip_msk,0.64,1.74,4.58,0.28
CLINIC_0014_hip_msk,0.67,1.76,4.47,0.31
CLINIC_0068_hip_msk,0.83,0.88,2.45,0.50
CLINIC_0080_hip_msk,0.76,1.30,4.12,0.36
CLINIC_0048_hip_msk,0.80,1.02,3.46,0.42
CLINIC_0021_hip_msk,0.78,1.02,3.16,0.38
CLINIC_0003_hip_msk,0.79,1.06,3.00,0.39
CLINIC_0083_hip_msk,0.76,1.61,3.00,0.40
CLINIC_0030_hip_msk,0.77,1.18,3.32,0.39
CLINIC_0086_hip_msk,0.66,1.80,4.90,0.26
CLINIC_0015_hip_msk,0.77,1.12,3.46,0.40
CLINIC_0085_hip_msk,0.74,1.22,3.61,0.38
CLINIC_0078_hip_msk,0.75,1.23,3.61,0.36
CLINIC_0064_hip_msk,0.76,1.18,3.61,0.38
CLINIC_0025_hip_msk,0.70,1.65,5.00,0.30
CLINIC_0009_hip_msk,0.66,1.74,6.40,0.26
CLINIC_0075_hip_msk,0.79,1.16,3.00,0.44
CLINIC_0034_hip_msk,0.75,1.22,3.61,0.34
CLINIC_0012_hip_msk,0.76,1.02,3.00,0.39
CLINIC_0032_hip_msk,0.73,1.38,4.12,0.35
CLINIC_0043_hip_msk,0.81,0.88,3.00,0.44
CLINIC_0081_hip_msk,0.81,0.96,3.61,0.41
CLINIC_0038_hip_msk,0.77,1.42,3.32,0.41
CLINIC_0017_hip_msk,0.75,2.17,3.74,0.40
CLINIC_0051_hip_msk,0.80,0.93,3.00,0.46
CLINIC_0063_hip_msk,0.82,0.90,4.24,0.48
CLINIC_0006_hip_msk,0.70,1.50,4.47,0.35
CLINIC_0099_hip_msk,0.78,0.94,3.16,0.44
CLINIC_0102_hip_msk,0.81,0.96,4.12,0.43
CLINIC_0076_hip_msk,0.75,1.18,5.00,0.41
CLINIC_0057_hip_msk,0.83,0.84,3.00,0.47
CLINIC_0053_hip_msk,0.75,1.22,4.24,0.34
CLINIC_0060_hip_msk,0.62,3.71,10.49,0.29
CLINIC_0042_hip_msk,0.70,1.87,5.00,0.32
CLINIC_0055_hip_msk,0.77,1.13,3.61,0.41
CLINIC_0097_hip_msk,0.79,0.96,2.83,0.45
CLINIC_0072_hip_msk,0.72,1.20,3.00,0.40
CLINIC_0071_hip_msk,0.80,1.01,3.00,0.41
CLINIC_0066_hip_msk,0.59,2.60,9.11,0.23
CLINIC_0040_hip_msk,0.80,1.03,3.61,0.43
CLINIC_0019_hip_msk,0.80,1.23,3.16,0.45
CLINIC_0023_hip_msk,0.77,1.21,3.61,0.35
CLINIC_0082_hip_msk,0.85,0.78,3.00,0.54
CLINIC_0088_hip_msk,0.67,1.67,5.00,0.29
CLINIC_0008_hip_msk,0.70,1.34,4.12,0.32
CLINIC_0094_hip_msk,0.81,0.99,3.00,0.44
CLINIC_0033_hip_msk,0.71,1.52,5.10,0.31
CLINIC_0052_hip_msk,0.82,1.11,2.83,0.50
CLINIC_0027_hip_msk,0.81,0.92,3.00,0.47
CLINIC_0011_hip_msk,0.65,2.18,6.71,0.25
CLINIC_0049_hip_msk,0.73,1.59,4.12,0.34
CLINIC_0067_hip_msk,0.84,0.82,2.45,0.50
CLINIC_0004_hip_msk,0.81,0.96,2.83,0.43
CLINIC_0056_hip_msk,0.82,0.91,2.45,0.48
CLINIC_0070_hip_msk,0.55,2.71,9.22,0.22
CLINIC_0091_hip_msk,0.72,1.47,4.12,0.38
CLINIC_0002_hip_msk,0.70,1.46,4.36,0.32
CLINIC_0007_hip_msk,0.76,1.20,4.00,0.37
CLINIC_0036_hip_msk,0.63,2.86,7.35,0.25
CLINIC_0065_hip_msk,0.77,1.06,3.16,0.42
