subject-id,DSC,ASD,HD95,NSD
CLINIC_metal_0003_hip_msk,0.77,1.12,4.12,0.36
CLINIC_metal_0011_hip_msk,0.77,1.16,3.32,0.39
CLINIC_metal_0006_hip_msk,0.79,1.03,3.16,0.42
CLINIC_metal_0004_hip_msk,0.79,1.18,3.61,0.37
CLINIC_metal_0000_hip_msk,0.68,1.88,5.39,0.25
CLINIC_metal_0002_hip_msk,0.78,1.15,3.46,0.35
CLINIC_metal_0009_hip_msk,0.67,2.69,13.08,0.22
CLINIC_metal_0012_hip_msk,0.75,1.23,5.00,0.33
CLINIC_metal_0013_hip_msk,0.72,1.58,4.36,0.30
CLINIC_metal_0007_hip_msk,0.77,0.98,3.61,0.38
CLINIC_metal_0005_hip_msk,0.79,1.11,3.61,0.39
CLINIC_metal_0008_hip_msk,0.29,21.31,49.28,0.10
CLINIC_metal_0010_hip_msk,0.78,1.08,3.00,0.44
CLINIC_metal_0001_hip_msk,0.75,1.20,3.16,0.38
