subject-id,DSC,ASD,HD95,NSD
case_00014_hip_msk,0.74,1.59,5.74,0.40
case_00016_hip_msk,0.81,0.89,2.83,0.48
case_00019_hip_msk,0.84,0.92,3.74,0.42
case_00022_hip_msk,0.70,2.33,9.90,0.29
case_00026_hip_msk,0.87,0.81,2.83,0.53
case_00027_hip_msk,0.76,1.22,3.74,0.34
case_00032_hip_msk,0.84,0.74,2.83,0.52
case_00033_hip_msk,0.85,0.79,2.83,0.54
case_00040_hip_msk,0.70,1.45,4.12,0.34
case_00046_hip_msk,0.82,0.96,3.00,0.47
case_00052_hip_msk,0.79,1.71,4.12,0.42
case_00059_hip_msk,0.70,1.64,5.48,0.33
case_00060_hip_msk,0.76,1.13,3.32,0.43
case_00066_hip_msk,0.85,0.94,2.83,0.52
case_00071_hip_msk,0.68,2.47,11.40,0.33
case_00082_hip_msk,0.74,1.08,6.32,0.36
case_00084_hip_msk,0.79,1.63,8.00,0.47
case_00093_hip_msk,0.75,1.53,4.12,0.33
case_00095_hip_msk,0.87,0.75,2.83,0.55
case_00096_hip_msk,0.77,1.34,4.00,0.38
case_00100_hip_msk,0.86,0.70,2.24,0.57
case_00123_hip_msk,0.85,0.82,2.83,0.53
case_00132_hip_msk,0.70,2.71,13.05,0.32
case_00133_hip_msk,0.79,1.06,3.00,0.41
case_00135_hip_msk,0.74,1.79,4.24,0.33
case_00144_hip_msk,0.86,0.69,2.24,0.57
case_00146_hip_msk,0.78,2.42,10.49,0.41
case_00151_hip_msk,0.77,1.19,4.24,0.35
case_00155_hip_msk,0.76,1.33,3.61,0.36
case_00156_hip_msk,0.84,0.80,3.00,0.50
case_00159_hip_msk,0.78,1.39,3.74,0.39
case_00170_hip_msk,0.85,0.87,2.83,0.49
case_00188_hip_msk,0.62,2.94,11.18,0.29
case_00202_hip_msk,0.82,0.91,2.45,0.48
case_00203_hip_msk,0.78,1.01,5.10,0.42
case_00214_hip_msk,0.82,1.15,3.61,0.45
case_00246_hip_msk,0.70,1.59,4.36,0.33
case_00253_hip_msk,0.82,0.83,2.45,0.48
case_00264_hip_msk,0.82,0.84,2.45,0.47
case_00276_hip_msk,0.86,0.84,3.00,0.49
case_00293_hip_msk,0.74,2.13,8.30,0.37
case_00294_hip_msk,0.79,1.57,4.12,0.41
case_00298_hip_msk,0.80,1.00,3.16,0.40
case_00299_hip_msk,0.82,1.14,3.00,0.43
