id,ASIS_L,ASIS_R,PT_L,PT_R,IS_L,IS_R,PSIS_L,PSIS_R
s0163,10.121,7.757,6.006,8.739,5.689,3.221,5.589,3.372
s0232,4.554,3.870,8.071,10.187,6.863,5.023,9.230,11.369
s0139,5.288,6.974,4.086,4.824,3.094,2.425,1.895,2.946
s0029,3.051,3.938,10.853,6.537,4.543,5.336,10.539,5.542
s0182,2.676,3.633,3.549,3.051,4.130,9.556,2.287,1.875
s0091,5.799,7.429,6.411,2.346,2.669,6.006,1.831,4.113
s0040,3.688,4.119,5.176,7.475,4.308,3.075,9.866,8.673
s0089,58.904,4.313,30.075,4.123,60.474,23.315,88.412,51.718
s0082,5.772,4.469,4.333,2.162,1.100,6.865,3.811,4.773
s0049,6.836,9.971,3.816,3.295,7.901,5.547,2.990,5.713
s0314,6.033,5.346,5.360,2.747,4.771,7.045,1.769,4.942
s0250,5.888,9.001,4.480,5.879,3.758,7.656,4.659,4.392
s0370,2.341,5.952,3.492,7.547,4.951,4.677,2.341,3.840
s0341,4.418,2.700,5.959,12.746,8.686,4.680,8.360,7.952
s0383,3.971,2.550,11.453,7.820,3.194,8.282,1.704,6.306
s0440,3.821,15.485,7.311,3.425,5.051,1.180,3.357,3.082
s0385,9.151,3.066,6.200,17.951,6.481,8.686,7.776,8.665
s0399,3.743,12.475,0.915,7.050,8.363,5.974,9.601,5.720
s0473,16.280,2.487,11.629,4.630,2.600,5.181,2.940,0.716
s0468,4.223,4.923,7.298,6.724,6.413,6.677,7.604,9.620
s0505,3.040,8.767,11.016,5.424,1.956,6.618,2.192,4.852
s0592,7.521,3.994,4.660,4.739,4.319,4.642,45.030,11.457
s0600,3.662,8.610,10.608,8.414,2.955,11.964,4.876,2.460
s0581,2.295,1.591,6.607,2.646,3.279,0.807,72.421,1.979
s0593,2.943,3.137,7.797,3.869,3.059,3.841,5.323,4.292
s0483,9.086,9.618,6.967,6.028,5.100,4.443,2.563,10.720
s0607,3.075,3.199,9.234,3.002,3.050,6.468,5.635,4.977
s0636,4.348,6.128,5.546,8.577,5.075,3.602,6.250,7.002
s0668,3.108,1.162,9.351,11.993,3.697,2.837,4.016,3.008
s0624,2.622,3.936,1.256,1.256,1.843,5.507,5.144,3.572
s0673,2.504,5.606,7.297,13.947,4.474,5.335,21.103,66.369
s0680,4.934,1.534,3.383,1.474,6.174,6.225,3.302,4.326
s0626,5.551,1.710,4.642,1.350,5.532,2.443,3.169,5.453
s0728,16.445,22.392,3.845,3.052,4.829,5.117,6.161,6.569
s0663,5.614,3.058,1.946,7.181,6.075,2.413,6.567,4.998
s0687,8.674,3.852,10.815,4.531,3.923,6.359,1.458,2.888
s0737,1.300,2.404,2.595,4.758,1.692,5.539,4.866,3.095
s0763,4.084,4.888,3.411,2.314,3.138,4.788,4.594,6.623
s0726,5.037,4.105,3.259,2.567,3.887,3.103,7.447,7.975
s0772,7.749,12.433,8.110,5.099,4.506,6.076,3.181,1.319
s0774,0.932,3.869,6.955,6.876,7.042,2.133,7.729,4.430
s0842,6.199,6.375,6.737,9.474,1.114,5.803,3.146,3.308
s0869,6.989,6.115,5.650,3.849,6.525,3.306,4.895,8.230
s0804,11.170,8.780,28.694,6.780,54.451,7.609,78.327,42.224
s0746,4.911,1.224,1.990,2.774,5.433,3.418,4.811,4.125
s0924,6.456,11.449,6.411,7.763,2.194,3.077,8.513,9.259
s0963,3.029,2.922,2.009,12.247,8.360,4.555,14.829,12.954
s0928,3.476,1.786,13.683,10.108,10.890,19.373,6.878,7.759
s0931,4.671,5.296,11.748,7.013,3.551,6.105,5.480,10.464
s0940,4.827,2.915,4.049,7.307,2.664,2.351,6.688,4.958
s0986,14.389,19.200,6.467,10.086,4.171,11.989,14.157,10.847
s0979,2.138,2.033,5.017,2.050,2.310,2.372,1.604,6.491
s1008,3.352,3.546,2.356,15.274,5.422,5.252,5.171,2.356
s1016,6.386,5.058,7.994,8.298,2.895,7.655,12.874,5.099
s1005,6.916,12.138,7.289,4.298,3.852,8.079,11.164,1.403
s1069,2.410,8.613,7.048,3.565,3.531,4.644,4.774,3.256
s1120,8.274,4.814,5.638,3.910,11.303,15.170,6.747,5.877
s1044,5.535,6.358,9.361,3.859,3.598,3.716,13.982,7.026
s1322,6.988,8.720,9.628,5.889,2.838,5.389,8.290,3.706
s1046,4.210,4.394,4.590,5.190,3.091,4.436,2.347,6.282
s1336,4.641,1.345,11.475,5.033,1.117,3.413,2.668,1.118
s1349,17.693,7.358,5.883,6.080,7.857,3.627,11.306,11.703
s1347,3.193,5.488,6.583,11.415,8.509,5.276,3.970,6.165
s1348,3.394,4.251,6.396,5.222,4.891,6.696,2.580,3.228
s1373,3.299,6.053,2.664,12.479,2.415,2.252,2.890,1.392
s1339,5.035,5.340,3.834,1.940,5.421,5.692,5.283,3.659
s1377,7.052,2.612,5.901,14.849,3.300,7.637,4.651,1.944
