subject-id,DSC,ASD,HD95,NSD
img0073_hip_msk,0.20,9.83,26.99,0.08
img0071_hip_msk,0.19,9.78,28.72,0.07
img0068_hip_msk,0.20,9.10,24.49,0.08
img0080_hip_msk,0.22,7.74,22.83,0.08
img0061_hip_msk,0.18,9.87,25.38,0.07
img0065_hip_msk,0.19,8.62,26.38,0.06
img0069_hip_msk,0.21,8.71,27.09,0.07
img0079_hip_msk,0.19,8.56,23.28,0.07
img0077_hip_msk,0.17,9.99,26.25,0.07
img0072_hip_msk,0.18,9.00,22.56,0.08
img0066_hip_msk,0.20,8.76,24.08,0.07
img0067_hip_msk,0.23,8.72,26.31,0.08
img0075_hip_msk,0.22,8.06,23.69,0.07
img0040_hip_msk,0.18,9.91,25.18,0.08
img0007_hip_msk,0.22,7.68,21.95,0.08
img0039_hip_msk,0.19,9.98,27.48,0.08
img0036_hip_msk,0.19,9.76,26.02,0.07
img0025_hip_msk,0.17,9.19,22.49,0.08
img0034_hip_msk,0.22,8.60,24.51,0.08
img0026_hip_msk,0.21,8.50,24.60,0.09
img0008_hip_msk,0.20,8.45,24.68,0.09
img0021_hip_msk,0.21,9.63,25.25,0.09
img0001_hip_msk,0.21,9.42,26.59,0.08
img0037_hip_msk,0.21,7.98,23.96,0.07
img0006_hip_msk,0.16,10.37,24.43,0.08
img0023_hip_msk,0.18,7.88,24.68,0.07
img0022_hip_msk,0.19,9.07,24.60,0.08
img0030_hip_msk,0.22,9.00,26.42,0.07
img0028_hip_msk,0.15,9.87,23.54,0.07
img0002_hip_msk,0.15,9.57,25.50,0.07
img0024_hip_msk,0.17,9.96,24.19,0.08
img0004_hip_msk,0.16,9.06,22.67,0.06
img0010_hip_msk,0.20,8.78,23.49,0.07
img0032_hip_msk,0.21,9.05,26.00,0.07
img0003_hip_msk,0.23,8.23,25.55,0.07
