subject-id,DSC,ASD,HD95,NSD
CLINIC_metal_0003_hip_msk,0.74,1.26,4.58,0.33
CLINIC_metal_0011_hip_msk,0.70,1.52,4.12,0.32
CLINIC_metal_0006_hip_msk,0.71,1.20,5.10,0.34
CLINIC_metal_0004_hip_msk,0.71,1.46,4.47,0.28
CLINIC_metal_0000_hip_msk,0.62,2.01,5.66,0.24
CLINIC_metal_0002_hip_msk,0.70,1.51,4.58,0.27
CLINIC_metal_0009_hip_msk,0.53,2.50,9.83,0.19
CLINIC_metal_0012_hip_msk,0.69,1.40,5.10,0.28
CLINIC_metal_0013_hip_msk,0.67,1.71,5.00,0.27
CLINIC_metal_0007_hip_msk,0.70,1.41,4.47,0.30
CLINIC_metal_0005_hip_msk,0.75,1.42,4.00,0.33
CLINIC_metal_0008_hip_msk,0.60,1.78,4.69,0.25
CLINIC_metal_0010_hip_msk,0.80,0.97,3.00,0.48
CLINIC_metal_0001_hip_msk,0.71,1.26,4.12,0.32
