subject-id,DSC,ASD,HD95,NSD
s0624_hip_msk,0.82,0.97,3.32,0.39
s0139_hip_msk,0.80,1.03,3.16,0.36
s0232_hip_msk,0.74,1.52,4.00,0.30
s0040_hip_msk,0.85,0.78,2.83,0.50
s0473_hip_msk,0.80,1.10,3.16,0.36
s0607_hip_msk,0.84,0.94,3.46,0.42
s1120_hip_msk,0.61,2.12,6.78,0.20
s0763_hip_msk,0.81,0.99,3.16,0.36
s1349_hip_msk,0.77,1.20,3.61,0.33
s0182_hip_msk,0.81,1.00,3.00,0.38
s1069_hip_msk,0.85,0.84,3.00,0.46
s0370_hip_msk,0.84,0.91,3.16,0.43
s0668_hip_msk,0.78,1.08,3.32,0.37
s0468_hip_msk,0.79,1.13,4.12,0.34
s0250_hip_msk,0.75,1.37,4.24,0.30
s0726_hip_msk,0.78,1.25,3.00,0.33
s1347_hip_msk,0.81,1.01,3.74,0.40
s1044_hip_msk,0.83,0.95,3.61,0.42
s1016_hip_msk,0.80,1.13,4.12,0.33
s0592_hip_msk,0.80,1.08,2.83,0.40
s0091_hip_msk,0.82,0.98,3.74,0.40
s1336_hip_msk,0.85,0.81,3.32,0.48
s0505_hip_msk,0.83,0.93,4.12,0.39
s0483_hip_msk,0.73,1.42,4.12,0.28
s0314_hip_msk,0.78,1.18,3.61,0.31
s0940_hip_msk,0.80,1.03,3.46,0.35
s0928_hip_msk,0.73,1.37,5.20,0.29
s0049_hip_msk,0.78,1.14,3.74,0.34
s0636_hip_msk,0.75,1.21,4.12,0.32
s0728_hip_msk,0.77,1.16,4.12,0.35
s1348_hip_msk,0.84,0.85,3.32,0.45
s0600_hip_msk,0.79,1.13,3.74,0.33
s0163_hip_msk,0.75,1.29,4.12,0.29
s0772_hip_msk,0.80,1.00,4.58,0.37
s0680_hip_msk,0.83,0.98,3.00,0.39
s1008_hip_msk,0.79,1.09,3.00,0.38
s1322_hip_msk,0.80,1.00,3.00,0.41
s0931_hip_msk,0.77,1.18,4.12,0.37
s0774_hip_msk,0.81,1.03,3.00,0.40
s0979_hip_msk,0.86,0.86,3.00,0.44
s0581_hip_msk,0.88,0.64,2.24,0.58
s1373_hip_msk,0.85,0.85,2.83,0.45
s1005_hip_msk,0.68,1.64,4.90,0.21
s0082_hip_msk,0.81,0.98,3.00,0.40
s0963_hip_msk,0.69,1.82,5.10,0.27
s0399_hip_msk,0.73,1.25,5.10,0.31
s0385_hip_msk,0.58,2.32,7.55,0.19
s0626_hip_msk,0.72,1.26,3.61,0.29
s1339_hip_msk,0.78,1.15,3.00,0.37
s0383_hip_msk,0.82,0.93,2.83,0.42
s0924_hip_msk,0.82,0.92,3.16,0.45
s0746_hip_msk,0.82,0.93,3.00,0.42
s0593_hip_msk,0.81,0.95,3.00,0.40
s0687_hip_msk,0.76,1.19,4.00,0.36
s0869_hip_msk,0.80,1.11,3.61,0.34
s0029_hip_msk,0.74,1.28,4.90,0.31
s0842_hip_msk,0.76,1.10,4.00,0.33
s0341_hip_msk,0.79,1.23,3.32,0.34
s0663_hip_msk,0.82,0.89,3.16,0.41
s0986_hip_msk,0.72,1.41,4.12,0.28
s0089_hip_msk,0.73,1.35,3.74,0.34
s0804_hip_msk,0.77,1.20,3.32,0.33
s0440_hip_msk,0.80,1.04,3.46,0.40
s1377_hip_msk,0.76,1.30,4.00,0.30
s0673_hip_msk,0.81,1.02,3.61,0.38
s0737_hip_msk,0.76,1.19,3.74,0.31
s1046_hip_msk,0.82,1.01,3.16,0.36
