subject-id,DSC,ASD,HD95,NSD
CLINIC_metal_0003_hip_msk,0.75,1.23,4.12,0.30
CLINIC_metal_0011_hip_msk,0.67,1.72,5.10,0.29
CLINIC_metal_0006_hip_msk,0.75,1.14,4.00,0.32
CLINIC_metal_0004_hip_msk,0.77,1.25,4.12,0.31
CLINIC_metal_0000_hip_msk,0.61,1.72,5.00,0.23
CLINIC_metal_0002_hip_msk,0.68,1.63,5.10,0.26
CLINIC_metal_0009_hip_msk,0.49,4.40,14.87,0.18
CLINIC_metal_0012_hip_msk,0.73,1.39,4.12,0.29
CLINIC_metal_0013_hip_msk,0.64,1.69,4.69,0.24
CLINIC_metal_0007_hip_msk,0.69,1.44,3.74,0.26
CLINIC_metal_0005_hip_msk,0.64,2.36,7.07,0.23
CLINIC_metal_0008_hip_msk,0.59,2.00,5.00,0.21
CLINIC_metal_0010_hip_msk,0.77,1.15,3.16,0.38
CLINIC_metal_0001_hip_msk,0.65,1.57,4.00,0.27
