subject-id,DSC,ASD,HD95,NSD
case_00014_hip_msk,0.73,1.16,4.58,0.33
case_00016_hip_msk,0.75,1.23,3.32,0.36
case_00019_hip_msk,0.75,1.47,4.58,0.25
case_00022_hip_msk,0.31,7.31,27.17,0.14
case_00026_hip_msk,0.83,1.05,3.32,0.37
case_00027_hip_msk,0.24,7.43,25.14,0.13
case_00032_hip_msk,0.73,1.25,5.20,0.31
case_00033_hip_msk,0.72,1.33,3.61,0.29
case_00040_hip_msk,0.68,1.57,4.24,0.28
case_00046_hip_msk,0.80,1.08,3.32,0.36
case_00052_hip_msk,0.53,4.13,15.79,0.18
case_00059_hip_msk,0.30,6.38,23.55,0.14
case_00060_hip_msk,0.66,1.60,4.24,0.27
case_00066_hip_msk,0.82,1.03,3.16,0.41
case_00071_hip_msk,0.30,6.27,21.84,0.16
case_00082_hip_msk,0.68,1.59,4.24,0.31
case_00084_hip_msk,0.73,1.72,5.39,0.30
case_00093_hip_msk,0.43,4.43,17.74,0.13
case_00095_hip_msk,0.81,1.03,3.61,0.36
case_00096_hip_msk,0.42,4.50,17.37,0.17
case_00100_hip_msk,0.75,1.28,3.46,0.32
case_00123_hip_msk,0.78,1.10,3.32,0.37
case_00132_hip_msk,0.20,9.73,29.15,0.12
case_00133_hip_msk,0.73,1.36,4.12,0.29
case_00135_hip_msk,0.44,4.90,17.72,0.16
case_00144_hip_msk,0.79,1.03,3.16,0.40
case_00146_hip_msk,0.34,6.31,23.28,0.13
case_00151_hip_msk,0.36,4.91,17.97,0.13
case_00155_hip_msk,0.34,7.37,28.35,0.16
case_00156_hip_msk,0.73,1.30,4.12,0.28
case_00159_hip_msk,0.50,4.44,18.47,0.17
case_00170_hip_msk,0.76,1.39,4.12,0.29
case_00188_hip_msk,0.61,2.77,10.39,0.27
case_00202_hip_msk,0.75,1.24,3.61,0.35
case_00203_hip_msk,0.75,1.17,3.32,0.33
case_00214_hip_msk,0.78,1.35,4.00,0.33
case_00246_hip_msk,0.66,1.82,4.69,0.25
case_00253_hip_msk,0.74,1.20,3.61,0.33
case_00264_hip_msk,0.74,1.20,4.12,0.35
case_00276_hip_msk,0.74,1.55,4.47,0.27
case_00293_hip_msk,0.36,5.22,20.10,0.12
case_00294_hip_msk,0.44,4.51,18.71,0.16
case_00298_hip_msk,0.53,3.38,13.00,0.23
case_00299_hip_msk,0.53,3.36,12.69,0.20
