subject-id,DSC,ASD,HD95,NSD
s0657,0.76,1.30,4.58,0.29
s0019,0.79,1.16,3.32,0.37
s1212,0.80,0.98,3.32,0.39
s0137,0.80,1.04,3.16,0.39
s0612,0.79,1.00,3.32,0.39
s0477,0.70,1.56,4.00,0.27
s0192,0.72,1.36,4.24,0.30
s0461,0.80,0.98,4.12,0.38
s0050,0.73,1.37,4.47,0.29
s1405,0.77,1.25,3.61,0.35
s1404,0.76,1.20,3.32,0.35
s1050,0.63,1.98,7.35,0.19
s1174,0.76,1.31,4.24,0.31
s0119,0.81,0.97,3.32,0.39
s1326,0.79,1.16,3.46,0.34
s0028,0.73,1.33,3.32,0.35
s0985,0.79,1.18,3.00,0.38
s0014,0.71,1.36,4.69,0.32
s0429,0.80,1.03,3.00,0.40
s0406,0.83,1.07,3.00,0.40
s0013,0.79,1.12,3.16,0.37
s0441,0.78,1.24,3.46,0.34
s0794,0.74,1.29,4.24,0.30
s0350,0.77,1.26,3.00,0.32
s0577,0.84,0.88,2.83,0.46
s1382,0.78,1.15,4.00,0.33
s0447,0.77,1.19,3.74,0.36
s0611,0.82,1.02,3.00,0.38
s0212,0.80,1.07,3.46,0.37
s0916,0.84,0.98,3.16,0.41
s0157,0.78,1.18,3.00,0.36
s0664,0.73,1.28,4.12,0.30
s0095,0.76,1.38,4.58,0.26
s0836,0.80,1.00,3.16,0.39
s1208,0.81,0.97,3.61,0.38
s1247,0.81,0.98,2.45,0.42
s0731,0.72,1.27,4.00,0.27
s0629,0.83,0.98,3.16,0.42
s0325,0.79,1.13,3.74,0.35
s0004,0.80,1.04,4.12,0.38
s0456,0.80,0.95,3.32,0.43
s1248,0.65,1.76,4.90,0.24
s0183,0.80,1.02,3.74,0.39
s0248,0.84,2.72,24.52,0.53
s1267,0.81,1.04,3.74,0.41
s0574,0.83,0.96,3.00,0.39
s1357,0.71,1.55,5.00,0.26
s0585,0.81,1.07,3.16,0.37
s1371,0.81,1.02,3.61,0.36
s0450,0.81,1.09,3.46,0.41
s0362,0.79,1.12,3.74,0.34
s0308,0.77,1.13,3.16,0.30
s0075,0.80,1.12,3.00,0.36
s1387,0.84,0.88,3.74,0.42
s1228,0.76,1.27,3.32,0.31
s0426,0.84,0.94,3.00,0.45
s0442,0.80,1.09,3.74,0.36
