subject-id,DSC,ASD,HD95,NSD
CLINIC_0024_hip_msk,0.71,1.57,6.69,0.35
CLINIC_0059_hip_msk,0.71,1.65,4.42,0.34
CLINIC_0020_hip_msk,0.76,1.82,4.12,0.40
CLINIC_0010_hip_msk,0.79,1.06,3.74,0.43
CLINIC_0079_hip_msk,0.74,1.43,4.36,0.35
CLINIC_0062_hip_msk,0.83,0.87,3.00,0.48
CLINIC_0005_hip_msk,0.72,2.63,6.16,0.39
CLINIC_0077_hip_msk,0.82,1.03,2.83,0.48
CLINIC_0096_hip_msk,0.78,1.01,3.00,0.42
CLINIC_0087_hip_msk,0.72,2.01,4.24,0.40
CLINIC_0093_hip_msk,0.80,1.11,3.00,0.43
CLINIC_0054_hip_msk,0.61,2.57,8.06,0.26
CLINIC_0018_hip_msk,0.73,1.19,4.12,0.31
CLINIC_0013_hip_msk,0.77,1.42,3.61,0.40
CLINIC_0090_hip_msk,0.80,2.05,4.00,0.47
CLINIC_0044_hip_msk,0.75,1.29,3.00,0.36
CLINIC_0022_hip_msk,0.72,1.52,3.32,0.35
CLINIC_0074_hip_msk,0.79,1.06,4.12,0.39
CLINIC_0103_hip_msk,0.82,0.98,3.32,0.44
CLINIC_0026_hip_msk,0.80,1.00,3.61,0.44
CLINIC_0039_hip_msk,0.77,1.43,4.12,0.36
CLINIC_0073_hip_msk,0.76,1.63,4.58,0.38
CLINIC_0092_hip_msk,0.81,1.21,3.61,0.42
CLINIC_0084_hip_msk,0.79,1.28,3.16,0.41
CLINIC_0031_hip_msk,0.80,1.57,4.00,0.38
CLINIC_0029_hip_msk,0.77,1.40,3.46,0.38
CLINIC_0028_hip_msk,0.80,1.12,3.32,0.42
CLINIC_0046_hip_msk,0.79,1.04,3.32,0.43
CLINIC_0069_hip_msk,0.75,1.51,4.24,0.36
CLINIC_0058_hip_msk,0.83,0.86,3.32,0.48
CLINIC_0098_hip_msk,0.77,1.02,4.12,0.38
CLINIC_0037_hip_msk,0.74,1.88,3.74,0.39
CLINIC_0016_hip_msk,0.77,1.51,3.16,0.45
CLINIC_0061_hip_msk,0.78,1.24,3.61,0.41
CLINIC_0095_hip_msk,0.80,1.02,3.09,0.43
CLINIC_0045_hip_msk,0.78,1.23,3.74,0.39
CLINIC_0050_hip_msk,0.71,1.60,4.47,0.34
CLINIC_0035_hip_msk,0.75,1.53,3.74,0.43
CLINIC_0047_hip_msk,0.70,2.38,5.74,0.33
CLINIC_0089_hip_msk,0.77,1.18,3.74,0.35
CLINIC_0101_hip_msk,0.74,1.29,3.74,0.36
CLINIC_0041_hip_msk,0.78,1.06,2.83,0.44
CLINIC_0100_hip_msk,0.79,1.05,3.16,0.44
CLINIC_0001_hip_msk,0.62,1.85,4.58,0.28
CLINIC_0014_hip_msk,0.70,2.08,6.71,0.34
CLINIC_0068_hip_msk,0.84,0.88,3.00,0.51
CLINIC_0080_hip_msk,0.75,2.77,10.25,0.39
CLINIC_0048_hip_msk,0.81,1.04,3.00,0.41
CLINIC_0021_hip_msk,0.78,1.08,3.16,0.39
CLINIC_0003_hip_msk,0.82,1.03,3.00,0.46
CLINIC_0083_hip_msk,0.77,1.31,3.00,0.42
CLINIC_0030_hip_msk,0.77,1.12,3.16,0.43
CLINIC_0086_hip_msk,0.65,1.96,5.74,0.26
CLINIC_0015_hip_msk,0.76,1.16,3.16,0.39
CLINIC_0085_hip_msk,0.74,1.76,4.12,0.40
CLINIC_0078_hip_msk,0.77,1.18,3.61,0.37
CLINIC_0064_hip_msk,0.74,1.52,3.61,0.36
CLINIC_0025_hip_msk,0.72,1.49,4.24,0.31
CLINIC_0009_hip_msk,0.63,2.42,7.52,0.25
CLINIC_0075_hip_msk,0.81,1.12,2.83,0.47
CLINIC_0034_hip_msk,0.77,1.29,3.74,0.38
CLINIC_0012_hip_msk,0.78,0.94,3.32,0.44
CLINIC_0032_hip_msk,0.75,1.48,4.69,0.39
CLINIC_0043_hip_msk,0.82,0.83,3.16,0.47
CLINIC_0081_hip_msk,0.81,1.07,3.74,0.42
CLINIC_0038_hip_msk,0.80,1.70,3.61,0.47
CLINIC_0017_hip_msk,0.74,1.62,3.61,0.39
CLINIC_0051_hip_msk,0.79,1.19,3.00,0.45
CLINIC_0063_hip_msk,0.83,0.83,3.74,0.50
CLINIC_0006_hip_msk,0.71,1.51,4.36,0.37
CLINIC_0099_hip_msk,0.77,1.09,3.61,0.42
CLINIC_0102_hip_msk,0.80,1.04,3.00,0.41
CLINIC_0076_hip_msk,0.76,1.24,4.36,0.41
CLINIC_0057_hip_msk,0.81,0.99,3.00,0.45
CLINIC_0053_hip_msk,0.74,1.33,4.47,0.34
CLINIC_0060_hip_msk,0.62,2.04,6.16,0.26
CLINIC_0042_hip_msk,0.73,1.43,4.24,0.38
CLINIC_0055_hip_msk,0.82,0.85,3.00,0.48
CLINIC_0097_hip_msk,0.77,1.43,3.16,0.42
CLINIC_0072_hip_msk,0.71,1.37,3.16,0.37
CLINIC_0071_hip_msk,0.80,1.04,3.16,0.42
CLINIC_0066_hip_msk,0.58,3.77,16.67,0.23
CLINIC_0040_hip_msk,0.78,1.05,4.24,0.41
CLINIC_0019_hip_msk,0.81,1.33,3.16,0.44
CLINIC_0023_hip_msk,0.78,1.42,3.61,0.37
CLINIC_0082_hip_msk,0.86,0.72,3.00,0.58
CLINIC_0088_hip_msk,0.67,1.93,5.48,0.31
CLINIC_0008_hip_msk,0.69,2.81,12.22,0.33
CLINIC_0094_hip_msk,0.80,1.53,3.32,0.44
CLINIC_0033_hip_msk,0.71,1.58,5.10,0.32
CLINIC_0052_hip_msk,0.83,1.14,2.83,0.52
CLINIC_0027_hip_msk,0.82,1.07,3.00,0.48
CLINIC_0011_hip_msk,0.69,2.41,6.78,0.30
CLINIC_0049_hip_msk,0.76,1.22,3.61,0.39
CLINIC_0067_hip_msk,0.84,0.83,2.45,0.54
CLINIC_0004_hip_msk,0.82,0.94,3.00,0.45
CLINIC_0056_hip_msk,0.83,0.91,2.45,0.49
CLINIC_0070_hip_msk,0.62,2.43,6.40,0.26
CLINIC_0091_hip_msk,0.77,1.44,3.32,0.42
CLINIC_0002_hip_msk,0.73,1.56,4.12,0.38
CLINIC_0007_hip_msk,0.75,1.52,4.12,0.36
CLINIC_0036_hip_msk,0.65,3.60,19.87,0.28
CLINIC_0065_hip_msk,0.80,1.08,3.74,0.46
