id,ASIS_L,ASIS_R,PT_L,PT_R,IS_L,IS_R,PSIS_L,PSIS_R
s0089,96.022,5.121,4.083,1.105,61.697,61.772,58.077,53.506
s0232,4.971,5.543,11.736,9.938,6.503,4.991,9.642,15.273
s0139,1.444,6.124,3.905,4.608,4.764,2.089,5.532,4.074
s0091,3.117,3.162,2.680,4.999,1.263,3.307,7.858,4.940
s0182,3.789,7.858,3.892,3.060,3.297,7.585,3.410,4.514
s0040,9.435,2.856,42.655,51.007,8.462,13.187,10.959,6.732
s0029,4.906,6.467,7.563,15.991,5.082,7.382,3.660,6.715
s0163,5.907,12.931,9.688,6.355,4.902,10.639,2.681,81.415
s0341,7.102,5.036,73.511,75.639,2.263,4.715,6.232,5.172
s0082,93.950,5.329,2.646,2.329,2.072,6.206,4.535,7.426
s0314,4.749,6.461,72.605,4.113,2.953,7.955,4.499,5.502
s0370,4.162,1.962,7.629,5.173,6.253,3.910,6.043,3.727
s0049,4.202,12.806,5.045,6.844,9.456,7.501,4.042,5.257
s0383,6.784,5.355,19.424,69.683,5.494,5.530,5.299,4.219
s0385,16.550,61.340,6.393,12.993,8.851,10.737,2.782,5.529
s0440,7.358,7.774,31.021,31.831,9.234,11.638,2.683,4.877
s0250,13.300,3.104,5.022,5.854,7.019,4.935,5.403,7.818
s0473,11.606,7.051,69.567,4.703,3.449,6.141,1.876,5.580
s0399,3.537,8.161,4.406,4.245,16.765,11.795,5.408,4.634
s0592,18.160,3.494,3.804,4.410,4.977,1.354,64.007,63.044
s0505,8.422,11.924,6.063,17.471,8.712,6.323,15.170,13.955
s0468,3.655,6.757,7.192,9.884,11.206,4.457,4.437,7.432
s0581,2.699,4.346,4.437,7.928,2.779,2.520,3.855,33.715
s0483,10.824,1.731,9.163,4.306,15.018,12.210,6.960,5.149
s0593,5.326,5.034,5.404,6.483,1.845,10.740,5.175,3.981
s0636,3.268,8.414,6.980,2.523,4.071,5.649,3.439,5.006
s0626,18.373,6.481,3.533,3.559,1.801,4.563,3.531,3.979
s0600,8.242,11.518,7.786,80.747,3.733,9.405,3.348,6.509
s0624,2.945,5.520,67.451,8.023,2.289,0.555,8.352,3.637
s0607,3.525,3.348,70.938,3.984,3.838,5.015,2.622,3.937
s0668,2.311,8.075,7.364,13.922,3.265,1.684,3.254,3.403
s0728,10.295,2.827,3.579,7.071,7.725,4.818,6.336,6.991
s0680,4.869,2.525,2.519,7.201,1.746,3.457,1.598,6.718
s0663,4.493,3.041,3.282,9.012,3.601,2.903,8.018,4.514
s0687,7.018,3.278,14.588,69.178,8.086,4.348,1.761,5.802
s0737,5.966,3.126,2.965,5.014,5.802,5.247,6.192,3.126
