subject-id,DSC,ASD,HD95,NSD
CLINIC_0024_hip_msk,0.63,1.96,8.06,0.22
CLINIC_0059_hip_msk,0.61,1.84,5.92,0.20
CLINIC_0020_hip_msk,0.62,1.83,6.48,0.21
CLINIC_0010_hip_msk,0.75,1.26,4.24,0.34
CLINIC_0079_hip_msk,0.66,1.68,5.00,0.22
CLINIC_0062_hip_msk,0.76,1.15,4.12,0.37
CLINIC_0005_hip_msk,0.63,1.92,6.16,0.24
CLINIC_0077_hip_msk,0.76,1.15,3.74,0.35
CLINIC_0096_hip_msk,0.71,1.36,4.12,0.29
CLINIC_0087_hip_msk,0.61,1.72,5.10,0.23
CLINIC_0093_hip_msk,0.70,1.64,4.47,0.25
CLINIC_0054_hip_msk,0.50,3.15,8.83,0.14
CLINIC_0018_hip_msk,0.70,1.35,4.90,0.25
CLINIC_0013_hip_msk,0.65,1.88,5.48,0.23
CLINIC_0090_hip_msk,0.72,1.36,4.36,0.31
CLINIC_0044_hip_msk,0.70,1.52,4.36,0.28
CLINIC_0022_hip_msk,0.66,1.57,4.69,0.27
CLINIC_0074_hip_msk,0.70,1.54,5.39,0.25
CLINIC_0103_hip_msk,0.76,1.22,4.12,0.34
CLINIC_0026_hip_msk,0.73,1.38,4.24,0.29
CLINIC_0039_hip_msk,0.59,2.22,6.40,0.19
CLINIC_0073_hip_msk,0.73,1.32,5.00,0.28
CLINIC_0092_hip_msk,0.72,1.46,5.00,0.29
CLINIC_0084_hip_msk,0.71,1.57,5.20,0.26
CLINIC_0031_hip_msk,0.71,1.59,5.39,0.26
CLINIC_0029_hip_msk,0.71,1.46,4.36,0.28
CLINIC_0028_hip_msk,0.75,1.31,5.00,0.28
CLINIC_0046_hip_msk,0.78,1.11,4.12,0.35
CLINIC_0069_hip_msk,0.66,1.58,6.00,0.23
CLINIC_0058_hip_msk,0.76,1.25,4.36,0.33
CLINIC_0098_hip_msk,0.66,1.55,5.39,0.25
CLINIC_0037_hip_msk,0.64,1.74,4.47,0.26
CLINIC_0016_hip_msk,0.65,1.57,4.24,0.26
CLINIC_0061_hip_msk,0.69,1.62,5.00,0.29
CLINIC_0095_hip_msk,0.73,1.40,4.36,0.29
CLINIC_0045_hip_msk,0.59,2.17,6.08,0.18
CLINIC_0050_hip_msk,0.64,1.98,5.83,0.23
CLINIC_0035_hip_msk,0.64,1.69,4.36,0.26
CLINIC_0047_hip_msk,0.52,2.53,7.07,0.17
CLINIC_0089_hip_msk,0.68,1.67,5.00,0.25
CLINIC_0101_hip_msk,0.62,2.00,5.83,0.21
CLINIC_0041_hip_msk,0.71,1.28,4.24,0.29
CLINIC_0100_hip_msk,0.72,1.36,4.90,0.31
CLINIC_0001_hip_msk,0.58,2.06,5.48,0.20
CLINIC_0014_hip_msk,0.52,2.72,6.71,0.18
