subject-id,DSC,ASD,HD95,NSD
CLINIC_metal_0003_hip_msk,0.75,1.20,4.69,0.28
CLINIC_metal_0011_hip_msk,0.64,2.08,5.74,0.21
CLINIC_metal_0006_hip_msk,0.74,1.19,4.47,0.32
CLINIC_metal_0004_hip_msk,0.76,1.34,5.00,0.31
CLINIC_metal_0000_hip_msk,0.60,2.35,8.12,0.18
CLINIC_metal_0002_hip_msk,0.67,1.71,5.66,0.23
CLINIC_metal_0009_hip_msk,0.53,3.67,11.83,0.18
CLINIC_metal_0012_hip_msk,0.66,1.96,5.39,0.22
CLINIC_metal_0013_hip_msk,0.67,1.65,5.83,0.24
CLINIC_metal_0007_hip_msk,0.73,1.12,4.12,0.31
CLINIC_metal_0005_hip_msk,0.61,1.82,5.83,0.20
CLINIC_metal_0008_hip_msk,0.61,2.11,5.74,0.23
CLINIC_metal_0010_hip_msk,0.75,1.26,3.74,0.37
CLINIC_metal_0001_hip_msk,0.67,1.46,4.36,0.28
