subject-id,DSC,ASD,HD95,NSD
case_00014_hip_msk,0.71,1.26,4.47,0.28
case_00016_hip_msk,0.75,1.16,3.74,0.36
case_00019_hip_msk,0.73,1.57,5.48,0.25
case_00022_hip_msk,0.30,8.47,28.65,0.13
case_00026_hip_msk,0.85,0.95,3.61,0.45
case_00027_hip_msk,0.27,8.02,26.78,0.13
case_00032_hip_msk,0.76,1.12,4.69,0.36
case_00033_hip_msk,0.76,1.20,3.74,0.33
case_00040_hip_msk,0.65,1.74,5.00,0.26
case_00046_hip_msk,0.80,1.05,4.12,0.40
case_00052_hip_msk,0.56,3.32,12.04,0.19
case_00059_hip_msk,0.32,6.64,22.11,0.13
case_00060_hip_msk,0.70,1.45,4.24,0.30
case_00066_hip_msk,0.81,1.24,3.61,0.40
case_00071_hip_msk,0.29,7.14,23.28,0.13
case_00082_hip_msk,0.71,1.30,4.47,0.32
case_00084_hip_msk,0.74,2.13,9.11,0.34
case_00093_hip_msk,0.48,3.69,14.87,0.14
case_00095_hip_msk,0.82,0.96,3.74,0.39
case_00096_hip_msk,0.38,4.64,17.72,0.15
case_00100_hip_msk,0.76,1.27,4.12,0.33
case_00123_hip_msk,0.80,1.10,3.46,0.37
case_00132_hip_msk,0.22,9.53,29.61,0.10
case_00133_hip_msk,0.75,1.32,3.74,0.33
case_00135_hip_msk,0.43,4.79,16.28,0.13
case_00144_hip_msk,0.77,1.11,3.74,0.36
case_00146_hip_msk,0.34,6.59,24.21,0.12
case_00151_hip_msk,0.39,5.19,21.00,0.13
case_00155_hip_msk,0.29,8.60,30.64,0.14
case_00156_hip_msk,0.77,1.15,4.24,0.36
case_00159_hip_msk,0.48,3.97,14.46,0.16
case_00170_hip_msk,0.80,1.13,4.24,0.36
case_00188_hip_msk,0.57,2.71,7.62,0.20
case_00202_hip_msk,0.72,1.32,4.24,0.31
case_00203_hip_msk,0.72,1.33,4.47,0.29
case_00214_hip_msk,0.76,1.42,4.90,0.30
case_00246_hip_msk,0.65,1.91,5.67,0.23
case_00253_hip_msk,0.76,1.12,3.74,0.36
case_00264_hip_msk,0.74,1.17,4.12,0.36
case_00276_hip_msk,0.79,1.31,4.24,0.34
case_00293_hip_msk,0.46,4.97,17.46,0.16
case_00294_hip_msk,0.41,5.50,21.21,0.14
case_00298_hip_msk,0.54,2.60,8.44,0.21
case_00299_hip_msk,0.53,3.11,10.39,0.21
