id,ASIS_L,ASIS_R,PT_L,PT_R,IS_L,IS_R,PSIS_L,PSIS_R
s0232,15.179,13.665,10.911,8.528,4.010,6.597,8.498,9.128
s0182,7.693,5.006,4.623,3.018,5.515,9.392,2.789,3.352
s0091,6.706,5.439,4.338,7.763,4.050,2.542,4.488,6.733
s0163,6.883,8.204,8.131,6.707,7.206,4.985,3.699,4.161
s0139,7.598,8.709,13.061,5.521,5.712,3.594,1.960,6.746
s0089,10.101,8.096,3.052,7.574,5.534,4.719,8.325,10.590
s0029,12.096,3.404,4.929,18.146,4.635,4.820,6.148,8.052
s0082,8.632,14.607,5.388,4.707,4.245,10.045,6.429,7.760
s0040,7.829,9.980,7.842,8.322,5.242,10.097,2.840,8.073
s0049,8.417,8.181,14.258,5.518,8.472,11.442,8.302,3.623
s0250,2.426,16.219,6.868,7.814,5.865,2.714,16.227,7.791
s0314,13.467,18.226,11.098,4.818,41.936,11.660,11.642,8.438
s0370,7.904,5.212,6.610,6.246,6.529,3.250,4.315,3.573
s0399,4.123,11.934,6.481,9.168,5.759,4.333,2.414,8.586
s0383,7.040,7.448,10.053,10.029,4.372,4.334,6.642,10.727
s0440,11.759,9.488,12.671,4.987,4.912,5.315,4.859,9.393
s0341,12.136,9.024,13.069,9.311,8.699,13.614,13.237,13.573
s0473,10.859,11.074,8.989,5.460,3.858,7.061,5.821,5.181
s0385,28.740,18.102,22.169,33.648,7.294,8.452,51.546,41.545
s0468,13.582,11.448,5.457,7.661,8.555,7.585,4.471,5.956
s0505,7.951,11.415,7.866,7.250,4.904,4.551,7.337,6.012
s0483,13.364,8.339,7.871,8.031,4.560,8.224,6.746,4.795
s0592,11.852,10.451,8.668,9.133,6.238,3.553,37.431,8.506
s0593,8.859,9.160,6.823,9.103,3.316,6.448,7.141,2.453
s0581,5.247,3.918,2.990,2.784,3.754,2.401,2.655,6.274
s0600,8.183,11.676,13.747,10.519,3.846,7.835,5.814,5.149
s0626,10.703,3.152,3.986,7.175,5.858,7.241,8.779,11.389
s0636,6.627,11.360,7.515,6.538,5.472,5.396,8.319,6.953
s0607,5.221,11.300,9.437,3.334,3.416,3.888,5.054,3.423
s0624,6.127,9.817,4.453,8.640,3.426,3.129,2.858,3.965
s0673,3.752,12.827,17.924,13.521,5.270,9.213,18.633,67.925
s0668,3.588,2.388,5.657,11.513,3.588,8.296,6.944,2.212
s0680,5.210,8.189,6.660,2.787,6.058,5.382,3.773,4.724
s0663,8.428,7.322,1.957,4.148,8.087,7.178,9.127,4.552
s0728,12.354,18.686,8.871,4.641,7.371,9.684,9.164,4.730
s0726,25.245,12.834,16.185,5.898,4.213,3.382,6.235,11.459
s0687,5.521,3.586,6.342,4.134,8.460,10.854,30.807,5.668
s0763,5.405,3.343,5.662,8.626,8.212,5.499,7.348,11.988
s0737,8.955,9.683,5.090,1.845,2.210,2.962,5.110,3.768
s0804,11.290,13.167,4.240,8.327,3.852,5.582,1.517,11.261
s0772,0.821,7.460,2.710,5.787,9.684,7.876,8.845,6.586
s0842,8.274,1.105,17.812,20.384,7.787,5.398,8.753,36.597
s0746,10.389,13.501,4.271,3.177,4.712,7.497,4.703,9.049
s0774,9.401,12.053,9.149,9.505,7.219,3.764,5.465,7.378
s0869,12.239,3.442,3.744,6.606,5.093,9.969,4.834,14.245
s0928,12.196,3.063,7.641,10.615,11.820,14.668,4.401,5.053
s0924,7.940,9.287,5.482,8.746,4.265,6.258,9.019,3.761
s0931,6.980,6.789,8.202,6.059,13.780,11.650,5.667,10.705
s0963,16.563,20.649,13.199,13.085,8.390,14.964,17.051,10.996
s0979,1.585,4.289,6.686,3.441,4.155,4.034,9.212,10.178
s1005,17.944,4.480,12.520,3.080,7.934,11.823,11.525,3.367
s0940,11.968,4.749,7.076,5.307,5.195,5.844,6.731,7.507
s0986,13.185,5.910,9.737,10.794,8.432,2.327,8.820,7.258
s1008,4.817,7.638,11.816,13.247,6.641,16.608,11.646,3.076
s1016,11.754,8.820,9.375,10.001,1.677,2.423,7.876,8.798
s1069,6.199,19.116,11.329,11.377,2.896,2.572,7.313,6.478
s1046,6.609,7.168,12.783,9.206,4.130,5.448,3.407,5.755
s1044,2.281,3.332,5.231,8.677,3.570,6.489,10.166,5.625
s1120,8.055,15.090,14.084,9.224,15.160,16.270,23.360,20.272
s1322,9.316,5.851,8.441,8.507,5.839,3.914,8.713,7.779
s1336,5.434,13.356,9.399,10.133,3.667,4.567,3.733,2.087
s1339,19.633,14.228,4.186,4.149,4.394,2.596,6.511,8.621
s1347,2.955,9.323,6.225,6.904,13.584,10.268,1.995,3.915
s1348,4.138,4.124,11.523,9.420,7.270,9.605,4.427,4.090
s1373,11.304,12.993,4.964,10.674,4.219,5.448,12.096,11.680
s1377,6.983,7.978,6.619,10.376,6.069,11.088,8.535,2.689
s1349,9.388,6.184,9.736,21.900,5.531,9.924,10.956,13.175
