subject-id,DSC,ASD,HD95,NSD
CLINIC_0024_hip_msk,0.74,1.18,5.74,0.36
CLINIC_0059_hip_msk,0.74,1.21,4.00,0.35
CLINIC_0020_hip_msk,0.72,1.60,4.58,0.37
CLINIC_0010_hip_msk,0.78,1.04,3.46,0.38
CLINIC_0079_hip_msk,0.73,1.35,5.00,0.35
CLINIC_0062_hip_msk,0.80,0.98,3.00,0.40
CLINIC_0005_hip_msk,0.68,1.56,4.12,0.29
CLINIC_0077_hip_msk,0.81,0.90,2.83,0.44
CLINIC_0096_hip_msk,0.78,0.97,3.00,0.42
CLINIC_0087_hip_msk,0.71,1.50,4.90,0.39
CLINIC_0093_hip_msk,0.77,1.13,3.16,0.42
CLINIC_0054_hip_msk,0.64,1.77,7.07,0.25
CLINIC_0018_hip_msk,0.77,1.00,4.12,0.36
CLINIC_0013_hip_msk,0.77,1.15,3.46,0.39
CLINIC_0090_hip_msk,0.76,1.12,3.46,0.39
CLINIC_0044_hip_msk,0.74,1.19,3.00,0.35
CLINIC_0022_hip_msk,0.76,1.02,3.32,0.39
CLINIC_0074_hip_msk,0.78,1.10,4.12,0.39
CLINIC_0103_hip_msk,0.80,1.03,3.43,0.41
CLINIC_0026_hip_msk,0.79,0.98,3.16,0.40
CLINIC_0039_hip_msk,0.74,1.25,4.12,0.35
CLINIC_0073_hip_msk,0.78,1.19,4.00,0.38
CLINIC_0092_hip_msk,0.82,0.91,3.61,0.44
CLINIC_0084_hip_msk,0.78,1.10,3.32,0.37
CLINIC_0031_hip_msk,0.79,1.05,4.12,0.37
CLINIC_0029_hip_msk,0.79,0.96,3.16,0.41
CLINIC_0028_hip_msk,0.79,1.03,3.32,0.38
CLINIC_0046_hip_msk,0.78,1.12,4.00,0.38
CLINIC_0069_hip_msk,0.76,1.12,3.74,0.36
CLINIC_0058_hip_msk,0.81,0.94,3.32,0.43
CLINIC_0098_hip_msk,0.75,1.01,3.46,0.37
CLINIC_0037_hip_msk,0.72,1.16,4.00,0.35
CLINIC_0016_hip_msk,0.75,1.06,3.00,0.39
CLINIC_0061_hip_msk,0.77,1.11,3.61,0.39
CLINIC_0095_hip_msk,0.79,0.99,3.00,0.39
CLINIC_0045_hip_msk,0.78,1.00,3.16,0.36
CLINIC_0050_hip_msk,0.70,1.62,4.69,0.32
CLINIC_0035_hip_msk,0.74,1.12,3.00,0.38
CLINIC_0047_hip_msk,0.69,1.38,3.74,0.28
CLINIC_0089_hip_msk,0.76,1.21,3.61,0.36
CLINIC_0101_hip_msk,0.72,1.19,3.74,0.33
CLINIC_0041_hip_msk,0.78,0.96,3.00,0.43
CLINIC_0100_hip_msk,0.79,0.94,3.46,0.41
CLINIC_0001_hip_msk,0.63,1.52,6.08,0.28
CLINIC_0014_hip_msk,0.66,1.44,4.47,0.28
CLINIC_0068_hip_msk,0.82,0.91,2.83,0.45
CLINIC_0080_hip_msk,0.76,1.19,3.32,0.39
CLINIC_0048_hip_msk,0.80,1.08,3.32,0.39
CLINIC_0021_hip_msk,0.78,1.00,3.32,0.38
CLINIC_0003_hip_msk,0.80,0.95,3.00,0.44
CLINIC_0083_hip_msk,0.75,1.00,3.00,0.41
CLINIC_0030_hip_msk,0.79,1.03,3.00,0.42
CLINIC_0086_hip_msk,0.69,1.55,4.24,0.28
CLINIC_0015_hip_msk,0.78,1.04,3.36,0.41
CLINIC_0085_hip_msk,0.72,1.30,4.12,0.37
CLINIC_0078_hip_msk,0.77,1.10,3.46,0.39
CLINIC_0064_hip_msk,0.75,1.08,3.74,0.35
CLINIC_0025_hip_msk,0.69,1.58,5.00,0.29
CLINIC_0009_hip_msk,0.66,1.56,6.78,0.25
CLINIC_0075_hip_msk,0.78,1.02,3.00,0.38
CLINIC_0034_hip_msk,0.74,1.23,3.74,0.32
CLINIC_0012_hip_msk,0.77,0.97,3.16,0.40
CLINIC_0032_hip_msk,0.74,1.33,4.12,0.40
CLINIC_0043_hip_msk,0.80,0.88,3.16,0.41
CLINIC_0081_hip_msk,0.81,0.93,3.61,0.43
CLINIC_0038_hip_msk,0.76,1.15,3.46,0.39
CLINIC_0017_hip_msk,0.76,1.09,3.16,0.39
CLINIC_0051_hip_msk,0.79,0.93,3.00,0.43
CLINIC_0063_hip_msk,0.82,0.92,4.12,0.45
CLINIC_0006_hip_msk,0.72,1.25,3.61,0.36
CLINIC_0099_hip_msk,0.75,1.04,3.74,0.36
CLINIC_0102_hip_msk,0.80,1.05,3.16,0.41
CLINIC_0076_hip_msk,0.75,1.12,4.90,0.39
CLINIC_0057_hip_msk,0.80,0.95,3.00,0.41
CLINIC_0053_hip_msk,0.72,1.24,5.00,0.33
CLINIC_0060_hip_msk,0.62,1.82,5.00,0.25
CLINIC_0042_hip_msk,0.73,1.20,4.12,0.36
CLINIC_0055_hip_msk,0.77,1.06,3.16,0.39
CLINIC_0097_hip_msk,0.78,0.90,3.00,0.45
CLINIC_0072_hip_msk,0.73,1.04,3.00,0.39
CLINIC_0071_hip_msk,0.81,0.93,3.00,0.43
CLINIC_0066_hip_msk,0.61,2.78,12.08,0.27
CLINIC_0040_hip_msk,0.81,0.85,3.74,0.46
CLINIC_0019_hip_msk,0.82,0.91,3.00,0.47
CLINIC_0023_hip_msk,0.81,1.01,3.61,0.38
CLINIC_0082_hip_msk,0.84,0.84,3.00,0.48
CLINIC_0088_hip_msk,0.67,1.70,5.39,0.29
CLINIC_0008_hip_msk,0.70,1.17,4.12,0.32
CLINIC_0094_hip_msk,0.79,1.03,3.16,0.39
CLINIC_0033_hip_msk,0.71,1.42,5.00,0.29
CLINIC_0052_hip_msk,0.80,0.97,3.00,0.40
CLINIC_0027_hip_msk,0.80,0.91,3.00,0.45
CLINIC_0011_hip_msk,0.69,1.68,4.69,0.29
CLINIC_0049_hip_msk,0.75,1.14,3.32,0.36
CLINIC_0067_hip_msk,0.84,0.75,2.83,0.52
CLINIC_0004_hip_msk,0.82,0.91,3.00,0.43
CLINIC_0056_hip_msk,0.81,0.92,2.45,0.45
CLINIC_0070_hip_msk,0.55,2.02,6.08,0.21
CLINIC_0091_hip_msk,0.70,1.22,3.00,0.34
CLINIC_0002_hip_msk,0.77,0.97,3.16,0.41
CLINIC_0007_hip_msk,0.78,1.11,4.12,0.41
CLINIC_0036_hip_msk,0.66,2.29,9.80,0.29
CLINIC_0065_hip_msk,0.78,0.95,3.16,0.41
