subject-id,DSC,ASD,HD95,NSD
CLINIC_metal_0003_hip_msk,0.69,1.34,5.74,0.27
CLINIC_metal_0011_hip_msk,0.77,1.10,3.00,0.39
CLINIC_metal_0006_hip_msk,0.72,1.04,5.92,0.30
CLINIC_metal_0004_hip_msk,0.79,1.05,3.46,0.36
CLINIC_metal_0000_hip_msk,0.55,1.97,10.25,0.19
CLINIC_metal_0002_hip_msk,0.75,1.09,5.10,0.31
CLINIC_metal_0009_hip_msk,0.44,2.37,21.47,0.12
CLINIC_metal_0012_hip_msk,0.71,1.29,4.47,0.29
CLINIC_metal_0013_hip_msk,0.68,1.40,9.85,0.28
CLINIC_metal_0007_hip_msk,0.71,1.11,4.90,0.33
CLINIC_metal_0005_hip_msk,0.79,0.93,5.00,0.36
CLINIC_metal_0008_hip_msk,0.67,1.45,4.12,0.29
CLINIC_metal_0010_hip_msk,0.79,0.97,2.83,0.45
CLINIC_metal_0001_hip_msk,0.73,1.08,3.61,0.35
