subject-id,DSC,ASD,HD95,NSD
case_00014_hip_msk,0.76,1.09,3.61,0.38
case_00016_hip_msk,0.84,0.76,2.45,0.53
case_00019_hip_msk,0.84,0.93,3.74,0.40
case_00022_hip_msk,0.73,1.47,4.36,0.32
case_00026_hip_msk,0.87,0.81,2.83,0.50
case_00027_hip_msk,0.78,1.09,4.56,0.38
case_00032_hip_msk,0.82,0.85,3.00,0.45
case_00033_hip_msk,0.84,0.77,3.00,0.51
case_00040_hip_msk,0.78,1.14,3.00,0.44
case_00046_hip_msk,0.86,0.73,2.83,0.54
case_00052_hip_msk,0.80,0.98,3.00,0.41
case_00059_hip_msk,0.67,2.02,5.66,0.30
case_00060_hip_msk,0.77,1.18,3.61,0.42
case_00066_hip_msk,0.83,0.98,3.32,0.49
case_00071_hip_msk,0.74,1.02,4.12,0.36
case_00082_hip_msk,0.76,1.02,4.07,0.41
case_00084_hip_msk,0.80,1.58,7.55,0.46
case_00093_hip_msk,0.77,1.12,4.12,0.30
case_00095_hip_msk,0.85,0.85,3.00,0.45
case_00096_hip_msk,0.79,0.86,4.09,0.42
case_00100_hip_msk,0.86,0.66,2.45,0.56
case_00123_hip_msk,0.85,0.80,3.00,0.50
case_00132_hip_msk,0.72,1.43,4.24,0.31
case_00133_hip_msk,0.81,0.91,3.16,0.45
case_00135_hip_msk,0.80,0.89,3.61,0.40
case_00144_hip_msk,0.85,0.71,2.24,0.53
case_00146_hip_msk,0.78,0.97,3.46,0.41
case_00151_hip_msk,0.70,1.39,4.90,0.28
case_00155_hip_msk,0.67,1.43,7.35,0.26
case_00156_hip_msk,0.83,0.86,3.00,0.45
case_00159_hip_msk,0.82,0.90,3.16,0.44
case_00170_hip_msk,0.84,0.90,3.00,0.44
case_00188_hip_msk,0.69,2.38,10.00,0.34
case_00202_hip_msk,0.84,0.77,2.83,0.52
case_00203_hip_msk,0.71,1.58,5.48,0.39
case_00214_hip_msk,0.84,0.97,3.16,0.45
case_00246_hip_msk,0.77,1.18,3.46,0.36
case_00253_hip_msk,0.83,0.77,2.83,0.51
case_00264_hip_msk,0.83,0.79,2.45,0.49
case_00276_hip_msk,0.85,0.82,3.16,0.47
case_00293_hip_msk,0.80,1.19,3.74,0.43
case_00294_hip_msk,0.80,0.96,4.58,0.40
case_00298_hip_msk,0.77,1.13,3.16,0.37
case_00299_hip_msk,0.83,0.91,3.16,0.43
