id,ASIS_L,ASIS_R,PT_L,PT_R,IS_L,IS_R,PSIS_L,PSIS_R
s0089,6.340,4.438,3.567,5.333,3.173,4.245,4.828,4.776
s0232,6.842,8.210,6.246,7.662,3.998,2.850,9.542,10.585
s0139,2.199,4.756,10.979,5.288,2.011,2.744,2.234,2.629
s0091,3.159,3.401,10.145,7.216,2.076,4.074,2.961,6.305
s0182,4.422,6.750,7.460,5.230,2.432,10.535,3.767,1.983
s0049,3.789,10.995,6.742,8.744,6.933,5.481,0.845,3.966
s0082,6.680,7.257,2.931,9.323,4.832,8.776,7.346,5.057
s0040,6.283,3.846,4.362,8.612,3.992,6.104,6.865,2.067
s0163,8.514,5.804,8.684,9.141,6.676,5.630,6.574,8.877
s0029,8.207,6.429,1.889,13.424,3.090,4.453,10.330,5.611
s0314,6.483,0.893,6.829,3.486,4.781,7.637,5.681,7.746
s0370,4.276,4.550,5.082,7.209,5.558,5.799,12.213,3.732
s0383,6.082,4.327,11.542,7.047,1.455,2.838,5.225,5.491
s0341,4.092,6.456,5.770,4.555,2.154,9.644,7.752,5.167
s0440,7.676,10.039,8.672,6.544,1.376,3.980,4.569,2.212
s0250,3.097,2.249,4.488,3.647,6.024,3.032,6.267,4.235
s0399,8.015,11.566,6.218,9.865,11.896,11.482,4.355,5.706
s0385,23.975,21.354,32.013,8.827,3.801,5.453,59.643,4.386
s0473,7.191,3.487,7.433,6.341,2.675,7.105,3.899,4.297
s0468,3.872,8.473,6.878,8.640,2.849,11.108,7.553,8.871
s0505,5.570,11.795,6.963,8.590,7.746,2.650,4.888,8.734
s0483,4.854,2.543,9.270,3.836,5.604,2.573,2.074,8.536
s0593,2.896,4.629,6.800,11.558,5.674,1.266,6.986,8.906
s0581,3.700,4.089,5.387,3.034,2.332,4.378,5.813,4.105
s0592,9.401,7.942,6.894,6.607,5.177,4.477,39.110,12.321
s0600,7.191,7.518,10.057,6.914,1.555,8.608,4.042,2.420
s0607,5.842,3.201,6.849,5.153,4.121,9.673,0.979,2.215
s0668,7.005,13.069,9.085,8.454,4.047,3.034,3.546,1.795
s0636,2.751,6.150,4.619,3.504,2.717,5.283,2.932,5.336
s0673,4.107,7.752,12.369,9.922,5.172,7.794,15.284,63.327
s0680,9.374,3.360,3.361,7.234,2.297,2.741,0.853,4.502
s0624,5.843,4.946,6.815,4.129,2.424,3.384,8.173,4.068
s0626,5.959,7.650,5.721,4.515,2.700,1.622,7.347,5.656
s0663,4.930,6.038,5.130,6.571,9.522,7.132,8.202,4.151
s0728,11.754,9.122,6.189,2.864,8.762,9.414,9.256,10.595
s0737,7.170,4.705,7.995,5.059,0.822,3.471,3.359,2.871
s0687,1.397,3.425,11.285,2.285,4.261,6.995,3.264,6.130
s0763,9.481,7.654,2.667,1.754,6.166,2.800,4.207,3.145
s0772,8.241,5.390,1.855,3.662,3.328,5.136,3.007,3.121
s0726,1.549,2.445,3.936,7.362,4.383,2.356,3.884,6.017
s0804,6.558,7.272,20.604,9.968,24.504,37.514,7.905,25.608
s0746,3.406,3.991,4.275,4.328,6.143,5.084,4.243,4.052
s0842,9.020,3.566,9.898,5.149,4.437,1.763,3.011,33.189
s0924,4.046,11.141,5.994,5.997,4.355,4.627,2.893,4.496
s0869,6.956,11.241,6.558,4.298,5.347,4.884,7.076,4.654
s0774,5.734,6.070,4.823,4.244,6.286,5.456,3.641,2.354
s0931,7.407,5.536,14.548,4.314,5.366,5.180,3.007,13.246
s0940,6.130,4.055,7.344,9.604,2.239,0.834,8.620,5.488
s0963,9.576,10.610,10.168,4.540,5.000,1.506,8.799,11.126
s0979,6.109,7.562,9.742,10.231,2.977,4.473,4.714,7.635
s0928,9.107,4.876,13.793,8.488,12.491,11.273,11.907,7.543
s0986,2.026,9.855,11.344,8.579,19.718,1.004,6.992,10.212
s1008,0.942,5.359,13.682,9.376,1.373,7.782,7.673,5.689
s1016,9.139,5.738,6.135,5.478,3.313,5.391,11.803,8.522
s1005,7.526,3.997,12.166,8.193,2.980,8.269,9.485,1.368
s1069,5.619,8.344,4.971,8.244,4.689,4.671,7.260,2.626
s1120,89.600,116.750,129.697,115.245,76.246,84.680,115.406,102.740
s1044,3.614,3.623,5.978,3.146,4.020,5.489,9.163,10.287
s1046,5.105,4.592,15.194,4.831,6.640,7.292,11.749,3.839
s1339,146.294,146.072,140.434,138.732,90.981,91.467,109.973,109.841
s1336,6.734,8.085,10.960,9.015,2.111,2.841,3.463,3.144
s1347,4.303,2.347,6.404,8.279,9.770,7.051,3.789,3.157
s1322,4.129,5.314,9.927,6.133,4.611,4.884,5.671,6.928
s1373,3.892,2.801,1.604,5.897,0.802,4.696,4.505,3.201
s1348,5.253,6.811,3.851,5.863,9.336,7.267,1.547,2.392
s1349,21.191,9.903,9.363,10.230,6.404,5.643,16.968,14.836
s1377,3.378,4.792,6.506,3.602,2.739,11.427,3.266,1.920
