subject-id,DSC,ASD,HD95,NSD
s0624,0.90,0.63,1.73,0.62
s0139,0.89,0.62,2.24,0.60
s0232,0.84,0.82,2.83,0.48
s0040,0.88,0.72,2.24,0.61
s0473,0.86,0.78,2.24,0.51
s0607,0.88,0.71,2.24,0.56
s1120,0.76,1.10,4.47,0.39
s0763,0.87,0.69,2.24,0.55
s1349,0.83,0.90,3.46,0.44
s0182,0.87,0.69,2.45,0.57
s1069,0.87,0.71,2.24,0.53
s0370,0.88,0.70,2.24,0.56
s0668,0.83,0.81,2.83,0.47
s0468,0.84,0.88,3.00,0.45
s0250,0.84,0.86,3.00,0.46
s0726,0.85,0.85,2.45,0.51
s1347,0.89,0.67,2.00,0.58
s1044,0.90,0.62,2.24,0.60
s1016,0.82,0.95,3.16,0.40
s0592,0.81,0.93,3.32,0.44
s0091,0.87,0.78,2.45,0.50
s1336,0.89,0.59,2.24,0.61
s0505,0.88,0.73,2.24,0.52
s0483,0.82,0.96,2.83,0.39
s0314,0.88,0.70,2.24,0.55
s0940,0.86,0.76,2.45,0.53
s0928,0.83,0.91,2.83,0.44
s0049,0.83,0.90,3.00,0.45
s0636,0.87,0.69,2.24,0.57
s0728,0.81,0.91,3.00,0.47
s1348,0.86,0.74,2.45,0.51
s0600,0.87,0.76,2.45,0.53
s0163,0.79,1.01,3.74,0.38
s0772,0.84,0.81,3.61,0.49
s0680,0.88,0.70,2.24,0.56
s1008,0.88,0.65,2.00,0.59
s1322,0.89,0.61,2.00,0.61
s0931,0.87,0.67,2.24,0.59
s0774,0.81,1.23,2.45,0.47
s0979,0.90,0.67,2.24,0.59
s0581,0.88,0.73,1.73,0.61
s1373,0.87,0.74,2.24,0.53
s1005,0.83,0.99,3.16,0.46
s0082,0.87,0.67,1.73,0.57
s0963,0.79,1.22,4.00,0.38
s0399,0.75,1.15,3.74,0.37
s0385,0.77,1.16,4.00,0.34
s0626,0.81,0.99,2.83,0.45
s1339,0.87,0.64,2.00,0.60
s0383,0.88,0.61,2.45,0.59
s0924,0.84,0.84,2.24,0.50
s0746,0.86,0.73,2.24,0.55
s0593,0.86,0.74,2.00,0.54
s0687,0.86,0.69,2.24,0.56
s0869,0.86,0.83,2.24,0.49
s0029,0.82,1.00,3.00,0.40
s0842,0.82,0.92,2.45,0.43
s0341,0.84,0.86,2.83,0.49
s0663,0.87,0.66,2.24,0.58
s0986,0.80,1.01,3.00,0.43
s0089,0.77,1.09,3.61,0.41
s0804,0.82,1.00,3.00,0.47
s0440,0.87,0.65,2.24,0.61
s1377,0.83,0.88,2.83,0.47
s0673,0.84,0.86,2.45,0.47
s0737,0.79,0.96,3.46,0.39
s1046,0.87,0.80,2.83,0.50
