subject-id,DSC,ASD,HD95,NSD
s0624_hip_msk,0.87,0.70,2.45,0.53
s0139_hip_msk,0.86,0.79,3.00,0.49
s0232_hip_msk,0.82,0.96,3.00,0.42
s0040_hip_msk,0.88,0.61,2.45,0.59
s0473_hip_msk,0.79,1.10,3.61,0.42
s0607_hip_msk,0.87,0.74,2.83,0.51
s1120_hip_msk,0.70,1.61,5.10,0.30
s0763_hip_msk,0.86,0.75,3.00,0.51
s1349_hip_msk,0.78,1.60,4.12,0.33
s0182_hip_msk,0.82,1.01,3.00,0.41
s1069_hip_msk,0.83,0.85,3.32,0.47
s0370_hip_msk,0.83,0.97,3.00,0.38
s0668_hip_msk,0.81,1.11,3.61,0.42
s0468_hip_msk,0.81,1.03,3.74,0.38
s0250_hip_msk,0.81,1.05,3.61,0.41
s0726_hip_msk,0.82,0.94,3.00,0.41
s1347_hip_msk,0.87,0.72,2.45,0.54
s1044_hip_msk,0.89,0.65,3.00,0.56
s1016_hip_msk,0.82,1.00,3.61,0.37
s0592_hip_msk,0.81,1.27,4.12,0.48
s0091_hip_msk,0.85,0.86,3.00,0.45
s1336_hip_msk,0.88,0.60,2.45,0.59
s0505_hip_msk,0.87,0.75,3.00,0.49
s0483_hip_msk,0.78,1.14,4.12,0.35
s0314_hip_msk,0.83,0.89,3.32,0.43
s0940_hip_msk,0.84,0.88,3.00,0.46
s0928_hip_msk,0.79,1.06,4.12,0.37
s0049_hip_msk,0.75,1.36,4.12,0.31
s0636_hip_msk,0.81,0.96,3.16,0.42
s0728_hip_msk,0.81,0.88,3.74,0.44
s1348_hip_msk,0.86,0.75,3.32,0.48
s0600_hip_msk,0.86,0.83,3.16,0.47
s0163_hip_msk,0.75,1.42,4.12,0.34
s0772_hip_msk,0.82,0.93,3.61,0.39
s0680_hip_msk,0.87,0.74,3.00,0.52
s1008_hip_msk,0.83,0.86,3.00,0.47
s1322_hip_msk,0.87,0.68,2.45,0.56
s0931_hip_msk,0.82,0.95,3.00,0.47
s0774_hip_msk,0.81,0.97,3.00,0.43
s0979_hip_msk,0.87,0.80,2.83,0.48
s0581_hip_msk,0.87,0.69,2.24,0.56
s1373_hip_msk,0.86,0.78,2.99,0.51
s1005_hip_msk,0.82,1.01,3.74,0.39
s0082_hip_msk,0.86,0.72,2.83,0.52
s0963_hip_msk,0.70,1.73,5.10,0.28
s0399_hip_msk,0.78,1.10,4.12,0.39
s0385_hip_msk,0.71,1.50,4.90,0.28
s0626_hip_msk,0.79,1.00,3.32,0.40
s1339_hip_msk,0.85,0.71,2.83,0.54
s0383_hip_msk,0.82,0.86,3.32,0.43
s0924_hip_msk,0.83,0.86,3.00,0.47
s0746_hip_msk,0.85,0.78,2.83,0.50
s0593_hip_msk,0.83,1.24,2.83,0.46
s0687_hip_msk,0.82,0.86,3.16,0.45
s0869_hip_msk,0.84,0.93,3.00,0.43
s0029_hip_msk,0.75,1.43,4.69,0.31
s0842_hip_msk,0.79,1.06,4.24,0.36
s0341_hip_msk,0.82,1.03,3.46,0.44
s0663_hip_msk,0.86,0.69,3.00,0.53
s0986_hip_msk,0.74,1.41,4.12,0.30
s0089_hip_msk,0.78,1.30,3.74,0.38
s0804_hip_msk,0.80,1.39,4.39,0.44
s0440_hip_msk,0.83,0.85,2.83,0.49
s1377_hip_msk,0.79,1.13,4.00,0.38
s0673_hip_msk,0.83,0.96,3.61,0.41
s0737_hip_msk,0.81,1.18,3.00,0.39
s1046_hip_msk,0.84,0.94,3.00,0.41
