subject-id,DSC,ASD,HD95,NSD
img0073_hip_msk,0.12,12.95,30.15,0.05
img0071_hip_msk,0.20,10.82,26.91,0.08
img0068_hip_msk,0.21,10.46,29.90,0.06
img0080_hip_msk,0.23,8.66,22.74,0.07
img0061_hip_msk,0.16,12.62,30.81,0.06
img0065_hip_msk,0.17,11.55,28.42,0.07
img0069_hip_msk,0.21,10.65,26.63,0.06
img0079_hip_msk,0.17,10.21,24.35,0.07
img0077_hip_msk,0.14,14.97,38.72,0.05
img0072_hip_msk,0.18,11.10,30.82,0.08
img0066_hip_msk,0.22,8.22,21.56,0.07
img0067_hip_msk,0.33,8.62,28.16,0.09
img0075_hip_msk,0.27,6.97,18.68,0.08
img0040_hip_msk,0.15,12.74,32.46,0.07
img0007_hip_msk,0.23,8.21,22.16,0.07
img0039_hip_msk,0.20,10.42,29.07,0.07
img0036_hip_msk,0.25,10.95,31.70,0.08
img0025_hip_msk,0.23,9.67,28.23,0.09
img0034_hip_msk,0.25,9.14,25.96,0.08
img0026_hip_msk,0.25,8.36,23.36,0.08
img0008_hip_msk,0.17,11.75,30.87,0.06
img0021_hip_msk,0.22,9.51,24.21,0.08
img0001_hip_msk,0.14,13.12,32.33,0.04
img0037_hip_msk,0.19,10.14,25.50,0.06
img0006_hip_msk,0.11,12.45,27.48,0.06
img0023_hip_msk,0.24,9.52,28.46,0.07
img0022_hip_msk,0.24,9.08,23.26,0.08
img0030_hip_msk,0.23,11.68,32.03,0.07
img0028_hip_msk,0.24,9.13,23.19,0.08
img0002_hip_msk,0.12,12.26,28.86,0.06
img0024_hip_msk,0.15,11.70,28.37,0.06
img0004_hip_msk,0.11,11.59,32.39,0.05
img0010_hip_msk,0.20,12.09,33.96,0.08
img0032_hip_msk,0.19,11.22,24.41,0.05
img0003_hip_msk,0.26,8.66,24.70,0.08
