subject-id,DSC,ASD,HD95,NSD
CLINIC_0024_hip_msk,0.70,1.37,7.00,0.27
CLINIC_0059_hip_msk,0.67,2.13,7.68,0.27
CLINIC_0020_hip_msk,0.72,1.43,5.00,0.32
CLINIC_0010_hip_msk,0.75,1.28,5.00,0.34
CLINIC_0079_hip_msk,0.70,1.72,4.58,0.26
CLINIC_0062_hip_msk,0.79,1.04,3.46,0.40
CLINIC_0005_hip_msk,0.66,2.29,6.71,0.28
CLINIC_0077_hip_msk,0.80,1.02,3.32,0.43
CLINIC_0096_hip_msk,0.74,1.24,3.16,0.36
CLINIC_0087_hip_msk,0.68,1.64,4.69,0.33
CLINIC_0093_hip_msk,0.75,1.43,4.12,0.32
CLINIC_0054_hip_msk,0.60,3.20,11.36,0.23
CLINIC_0018_hip_msk,0.74,1.16,5.00,0.32
CLINIC_0013_hip_msk,0.67,2.12,7.28,0.25
CLINIC_0090_hip_msk,0.71,2.69,17.00,0.35
CLINIC_0044_hip_msk,0.73,1.41,3.74,0.32
CLINIC_0022_hip_msk,0.74,1.59,4.24,0.34
CLINIC_0074_hip_msk,0.76,1.71,5.10,0.34
CLINIC_0103_hip_msk,0.79,1.03,4.00,0.38
CLINIC_0026_hip_msk,0.77,1.15,4.00,0.35
CLINIC_0039_hip_msk,0.71,1.53,5.20,0.27
CLINIC_0073_hip_msk,0.73,1.53,5.66,0.29
CLINIC_0092_hip_msk,0.79,1.06,4.69,0.35
CLINIC_0084_hip_msk,0.78,1.13,4.24,0.38
CLINIC_0031_hip_msk,0.77,1.28,4.58,0.32
CLINIC_0029_hip_msk,0.75,1.42,5.20,0.33
CLINIC_0028_hip_msk,0.76,1.20,4.24,0.33
CLINIC_0046_hip_msk,0.76,1.48,4.12,0.35
CLINIC_0069_hip_msk,0.75,1.50,4.36,0.33
CLINIC_0058_hip_msk,0.80,1.00,3.61,0.41
CLINIC_0098_hip_msk,0.72,1.27,4.36,0.31
CLINIC_0037_hip_msk,0.70,1.62,4.12,0.32
CLINIC_0016_hip_msk,0.76,1.15,3.74,0.38
CLINIC_0061_hip_msk,0.73,1.63,4.36,0.29
