subject-id,DSC,ASD,HD95,NSD
case_00014_hip_msk,0.65,2.90,15.23,0.29
case_00016_hip_msk,0.80,0.99,3.46,0.45
case_00019_hip_msk,0.77,1.26,5.10,0.28
case_00022_hip_msk,0.68,4.11,20.90,0.30
case_00026_hip_msk,0.87,0.79,3.25,0.50
case_00027_hip_msk,0.72,2.94,13.75,0.32
case_00032_hip_msk,0.81,0.96,3.46,0.45
case_00033_hip_msk,0.80,0.96,3.61,0.42
case_00040_hip_msk,0.69,2.01,5.39,0.28
case_00046_hip_msk,0.80,1.06,3.16,0.40
case_00052_hip_msk,0.77,1.28,4.12,0.37
case_00059_hip_msk,0.68,2.65,9.56,0.29
case_00060_hip_msk,0.73,1.31,5.10,0.33
case_00066_hip_msk,0.84,0.92,3.74,0.47
case_00071_hip_msk,0.66,2.70,12.17,0.27
case_00082_hip_msk,0.71,1.62,5.74,0.32
case_00084_hip_msk,0.79,1.62,7.28,0.43
case_00093_hip_msk,0.74,1.44,4.58,0.27
case_00095_hip_msk,0.86,0.80,3.32,0.48
case_00096_hip_msk,0.72,1.72,6.00,0.32
case_00100_hip_msk,0.83,0.87,3.16,0.48
case_00123_hip_msk,0.83,0.92,3.61,0.45
case_00132_hip_msk,0.72,3.13,19.21,0.32
case_00133_hip_msk,0.77,1.20,4.00,0.36
case_00135_hip_msk,0.80,1.29,3.74,0.38
case_00144_hip_msk,0.84,0.79,2.83,0.49
case_00146_hip_msk,0.76,3.08,23.85,0.35
case_00151_hip_msk,0.72,3.62,28.24,0.29
case_00155_hip_msk,0.69,3.54,21.00,0.29
case_00156_hip_msk,0.81,0.94,3.99,0.42
case_00159_hip_msk,0.77,1.20,3.74,0.35
case_00170_hip_msk,0.84,0.84,3.61,0.46
case_00188_hip_msk,0.50,5.45,18.68,0.20
case_00202_hip_msk,0.80,0.96,3.32,0.41
case_00203_hip_msk,0.65,2.56,15.81,0.26
case_00214_hip_msk,0.77,1.37,4.12,0.36
case_00246_hip_msk,0.72,1.56,4.69,0.31
case_00253_hip_msk,0.79,1.03,3.16,0.44
case_00264_hip_msk,0.76,1.42,3.74,0.40
case_00276_hip_msk,0.82,0.91,4.12,0.40
case_00293_hip_msk,0.74,1.63,5.39,0.35
case_00294_hip_msk,0.75,1.94,7.68,0.33
case_00298_hip_msk,0.78,1.08,3.61,0.38
case_00299_hip_msk,0.81,1.17,3.61,0.41
