id,ASIS_L,ASIS_R,PT_L,PT_R,IS_L,IS_R,PSIS_L,PSIS_R
s0232,5.946,10.300,9.451,4.355,7.813,6.427,9.820,11.159
s0139,6.214,4.963,7.513,6.045,3.969,4.578,3.527,37.538
s0182,4.019,8.707,7.716,6.223,7.682,4.242,3.030,4.242
s0040,6.426,3.564,3.566,9.099,3.724,5.478,10.626,4.854
s0049,5.662,14.952,17.837,83.457,28.812,26.529,20.621,74.908
s0091,11.078,9.329,2.456,1.810,5.272,2.929,2.770,3.956
s0029,7.210,4.054,5.414,11.695,7.220,20.576,5.371,11.748
s0089,105.262,127.019,125.511,127.302,68.397,70.374,107.023,105.701
s0163,10.041,9.143,16.428,8.658,6.143,3.674,9.809,4.574
s0082,5.800,4.724,4.360,3.597,3.691,7.035,3.771,7.176
s0314,5.348,8.074,11.801,4.194,3.056,6.073,5.306,6.315
s0250,41.130,13.684,9.104,6.043,3.777,5.161,42.889,35.777
s0370,6.600,5.431,4.466,8.213,5.448,3.423,3.592,2.174
s0385,15.463,4.120,7.980,13.384,7.209,12.690,14.235,7.030
s0383,4.379,5.425,10.111,17.321,3.780,9.802,3.613,9.101
s0399,4.039,12.311,3.883,8.374,8.778,6.216,5.704,5.384
s0341,9.380,27.270,5.800,5.494,6.381,6.026,8.154,5.434
s0440,12.956,7.165,6.575,1.761,2.561,6.358,7.314,1.789
s0473,22.354,12.550,16.009,11.231,7.111,6.053,13.892,20.742
s0468,10.220,11.632,3.442,4.831,8.598,7.040,5.249,15.744
s0505,3.524,8.100,11.852,5.286,5.713,3.472,3.638,7.424
s0592,9.951,8.267,8.922,10.203,5.476,6.302,44.074,7.723
s0581,3.934,5.035,2.683,5.574,3.585,2.057,3.415,4.492
s0483,13.831,3.212,16.084,16.788,5.357,6.332,40.057,5.496
s0593,61.758,4.445,7.875,5.737,0.815,5.673,22.867,15.646
s0600,12.346,13.005,12.266,11.694,2.717,5.205,4.420,3.182
s0636,4.643,3.237,11.106,6.539,2.292,11.280,5.758,5.365
s0607,8.019,3.327,3.897,4.797,2.318,13.144,3.286,4.297
s0626,4.609,2.993,8.628,7.169,4.513,4.456,4.878,12.333
s0624,2.878,4.484,8.858,5.171,1.018,3.156,6.487,4.418
s0673,1.207,7.381,9.762,11.148,4.729,7.958,23.029,66.199
s0668,7.004,2.574,8.725,10.940,5.622,8.879,1.652,6.046
s0680,4.748,3.399,3.512,2.921,3.081,2.434,5.173,6.634
s0663,4.121,7.392,3.152,7.335,6.420,3.758,13.270,7.222
