subject-id,DSC,ASD,HD95,NSD
s0624_hip_msk,0.82,1.06,3.16,0.42
s0139_hip_msk,0.84,0.92,3.16,0.44
s0232_hip_msk,0.83,1.02,3.00,0.45
s0040_hip_msk,0.85,0.87,3.00,0.51
s0473_hip_msk,0.77,1.36,3.74,0.34
s0607_hip_msk,0.84,0.98,3.16,0.45
s1120_hip_msk,0.69,1.76,5.10,0.26
s0763_hip_msk,0.82,1.05,3.61,0.40
s1349_hip_msk,0.76,1.35,4.12,0.29
s0182_hip_msk,0.77,1.30,4.12,0.34
s1069_hip_msk,0.82,1.02,3.61,0.39
s0370_hip_msk,0.82,1.03,4.12,0.40
s0668_hip_msk,0.82,0.99,3.61,0.45
s0468_hip_msk,0.80,1.18,4.24,0.37
s0250_hip_msk,0.71,1.85,6.08,0.27
s0726_hip_msk,0.75,1.43,4.00,0.32
s1347_hip_msk,0.83,1.10,3.46,0.42
s1044_hip_msk,0.81,1.18,4.12,0.39
s1016_hip_msk,0.79,1.16,4.69,0.33
s0592_hip_msk,0.79,1.29,3.61,0.41
s0091_hip_msk,0.83,1.02,3.74,0.40
s1336_hip_msk,0.83,0.98,3.32,0.46
s0505_hip_msk,0.85,0.92,3.32,0.43
s0483_hip_msk,0.76,1.36,4.58,0.34
s0314_hip_msk,0.78,1.27,3.74,0.33
s0940_hip_msk,0.76,1.38,4.24,0.36
s0928_hip_msk,0.76,1.46,4.24,0.33
s0049_hip_msk,0.77,1.36,4.12,0.36
s0636_hip_msk,0.75,1.30,3.32,0.30
s0728_hip_msk,0.76,1.32,4.12,0.35
s1348_hip_msk,0.80,1.13,4.12,0.36
s0600_hip_msk,0.79,1.27,4.00,0.34
s0163_hip_msk,0.77,1.12,4.58,0.34
s0772_hip_msk,0.79,1.26,4.12,0.37
s0680_hip_msk,0.82,1.07,3.74,0.41
s1008_hip_msk,0.80,1.16,3.61,0.43
s1322_hip_msk,0.82,1.02,3.00,0.44
s0931_hip_msk,0.82,1.00,3.00,0.41
s0774_hip_msk,0.79,1.15,3.46,0.41
s0979_hip_msk,0.84,1.03,3.00,0.42
s0581_hip_msk,0.78,1.29,3.61,0.38
s1373_hip_msk,0.79,1.21,3.61,0.38
s1005_hip_msk,0.76,1.39,4.58,0.35
s0082_hip_msk,0.83,1.00,2.83,0.45
s0963_hip_msk,0.69,1.71,4.47,0.25
s0399_hip_msk,0.73,1.62,4.24,0.31
s0385_hip_msk,0.74,1.32,4.69,0.29
s0626_hip_msk,0.74,1.39,4.36,0.33
s1339_hip_msk,0.85,0.86,3.00,0.48
s0383_hip_msk,0.80,1.12,3.32,0.39
s0924_hip_msk,0.79,1.10,3.32,0.37
s0746_hip_msk,0.78,1.24,4.12,0.38
s0593_hip_msk,0.79,1.42,3.46,0.39
s0687_hip_msk,0.75,1.37,3.74,0.36
s0869_hip_msk,0.82,1.04,4.24,0.42
s0029_hip_msk,0.80,1.13,3.74,0.37
s0842_hip_msk,0.77,1.18,4.69,0.33
s0341_hip_msk,0.76,1.50,5.39,0.33
s0663_hip_msk,0.80,1.04,3.61,0.42
s0986_hip_msk,0.77,1.20,3.74,0.36
s0089_hip_msk,0.71,1.56,4.24,0.32
s0804_hip_msk,0.77,1.77,7.33,0.39
s0440_hip_msk,0.78,1.15,3.32,0.38
s1377_hip_msk,0.72,1.76,5.74,0.30
s0673_hip_msk,0.76,1.38,4.12,0.32
s0737_hip_msk,0.79,1.45,3.61,0.39
s1046_hip_msk,0.83,1.08,3.61,0.38
