subject-id,DSC,ASD,HD95,NSD
img0073_hip_msk,0.15,10.72,31.56,0.05
img0071_hip_msk,0.17,10.71,27.27,0.06
img0068_hip_msk,0.23,8.49,24.02,0.05
img0080_hip_msk,0.24,7.49,20.81,0.07
img0061_hip_msk,0.16,10.67,27.73,0.05
img0065_hip_msk,0.20,8.69,23.77,0.07
img0069_hip_msk,0.21,9.57,28.79,0.07
img0079_hip_msk,0.20,8.61,22.45,0.07
img0077_hip_msk,0.15,14.68,40.11,0.05
img0072_hip_msk,0.23,7.75,21.99,0.08
img0066_hip_msk,0.20,8.67,24.84,0.06
img0067_hip_msk,0.25,7.28,23.79,0.07
img0075_hip_msk,0.20,8.01,25.14,0.06
img0040_hip_msk,0.13,9.72,27.95,0.05
img0007_hip_msk,0.24,7.76,20.81,0.06
img0039_hip_msk,0.23,7.60,21.73,0.08
img0036_hip_msk,0.19,9.23,24.36,0.06
img0025_hip_msk,0.26,7.80,21.93,0.09
img0034_hip_msk,0.26,7.85,22.49,0.08
img0026_hip_msk,0.22,8.39,24.19,0.07
img0008_hip_msk,0.15,9.96,25.16,0.05
img0021_hip_msk,0.19,8.67,24.66,0.06
img0001_hip_msk,0.14,9.19,24.19,0.05
img0037_hip_msk,0.19,7.67,20.22,0.06
img0006_hip_msk,0.11,11.46,25.58,0.05
img0023_hip_msk,0.23,7.87,24.35,0.08
img0022_hip_msk,0.24,8.39,25.02,0.07
img0030_hip_msk,0.20,10.34,27.46,0.05
img0028_hip_msk,0.15,10.01,23.28,0.05
img0002_hip_msk,0.19,9.58,25.77,0.07
img0024_hip_msk,0.13,11.85,27.75,0.05
img0004_hip_msk,0.13,8.66,25.50,0.04
img0010_hip_msk,0.25,8.48,24.27,0.08
img0032_hip_msk,0.19,10.09,22.67,0.05
img0003_hip_msk,0.25,8.32,22.93,0.06
