id,ASIS_L,ASIS_R,PT_L,PT_R,IS_L,IS_R,PSIS_L,PSIS_R
s0232,7.183,5.554,9.565,6.719,7.147,4.521,6.998,11.153
s0139,6.113,7.399,7.161,6.436,7.161,5.060,3.056,1.112
s0040,9.533,7.784,5.784,8.557,7.551,4.825,8.064,7.015
s0182,6.246,2.258,6.550,4.238,4.954,8.081,2.814,6.812
s0091,4.661,11.888,4.770,1.897,4.179,4.883,3.967,8.005
s0082,5.728,9.130,3.782,8.834,4.505,5.711,5.393,5.718
s0089,8.005,1.811,5.290,3.470,7.020,6.747,5.085,8.638
s0029,7.474,5.001,3.853,10.377,2.736,9.163,8.108,8.537
s0049,8.903,10.977,14.368,8.779,7.819,3.743,2.344,5.631
s0163,5.357,4.948,7.018,7.424,12.946,10.386,2.800,3.855
s0314,4.053,9.321,11.407,2.227,3.229,10.157,5.594,3.619
s0341,6.903,6.734,5.935,15.729,4.373,5.147,8.899,5.852
s0383,3.499,2.273,10.719,7.549,7.010,5.786,6.165,4.725
s0250,130.993,133.954,129.304,130.832,84.733,89.373,117.431,116.799
s0440,12.772,11.759,6.891,5.934,5.088,3.681,3.655,1.542
s0370,4.589,2.571,5.574,7.078,9.336,6.535,5.361,8.485
s0473,14.513,4.267,9.817,5.822,6.126,6.205,3.031,4.414
s0468,5.986,6.486,5.079,7.835,8.228,5.857,4.409,3.525
s0483,9.117,2.085,6.890,5.198,3.971,3.337,7.126,7.947
s0399,6.646,20.384,5.524,7.623,6.962,5.587,5.015,5.670
s0385,20.948,11.463,20.192,26.819,4.835,25.550,37.890,25.697
s0581,3.563,6.066,3.556,5.388,2.818,5.079,2.768,4.079
s0505,3.939,7.767,4.114,9.192,8.467,4.109,6.953,10.106
s0592,10.765,6.135,3.985,7.070,6.021,3.169,44.168,10.164
s0593,3.950,4.687,4.636,8.326,4.862,3.917,5.266,3.032
s0600,3.857,6.151,6.668,7.879,5.161,7.539,7.472,0.869
s0607,11.234,2.832,2.954,3.530,2.857,7.514,4.834,2.832
s0636,129.919,108.942,128.629,125.593,99.361,94.974,105.096,109.057
s0624,7.062,3.179,6.461,9.234,0.516,1.962,6.078,4.614
s0668,5.435,4.367,7.634,10.560,2.835,1.826,3.863,4.305
s0673,3.276,8.244,10.270,5.967,8.716,5.534,22.367,67.872
s0680,3.740,1.979,3.165,1.949,7.056,4.521,3.755,3.453
s0626,4.979,3.614,6.169,7.837,6.305,10.159,4.473,6.944
s0728,4.745,8.655,4.994,12.721,5.272,6.156,5.178,2.999
s0663,3.465,4.931,2.322,12.629,6.829,3.967,6.172,4.829
s0687,3.937,5.517,7.041,3.953,7.450,8.370,7.079,7.040
s0737,8.579,8.911,2.272,3.831,5.130,4.186,6.747,9.403
s0726,3.551,3.498,6.838,6.295,3.108,5.159,5.588,7.955
s0763,5.424,5.437,4.857,6.153,2.304,2.361,5.710,3.669
s0804,2.413,4.786,9.689,9.929,8.176,5.000,0.929,8.554
s0772,5.682,13.680,5.756,8.548,14.857,12.232,10.801,6.778
s0746,8.352,4.989,4.366,3.287,7.389,5.366,5.414,5.261
s0842,2.770,7.776,4.183,5.158,4.135,8.305,3.341,41.356
s0774,3.538,1.859,6.620,8.104,6.928,5.640,2.964,7.720
s0924,8.210,14.435,6.112,4.937,2.674,4.641,6.385,6.892
s0869,4.341,5.368,3.864,2.092,4.106,7.721,4.865,7.777
s0931,5.904,4.935,5.557,7.362,2.412,5.594,5.554,9.098
s0963,4.134,11.428,2.933,9.156,10.099,48.905,7.245,16.024
s0979,1.610,6.165,16.502,11.279,4.796,0.966,2.752,7.544
s0928,5.083,3.521,11.645,7.328,30.541,23.899,6.024,4.029
s0940,5.591,4.687,6.953,8.380,2.433,3.205,6.296,5.527
s1016,6.074,10.528,14.848,12.714,4.894,5.007,9.108,7.448
s1005,8.964,11.045,17.402,4.148,4.786,7.031,10.220,2.677
s1008,1.339,5.336,10.527,7.741,5.669,10.060,7.459,3.479
s1069,4.266,7.022,5.084,5.098,5.938,4.136,7.841,3.259
s1120,6.197,7.338,6.630,6.911,17.199,16.242,6.976,4.060
s0986,23.406,18.837,15.234,12.501,48.777,43.669,114.316,67.755
s1322,8.803,9.670,8.364,8.135,4.932,3.730,6.306,2.517
s1044,3.754,3.199,3.870,8.474,2.855,4.300,10.050,8.670
s1046,4.047,5.718,4.323,3.771,6.489,5.113,3.749,5.467
s1339,13.128,9.657,5.652,2.010,5.791,2.285,5.129,4.296
s1349,17.102,9.939,4.435,7.264,3.542,2.413,13.709,11.486
s1336,5.275,4.713,9.421,6.845,2.744,3.479,5.128,2.709
s1347,5.089,5.779,7.297,11.750,8.711,6.447,1.883,6.975
s1348,4.451,7.079,2.918,4.916,11.124,10.515,3.176,3.587
s1373,8.865,8.911,3.660,10.063,2.718,3.417,5.650,8.742
s1377,4.940,13.754,14.207,28.017,3.993,7.668,57.398,4.403
