subject-id,DSC,ASD,HD95,NSD
s0657,0.84,0.86,3.00,0.43
s0019,0.84,0.93,2.45,0.47
s1212,0.83,0.94,2.45,0.50
s0137,0.84,0.81,2.24,0.50
s0612,0.85,0.76,2.24,0.54
s0477,0.79,0.98,3.16,0.41
s0192,0.81,1.04,3.00,0.44
s0461,0.83,0.83,3.16,0.47
s0050,0.75,1.36,3.61,0.31
s1405,0.83,0.91,2.83,0.45
s1404,0.82,0.93,2.45,0.48
s1050,0.74,1.28,6.16,0.32
s1174,0.84,0.89,2.83,0.44
s0119,0.86,0.85,2.83,0.52
s1326,0.84,0.97,2.83,0.47
s0028,0.83,0.96,2.83,0.52
s0985,0.88,0.64,2.24,0.61
s0014,0.83,0.97,3.32,0.52
s0429,0.88,0.61,1.73,0.64
s0406,0.86,0.82,2.83,0.49
s0013,0.84,0.89,2.24,0.46
s0441,0.88,0.67,2.24,0.56
s0794,0.84,0.89,2.45,0.46
s0350,0.82,0.95,2.45,0.43
s0577,0.89,0.81,2.00,0.60
s1382,0.79,1.12,3.74,0.38
s0447,0.81,0.90,2.45,0.46
s0611,0.89,0.68,2.00,0.59
s0212,0.85,0.80,2.24,0.48
s0916,0.85,0.85,2.83,0.44
s0157,0.79,1.08,2.83,0.40
s0664,0.79,1.05,3.61,0.36
s0095,0.79,1.16,3.74,0.36
s0836,0.85,0.78,2.24,0.50
s1208,0.87,0.78,2.24,0.54
s1247,0.84,0.76,2.24,0.52
s0731,0.80,0.94,2.83,0.43
s0629,0.86,0.80,2.24,0.52
s0325,0.85,0.77,2.45,0.50
s0004,0.83,1.06,3.16,0.46
s0456,0.84,0.77,2.45,0.53
s1248,0.67,1.77,4.69,0.28
s0183,0.80,1.33,4.12,0.39
s0248,0.89,0.59,2.00,0.62
s1267,0.84,0.85,2.83,0.50
s0574,0.88,0.70,2.00,0.56
s1357,0.76,1.36,3.74,0.36
s0585,0.86,0.84,2.45,0.49
s1371,0.87,0.71,2.83,0.52
s0450,0.86,0.82,2.45,0.52
s0362,0.80,1.00,3.32,0.41
s0308,0.84,0.96,2.45,0.49
s0075,0.86,0.84,2.24,0.53
s1387,0.86,0.79,2.83,0.49
s1228,0.78,1.09,3.16,0.40
s0426,0.89,0.66,2.00,0.58
s0442,0.84,0.87,2.83,0.46
