subject-id,DSC,ASD,HD95,NSD
s1110_rib_msk,0.43,1.24,10.05,0.37
s0334_rib_msk,0.59,0.81,7.00,0.50
s1372_rib_msk,0.47,1.01,7.07,0.44
s0447_rib_msk,0.43,1.10,4.58,0.49
s0582_rib_msk,0.44,1.03,12.85,0.42
s0392_rib_msk,0.56,0.89,3.74,0.54
s1018_rib_msk,0.50,0.91,11.04,0.48
s0798_rib_msk,0.51,1.12,6.16,0.58
s1058_rib_msk,0.35,1.40,6.00,0.40
s0111_rib_msk,0.44,1.31,10.55,0.41
s0065_rib_msk,0.52,0.99,4.24,0.51
s0641_rib_msk,0.46,1.09,5.10,0.49
s0499_rib_msk,0.55,0.87,6.08,0.54
s0425_rib_msk,0.50,1.09,5.20,0.45
s0737_rib_msk,0.42,1.26,4.47,0.50
s0918_rib_msk,0.43,1.29,5.39,0.39
s0743_rib_msk,0.54,0.98,10.25,0.50
s0919_rib_msk,0.48,1.08,7.35,0.51
s0095_rib_msk,0.38,2.01,14.25,0.34
s1380_rib_msk,0.52,1.02,5.20,0.56
s1330_rib_msk,0.55,0.94,9.90,0.47
s0386_rib_msk,0.21,1.76,17.47,0.18
s0945_rib_msk,0.51,0.97,5.74,0.53
s1089_rib_msk,0.57,0.85,7.55,0.49
s0982_rib_msk,0.23,1.99,17.46,0.20
s1029_rib_msk,0.57,0.92,5.10,0.54
s1042_rib_msk,0.43,1.31,8.12,0.42
s1305_rib_msk,0.31,1.40,12.73,0.34
s0344_rib_msk,0.55,0.93,5.66,0.51
s0556_rib_msk,0.51,1.08,5.00,0.47
s0975_rib_msk,0.39,1.27,13.00,0.34
s0046_rib_msk,0.47,1.14,7.48,0.43
s1337_rib_msk,0.49,1.07,5.20,0.47
s1161_rib_msk,0.41,1.51,10.49,0.39
s0550_rib_msk,0.53,1.00,6.40,0.46
s0502_rib_msk,0.50,1.00,3.32,0.48
s0845_rib_msk,0.46,1.01,6.71,0.49
s0115_rib_msk,0.48,1.31,8.77,0.42
s0939_rib_msk,0.46,1.10,8.19,0.43
s0531_rib_msk,0.56,0.77,6.40,0.58
s1120_rib_msk,0.49,0.95,6.56,0.51
s0869_rib_msk,0.54,0.95,7.07,0.51
s0394_rib_msk,0.43,1.16,10.25,0.38
s0461_rib_msk,0.42,1.19,4.24,0.45
s0669_rib_msk,0.41,1.35,5.83,0.43
s0775_rib_msk,0.50,1.15,3.61,0.51
s0698_rib_msk,0.44,1.23,5.40,0.43
s0191_rib_msk,0.27,1.75,9.54,0.27
s0880_rib_msk,0.34,1.57,7.35,0.38
s1228_rib_msk,0.41,1.42,7.87,0.44
s0598_rib_msk,0.49,1.21,8.60,0.44
s1090_rib_msk,0.53,0.93,7.14,0.48
s1387_rib_msk,0.50,0.96,10.44,0.38
s0752_rib_msk,0.36,1.50,9.49,0.34
s0833_rib_msk,0.49,1.03,5.39,0.50
s0613_rib_msk,0.48,1.07,7.07,0.43
s1174_rib_msk,0.51,1.12,6.78,0.48
s0123_rib_msk,0.58,0.82,3.61,0.56
s0999_rib_msk,0.42,1.25,6.71,0.45
s0625_rib_msk,0.37,1.42,5.48,0.41
s1070_rib_msk,0.39,1.36,5.10,0.44
s0952_rib_msk,0.17,4.92,16.59,0.14
s0896_rib_msk,0.49,1.02,5.39,0.58
s0446_rib_msk,0.49,1.16,6.40,0.48
s1012_rib_msk,0.49,1.17,7.21,0.46
s1111_rib_msk,0.57,0.90,3.00,0.56
s1178_rib_msk,0.41,1.60,8.77,0.41
s1233_rib_msk,0.46,1.10,6.78,0.47
s0444_rib_msk,0.55,0.91,2.83,0.62
s0720_rib_msk,0.47,1.10,5.48,0.43
s0437_rib_msk,0.64,0.73,3.74,0.62
s0332_rib_msk,0.54,0.95,5.92,0.50
s0913_rib_msk,0.61,0.76,4.58,0.58
