subject-id,DSC,ASD,HD95,NSD
s1110_rib_msk,0.24,2.04,21.31,0.21
s0334_rib_msk,0.38,1.53,14.61,0.33
s1372_rib_msk,0.36,1.48,14.07,0.35
s0447_rib_msk,0.27,1.62,14.32,0.32
s0582_rib_msk,0.24,1.79,19.44,0.27
s0392_rib_msk,0.37,1.38,17.03,0.31
s1018_rib_msk,0.21,1.82,17.12,0.28
s0798_rib_msk,0.25,1.77,22.41,0.30
s1058_rib_msk,0.17,2.20,18.38,0.20
s0111_rib_msk,0.19,2.46,20.63,0.23
s0065_rib_msk,0.36,1.39,19.24,0.33
s0641_rib_msk,0.30,1.74,14.46,0.31
s0499_rib_msk,0.39,1.42,14.97,0.39
s0425_rib_msk,0.37,1.57,12.33,0.35
s0737_rib_msk,0.24,1.75,16.19,0.30
s0918_rib_msk,0.34,1.68,12.73,0.32
s0743_rib_msk,0.21,2.20,23.34,0.24
s0919_rib_msk,0.24,1.77,20.02,0.29
s0095_rib_msk,0.26,2.20,17.03,0.28
s1380_rib_msk,0.30,1.45,18.28,0.32
s1330_rib_msk,0.35,1.62,14.46,0.31
s0386_rib_msk,0.00,25.92,42.20,0.03
s0945_rib_msk,0.26,1.64,18.84,0.30
s1089_rib_msk,0.39,1.44,16.31,0.34
s0982_rib_msk,0.18,2.98,21.77,0.14
s1029_rib_msk,0.39,1.48,14.90,0.37
s1042_rib_msk,0.21,2.13,25.10,0.23
s1305_rib_msk,0.19,2.08,15.75,0.27
s0344_rib_msk,0.32,1.70,13.38,0.31
s0556_rib_msk,0.36,1.60,14.49,0.33
s0975_rib_msk,0.14,2.52,16.50,0.19
s0046_rib_msk,0.32,1.70,13.75,0.32
s1337_rib_msk,0.25,1.99,15.09,0.27
s1161_rib_msk,0.22,2.09,17.26,0.24
s0550_rib_msk,0.34,1.68,13.49,0.30
s0502_rib_msk,0.30,1.77,12.21,0.31
s0845_rib_msk,0.27,1.54,13.49,0.32
s0115_rib_msk,0.29,2.00,13.45,0.27
s0939_rib_msk,0.30,1.73,16.06,0.32
s0531_rib_msk,0.22,1.98,18.14,0.27
s1120_rib_msk,0.33,1.54,15.62,0.34
s0869_rib_msk,0.33,1.66,14.48,0.33
s0394_rib_msk,0.32,1.61,16.61,0.29
s0461_rib_msk,0.26,1.93,14.80,0.29
s0669_rib_msk,0.31,1.65,16.28,0.32
s0775_rib_msk,0.28,1.73,9.95,0.30
s0698_rib_msk,0.27,1.81,19.95,0.24
s0191_rib_msk,0.00,20.78,36.77,0.02
s0880_rib_msk,0.27,1.73,17.06,0.29
s1228_rib_msk,0.22,1.94,19.58,0.28
s0598_rib_msk,0.31,1.84,16.28,0.28
s1090_rib_msk,0.28,1.74,14.15,0.30
s1387_rib_msk,0.36,1.67,14.76,0.29
s0752_rib_msk,0.27,1.96,15.30,0.27
s0833_rib_msk,0.34,1.45,14.04,0.35
s0613_rib_msk,0.33,1.65,13.60,0.32
s1174_rib_msk,0.30,1.80,15.26,0.30
s0123_rib_msk,0.40,1.49,13.75,0.37
s0999_rib_msk,0.20,2.23,15.33,0.26
s0625_rib_msk,0.16,2.30,17.12,0.26
s1070_rib_msk,0.24,1.77,13.56,0.32
s0952_rib_msk,0.00,16.83,31.89,0.00
s0896_rib_msk,0.24,1.83,13.04,0.34
s0446_rib_msk,0.32,1.61,14.32,0.32
s1012_rib_msk,0.19,2.29,18.33,0.23
s1111_rib_msk,0.32,1.62,17.03,0.31
s1178_rib_msk,0.17,1.97,22.67,0.18
s1233_rib_msk,0.28,1.77,14.21,0.31
s0444_rib_msk,0.24,1.82,14.04,0.32
s0720_rib_msk,0.32,1.70,16.67,0.31
s0437_rib_msk,0.34,1.68,10.95,0.33
s0332_rib_msk,0.31,1.72,14.56,0.31
s0913_rib_msk,0.35,1.68,13.96,0.34
