subject-id,DSC,ASD,HD95,NSD
s0046,0.26,7.64,33.48,0.36
s0065,0.31,7.86,35.61,0.38
s0095,0.19,8.62,33.67,0.27
s0111,0.16,10.89,39.46,0.23
s0115,0.32,8.15,36.36,0.36
s0123,0.38,5.51,30.03,0.47
s0191,0.02,17.12,72.92,0.04
s0332,0.30,7.25,33.67,0.37
s0334,0.34,6.98,32.31,0.40
s0344,0.29,7.40,34.07,0.37
s0386,0.02,20.20,90.05,0.07
s0392,0.30,8.91,36.36,0.36
s0394,0.27,8.33,33.17,0.31
s0425,0.39,5.97,26.48,0.43
s0437,0.35,5.40,24.92,0.43
s0444,0.19,6.57,27.37,0.39
s0446,0.31,6.68,28.72,0.41
s0447,0.24,7.84,35.69,0.37
s0461,0.22,7.17,30.72,0.31
s0499,0.38,6.28,30.08,0.46
s0502,0.34,6.99,31.16,0.39
s0531,0.21,7.57,30.25,0.35
s0550,0.30,7.07,31.40,0.37
s0556,0.27,7.95,33.14,0.36
s0582,0.22,9.65,39.60,0.32
s0598,0.22,8.33,35.06,0.31
s0613,0.35,7.14,30.95,0.41
s0625,0.16,8.48,40.36,0.32
s0641,0.24,7.27,29.34,0.34
s0669,0.30,7.77,34.77,0.40
s0698,0.20,8.40,31.26,0.27
s0720,0.31,9.02,46.73,0.36
s0737,0.16,6.83,27.02,0.32
s0743,0.27,8.86,37.24,0.34
s0752,0.17,9.00,34.38,0.24
s0775,0.27,4.68,20.35,0.37
s0798,0.17,8.97,37.92,0.38
s0833,0.28,7.87,32.54,0.42
s0845,0.17,9.30,38.58,0.34
s0869,0.31,7.26,33.44,0.40
s0880,0.24,8.54,39.53,0.33
s0896,0.18,7.83,32.58,0.38
s0913,0.35,6.58,31.62,0.43
s0918,0.39,6.27,29.14,0.41
s0919,0.20,8.71,35.23,0.37
s0939,0.34,7.45,34.67,0.38
s0945,0.23,8.31,36.04,0.37
s0952,0.02,20.79,53.00,0.03
s0975,0.16,9.95,38.68,0.23
s0982,0.04,25.90,64.26,0.04
s0999,0.21,8.48,32.14,0.32
s1012,0.27,8.15,38.62,0.37
s1018,0.20,9.20,37.76,0.32
s1029,0.33,6.30,30.30,0.44
s1042,0.18,12.90,44.05,0.23
s1058,0.12,10.84,38.20,0.20
s1070,0.25,7.33,32.70,0.40
s1089,0.31,7.94,34.23,0.36
s1090,0.31,7.98,36.74,0.38
s1110,0.16,14.81,56.81,0.17
s1111,0.35,7.41,34.19,0.40
s1120,0.27,7.51,32.08,0.39
s1161,0.27,9.05,36.99,0.30
s1174,0.22,7.59,34.34,0.35
s1178,0.09,17.54,53.80,0.12
s1228,0.19,7.65,32.83,0.33
s1233,0.23,6.65,29.14,0.36
s1305,0.17,9.69,41.83,0.30
s1330,0.30,7.45,31.64,0.35
s1337,0.30,7.26,33.20,0.37
s1372,0.35,6.67,30.68,0.43
s1380,0.25,8.40,32.57,0.36
s1387,0.30,9.15,40.01,0.32
