subject-id,DSC,ASD,HD95,NSD
s1110_rib_msk,0.21,2.24,7.87,0.20
s0334_rib_msk,0.27,1.81,6.48,0.28
s1372_rib_msk,0.27,1.65,7.48,0.29
s0447_rib_msk,0.17,1.82,5.83,0.27
s0582_rib_msk,0.25,1.49,9.27,0.26
s0392_rib_msk,0.18,2.05,5.83,0.24
s1018_rib_msk,0.27,1.64,7.48,0.30
s0798_rib_msk,0.15,2.28,7.07,0.28
s1058_rib_msk,0.21,1.95,6.00,0.28
s0111_rib_msk,0.22,2.47,10.86,0.24
s0065_rib_msk,0.23,1.78,5.39,0.29
s0641_rib_msk,0.30,1.59,5.74,0.34
s0499_rib_msk,0.20,1.84,5.39,0.26
s0425_rib_msk,0.16,2.15,5.10,0.24
s0737_rib_msk,0.23,1.63,5.10,0.34
s0918_rib_msk,0.18,2.18,6.71,0.20
s0743_rib_msk,0.28,2.00,7.07,0.31
s0919_rib_msk,0.19,1.82,6.16,0.28
s0095_rib_msk,0.17,2.46,8.12,0.19
s1380_rib_msk,0.17,1.82,5.92,0.25
s1330_rib_msk,0.32,1.90,8.60,0.28
s0386_rib_msk,0.33,1.62,13.38,0.34
s0945_rib_msk,0.18,1.75,8.77,0.25
s1089_rib_msk,0.24,2.14,7.17,0.24
s0982_rib_msk,0.20,2.48,14.70,0.15
s1029_rib_msk,0.19,2.08,5.92,0.27
s1042_rib_msk,0.13,2.48,10.49,0.18
s1305_rib_msk,0.19,1.74,9.22,0.25
s0344_rib_msk,0.30,1.67,6.40,0.30
s0556_rib_msk,0.20,2.11,7.14,0.25
s0975_rib_msk,0.21,2.55,8.19,0.21
s0046_rib_msk,0.23,1.94,9.22,0.24
s1337_rib_msk,0.24,2.01,7.81,0.27
s1161_rib_msk,0.26,2.31,7.28,0.24
s0550_rib_msk,0.21,2.21,9.00,0.23
s0502_rib_msk,0.21,2.10,5.48,0.27
s0845_rib_msk,0.16,1.82,5.48,0.30
s0115_rib_msk,0.20,2.61,7.55,0.20
s0939_rib_msk,0.17,2.17,11.22,0.21
s0531_rib_msk,0.21,1.88,9.49,0.29
s1120_rib_msk,0.21,1.84,8.31,0.28
s0869_rib_msk,0.20,2.03,7.55,0.25
s0394_rib_msk,0.16,2.07,9.80,0.21
s0461_rib_msk,0.17,2.23,5.10,0.26
s0669_rib_msk,0.23,1.96,6.71,0.30
s0775_rib_msk,0.21,2.34,6.08,0.25
s0698_rib_msk,0.15,2.38,7.00,0.18
s0191_rib_msk,0.18,1.53,8.19,0.22
s0880_rib_msk,0.18,2.07,7.07,0.25
s1228_rib_msk,0.16,2.22,7.35,0.23
s0598_rib_msk,0.25,2.00,5.83,0.29
s1090_rib_msk,0.17,2.37,6.78,0.22
s1387_rib_msk,0.21,2.17,10.05,0.18
s0752_rib_msk,0.27,2.21,11.92,0.24
s0833_rib_msk,0.19,1.84,6.00,0.27
s0613_rib_msk,0.25,1.72,8.65,0.25
s1174_rib_msk,0.28,1.92,7.55,0.31
s0123_rib_msk,0.25,1.92,7.07,0.28
s0999_rib_msk,0.19,2.12,7.48,0.23
s0625_rib_msk,0.27,2.18,6.56,0.31
s1070_rib_msk,0.14,2.34,5.48,0.22
s0952_rib_msk,0.14,2.89,14.15,0.12
s0896_rib_msk,0.20,1.84,5.92,0.32
s0446_rib_msk,0.21,2.08,5.00,0.27
s1012_rib_msk,0.14,2.37,8.77,0.19
s1111_rib_msk,0.24,2.07,5.10,0.30
s1178_rib_msk,0.18,2.68,13.19,0.19
s1233_rib_msk,0.22,2.08,7.00,0.29
s0444_rib_msk,0.23,1.86,6.32,0.32
s0720_rib_msk,0.24,2.04,6.16,0.26
s0437_rib_msk,0.29,2.02,5.92,0.31
s0332_rib_msk,0.23,2.09,7.55,0.27
s0913_rib_msk,0.28,2.05,5.83,0.31
