subject-id,DSC,ASD,HD95,NSD
s1110_rib_msk,0.22,2.40,12.69,0.18
s0334_rib_msk,0.36,1.53,5.92,0.32
s1372_rib_msk,0.33,1.41,6.08,0.35
s0447_rib_msk,0.37,1.34,5.10,0.41
s0582_rib_msk,0.24,1.94,7.87,0.27
s0392_rib_msk,0.39,1.31,5.39,0.37
s1018_rib_msk,0.28,1.69,9.70,0.30
s0798_rib_msk,0.30,1.65,4.12,0.41
s1058_rib_msk,0.16,2.65,8.66,0.21
s0111_rib_msk,0.21,2.26,11.13,0.21
s0065_rib_msk,0.41,1.33,10.00,0.35
s0641_rib_msk,0.31,1.73,7.35,0.33
s0499_rib_msk,0.48,1.17,3.16,0.47
s0425_rib_msk,0.44,1.34,4.90,0.40
s0737_rib_msk,0.23,2.06,5.74,0.32
s0918_rib_msk,0.39,1.37,4.12,0.36
s0743_rib_msk,0.29,1.82,7.07,0.30
s0919_rib_msk,0.28,1.71,9.70,0.31
s0095_rib_msk,0.19,2.35,11.05,0.19
s1380_rib_msk,0.35,1.43,6.40,0.36
s1330_rib_msk,0.37,1.54,6.00,0.34
s0386_rib_msk,0.03,18.22,34.60,0.14
s0945_rib_msk,0.29,1.57,5.83,0.36
s1089_rib_msk,0.35,1.38,7.81,0.30
s0982_rib_msk,0.10,4.42,15.59,0.11
s1029_rib_msk,0.41,1.38,7.07,0.38
s1042_rib_msk,0.14,2.31,9.50,0.20
s1305_rib_msk,0.18,2.11,6.32,0.29
s0344_rib_msk,0.30,1.79,5.66,0.31
s0556_rib_msk,0.35,1.55,4.47,0.33
s0975_rib_msk,0.09,2.83,7.14,0.14
s0046_rib_msk,0.33,1.49,7.35,0.34
s1337_rib_msk,0.36,1.47,6.71,0.35
s1161_rib_msk,0.24,1.84,12.96,0.25
s0550_rib_msk,0.31,1.66,5.00,0.32
s0502_rib_msk,0.41,1.35,3.46,0.41
s0845_rib_msk,0.21,1.73,5.48,0.32
s0115_rib_msk,0.26,1.96,7.14,0.25
s0939_rib_msk,0.35,1.55,6.00,0.34
s0531_rib_msk,0.29,1.66,5.39,0.37
s1120_rib_msk,0.32,1.56,8.06,0.33
s0869_rib_msk,0.40,1.31,5.00,0.37
s0394_rib_msk,0.18,2.01,9.17,0.21
s0461_rib_msk,0.27,1.78,5.00,0.32
s0669_rib_msk,0.28,1.78,5.00,0.31
s0775_rib_msk,0.24,1.92,4.36,0.32
s0698_rib_msk,0.27,1.97,8.54,0.27
s0191_rib_msk,0.13,6.15,21.77,0.23
s0880_rib_msk,0.30,2.03,9.43,0.28
s1228_rib_msk,0.25,1.79,5.10,0.32
s0598_rib_msk,0.31,1.75,12.33,0.26
s1090_rib_msk,0.34,1.45,5.00,0.36
s1387_rib_msk,0.28,1.88,9.64,0.24
s0752_rib_msk,0.17,2.58,8.62,0.18
s0833_rib_msk,0.29,1.58,4.24,0.33
s0613_rib_msk,0.45,1.21,4.24,0.41
s1174_rib_msk,0.33,1.65,5.92,0.31
s0123_rib_msk,0.44,1.32,4.24,0.39
s0999_rib_msk,0.24,1.93,5.48,0.30
s0625_rib_msk,0.16,2.18,6.16,0.27
s1070_rib_msk,0.27,1.70,4.12,0.35
s0952_rib_msk,0.01,12.10,25.42,0.03
s0896_rib_msk,0.25,1.84,4.36,0.36
s0446_rib_msk,0.42,1.29,6.00,0.39
s1012_rib_msk,0.22,2.20,7.68,0.24
s1111_rib_msk,0.36,1.44,5.83,0.35
s1178_rib_msk,0.14,2.78,9.90,0.19
s1233_rib_msk,0.29,1.74,5.10,0.32
s0444_rib_msk,0.22,2.12,5.00,0.33
s0720_rib_msk,0.31,1.60,5.74,0.32
s0437_rib_msk,0.43,1.34,4.36,0.40
s0332_rib_msk,0.36,1.48,6.32,0.35
s0913_rib_msk,0.40,1.48,4.58,0.41
