subject-id,DSC,ASD,HD95,NSD
s1110_rib_msk,0.23,2.34,12.33,0.18
s0334_rib_msk,0.39,1.48,5.48,0.34
s1372_rib_msk,0.34,1.40,6.63,0.34
s0447_rib_msk,0.39,1.29,5.39,0.42
s0582_rib_msk,0.26,1.85,7.87,0.28
s0392_rib_msk,0.39,1.29,5.39,0.37
s1018_rib_msk,0.28,1.68,9.94,0.31
s0798_rib_msk,0.29,1.69,4.24,0.39
s1058_rib_msk,0.16,2.64,9.00,0.22
s0111_rib_msk,0.23,2.23,12.96,0.21
s0065_rib_msk,0.41,1.28,9.90,0.35
s0641_rib_msk,0.31,1.75,7.48,0.34
s0499_rib_msk,0.49,1.14,3.16,0.48
s0425_rib_msk,0.43,1.33,4.90,0.39
s0737_rib_msk,0.22,2.08,5.83,0.32
s0918_rib_msk,0.41,1.35,4.12,0.37
s0743_rib_msk,0.30,1.77,7.28,0.31
s0919_rib_msk,0.27,1.74,9.44,0.31
s0095_rib_msk,0.18,2.46,11.36,0.19
s1380_rib_msk,0.35,1.44,6.40,0.35
s1330_rib_msk,0.37,1.53,5.00,0.34
s0386_rib_msk,0.02,18.78,35.94,0.12
s0945_rib_msk,0.28,1.62,5.66,0.34
s1089_rib_msk,0.36,1.36,7.35,0.32
s0982_rib_msk,0.11,4.68,17.00,0.11
s1029_rib_msk,0.41,1.41,7.87,0.37
s1042_rib_msk,0.12,2.39,9.70,0.19
s1305_rib_msk,0.19,2.09,6.40,0.29
s0344_rib_msk,0.31,1.78,5.83,0.32
s0556_rib_msk,0.34,1.59,4.60,0.32
s0975_rib_msk,0.09,2.83,7.48,0.14
s0046_rib_msk,0.33,1.48,8.31,0.34
s1337_rib_msk,0.36,1.45,7.23,0.36
s1161_rib_msk,0.25,1.81,11.36,0.25
s0550_rib_msk,0.32,1.66,4.69,0.33
s0502_rib_msk,0.41,1.35,3.61,0.40
s0845_rib_msk,0.22,1.72,5.48,0.33
s0115_rib_msk,0.27,1.94,7.21,0.25
s0939_rib_msk,0.34,1.56,5.92,0.34
s0531_rib_msk,0.29,1.64,5.20,0.36
s1120_rib_msk,0.33,1.52,6.48,0.34
s0869_rib_msk,0.39,1.34,5.39,0.35
s0394_rib_msk,0.20,1.96,9.64,0.22
s0461_rib_msk,0.28,1.78,5.00,0.32
s0669_rib_msk,0.30,1.69,4.58,0.33
s0775_rib_msk,0.27,1.82,4.24,0.32
s0698_rib_msk,0.25,2.01,8.06,0.26
s0191_rib_msk,0.13,6.79,24.26,0.22
s0880_rib_msk,0.30,2.00,7.07,0.30
s1228_rib_msk,0.27,1.74,5.10,0.33
s0598_rib_msk,0.33,1.66,12.57,0.28
s1090_rib_msk,0.38,1.38,5.10,0.37
s1387_rib_msk,0.28,1.92,9.22,0.24
s0752_rib_msk,0.16,2.60,9.11,0.18
s0833_rib_msk,0.31,1.54,4.12,0.35
s0613_rib_msk,0.45,1.20,4.24,0.42
s1174_rib_msk,0.33,1.60,5.92,0.32
s0123_rib_msk,0.44,1.31,4.12,0.40
s0999_rib_msk,0.24,1.95,5.74,0.31
s0625_rib_msk,0.18,2.10,6.08,0.28
s1070_rib_msk,0.28,1.69,4.12,0.35
s0952_rib_msk,0.01,12.15,26.17,0.03
s0896_rib_msk,0.25,1.83,4.36,0.36
s0446_rib_msk,0.43,1.29,6.00,0.40
s1012_rib_msk,0.21,2.24,7.28,0.24
s1111_rib_msk,0.37,1.41,4.69,0.36
s1178_rib_msk,0.15,2.59,9.43,0.20
s1233_rib_msk,0.29,1.72,5.39,0.32
s0444_rib_msk,0.22,2.14,5.10,0.34
s0720_rib_msk,0.34,1.55,5.74,0.34
s0437_rib_msk,0.43,1.33,4.24,0.40
s0332_rib_msk,0.35,1.51,5.74,0.35
s0913_rib_msk,0.41,1.46,4.69,0.42
