subject-id,DSC,ASD,HD95,NSD
s1110_rib_msk,0.49,1.17,5.74,0.41
s0334_rib_msk,0.59,0.83,3.61,0.51
s1372_rib_msk,0.46,1.06,4.12,0.45
s0447_rib_msk,0.40,1.17,3.16,0.46
s0582_rib_msk,0.50,0.95,7.73,0.47
s0392_rib_msk,0.58,0.82,3.00,0.56
s1018_rib_msk,0.45,1.07,6.71,0.45
s0798_rib_msk,0.48,1.16,5.10,0.52
s1058_rib_msk,0.37,1.26,5.39,0.39
s0111_rib_msk,0.52,1.11,5.20,0.46
s0065_rib_msk,0.55,0.93,3.00,0.53
s0641_rib_msk,0.46,1.03,3.00,0.49
s0499_rib_msk,0.59,0.82,3.00,0.57
s0425_rib_msk,0.56,0.97,2.45,0.52
s0737_rib_msk,0.43,1.19,3.00,0.53
s0918_rib_msk,0.55,0.94,3.32,0.47
s0743_rib_msk,0.55,0.99,3.61,0.53
s0919_rib_msk,0.41,1.32,4.58,0.46
s0095_rib_msk,0.37,2.06,6.00,0.38
s1380_rib_msk,0.53,1.04,3.61,0.56
s1330_rib_msk,0.61,0.83,2.45,0.52
s0386_rib_msk,0.31,2.25,22.51,0.35
s0945_rib_msk,0.54,0.93,2.24,0.59
s1089_rib_msk,0.54,0.98,4.12,0.48
s0982_rib_msk,0.19,2.59,15.03,0.16
s1029_rib_msk,0.55,0.94,3.46,0.49
s1042_rib_msk,0.38,1.44,7.07,0.39
s1305_rib_msk,0.34,1.28,9.64,0.40
s0344_rib_msk,0.60,0.89,5.10,0.53
s0556_rib_msk,0.55,0.96,3.32,0.50
s0975_rib_msk,0.52,1.06,5.10,0.43
s0046_rib_msk,0.49,1.06,3.61,0.47
s1337_rib_msk,0.57,0.94,2.83,0.53
s1161_rib_msk,0.58,0.96,4.36,0.50
s0550_rib_msk,0.59,0.79,3.16,0.52
s0502_rib_msk,0.61,0.83,2.24,0.58
s0845_rib_msk,0.59,0.81,3.00,0.60
s0115_rib_msk,0.50,1.13,4.00,0.44
s0939_rib_msk,0.64,0.78,5.74,0.57
s0531_rib_msk,0.45,1.20,5.00,0.48
s1120_rib_msk,0.60,0.75,2.83,0.60
s0869_rib_msk,0.58,0.87,3.16,0.53
s0394_rib_msk,0.47,1.10,6.00,0.41
s0461_rib_msk,0.50,1.02,2.83,0.50
s0669_rib_msk,0.47,1.14,3.16,0.49
s0775_rib_msk,0.64,0.90,2.83,0.62
s0698_rib_msk,0.48,1.16,3.74,0.48
s0191_rib_msk,0.42,1.07,5.48,0.37
s0880_rib_msk,0.46,1.31,4.90,0.48
s1228_rib_msk,0.49,1.08,3.16,0.52
s0598_rib_msk,0.57,1.01,3.74,0.51
s1090_rib_msk,0.57,0.88,3.46,0.50
s1387_rib_msk,0.52,1.00,4.24,0.41
s0752_rib_msk,0.45,1.32,5.10,0.40
s0833_rib_msk,0.49,1.07,4.36,0.51
s0613_rib_msk,0.55,0.92,4.00,0.48
s1174_rib_msk,0.59,0.88,3.32,0.55
s0123_rib_msk,0.63,0.77,2.24,0.58
s0999_rib_msk,0.45,1.08,4.12,0.47
s0625_rib_msk,0.46,1.25,3.32,0.48
s1070_rib_msk,0.40,1.28,3.74,0.45
s0952_rib_msk,0.20,3.43,12.81,0.19
s0896_rib_msk,0.52,0.98,2.45,0.58
s0446_rib_msk,0.58,0.84,2.24,0.56
s1012_rib_msk,0.54,0.94,7.68,0.48
s1111_rib_msk,0.60,0.93,2.45,0.57
s1178_rib_msk,0.51,1.98,9.11,0.46
s1233_rib_msk,0.46,1.14,3.71,0.47
s0444_rib_msk,0.44,1.13,2.83,0.53
s0720_rib_msk,0.58,0.85,4.58,0.52
s0437_rib_msk,0.64,0.82,2.45,0.61
s0332_rib_msk,0.61,0.82,2.83,0.56
s0913_rib_msk,0.59,0.86,2.24,0.57
