subject-id,DSC,ASD,HD95,NSD
s1110_rib_msk,0.35,1.92,10.25,0.29
s0334_rib_msk,0.51,1.02,7.28,0.42
s1372_rib_msk,0.34,1.42,5.00,0.34
s0447_rib_msk,0.39,1.17,4.00,0.44
s0582_rib_msk,0.37,1.28,8.25,0.36
s0392_rib_msk,0.40,1.37,5.83,0.37
s1018_rib_msk,0.34,1.45,7.48,0.37
s0798_rib_msk,0.36,1.57,6.08,0.43
s1058_rib_msk,0.31,1.50,8.06,0.33
s0111_rib_msk,0.35,1.79,8.06,0.34
s0065_rib_msk,0.43,1.34,5.74,0.40
s0641_rib_msk,0.38,1.33,7.00,0.38
s0499_rib_msk,0.56,0.86,3.61,0.55
s0425_rib_msk,0.48,1.22,4.47,0.43
s0737_rib_msk,0.39,1.33,5.92,0.46
s0918_rib_msk,0.48,1.15,5.20,0.40
s0743_rib_msk,0.31,2.07,8.25,0.32
s0919_rib_msk,0.39,1.34,11.83,0.38
s0095_rib_msk,0.30,2.20,9.43,0.27
s1380_rib_msk,0.41,1.21,5.39,0.43
s1330_rib_msk,0.41,1.34,9.27,0.33
s0386_rib_msk,0.16,11.47,30.16,0.36
s0945_rib_msk,0.41,1.27,4.90,0.44
s1089_rib_msk,0.44,1.29,4.47,0.40
s0982_rib_msk,0.22,3.16,14.18,0.19
s1029_rib_msk,0.44,1.23,5.20,0.40
s1042_rib_msk,0.27,1.83,8.60,0.28
s1305_rib_msk,0.28,1.84,9.17,0.33
s0344_rib_msk,0.41,1.28,7.28,0.38
s0556_rib_msk,0.50,1.17,5.39,0.46
s0975_rib_msk,0.34,1.65,6.00,0.31
s0046_rib_msk,0.37,1.31,6.71,0.35
s1337_rib_msk,0.47,1.23,5.00,0.42
s1161_rib_msk,0.41,1.54,6.48,0.36
s0550_rib_msk,0.39,1.46,7.14,0.35
s0502_rib_msk,0.51,1.08,4.24,0.47
s0845_rib_msk,0.44,1.10,4.12,0.48
s0115_rib_msk,0.41,1.63,5.10,0.35
s0939_rib_msk,0.50,1.16,7.07,0.43
s0531_rib_msk,0.41,1.23,7.48,0.46
s1120_rib_msk,0.43,1.12,8.60,0.43
s0869_rib_msk,0.45,1.17,6.16,0.41
s0394_rib_msk,0.41,1.19,8.77,0.37
s0461_rib_msk,0.45,1.27,3.74,0.45
s0669_rib_msk,0.42,1.35,5.20,0.43
s0775_rib_msk,0.48,1.13,3.16,0.45
s0698_rib_msk,0.29,1.82,8.25,0.29
s0191_rib_msk,0.33,2.80,12.83,0.34
s0880_rib_msk,0.41,1.42,9.22,0.39
s1228_rib_msk,0.31,1.64,5.10,0.36
s0598_rib_msk,0.43,1.33,6.40,0.40
s1090_rib_msk,0.44,1.24,5.83,0.40
s1387_rib_msk,0.34,1.49,8.83,0.27
s0752_rib_msk,0.25,2.04,11.05,0.25
s0833_rib_msk,0.39,1.34,4.36,0.41
s0613_rib_msk,0.49,1.09,6.56,0.44
s1174_rib_msk,0.42,1.34,5.10,0.39
s0123_rib_msk,0.54,1.02,3.61,0.50
s0999_rib_msk,0.38,1.40,5.74,0.39
s0625_rib_msk,0.38,1.60,5.20,0.41
s1070_rib_msk,0.42,1.19,4.69,0.46
s0952_rib_msk,0.20,5.82,21.68,0.21
s0896_rib_msk,0.41,1.20,4.12,0.50
s0446_rib_msk,0.45,1.25,3.74,0.44
s1012_rib_msk,0.47,1.24,6.40,0.43
s1111_rib_msk,0.50,1.10,5.83,0.45
s1178_rib_msk,0.24,2.78,9.43,0.27
s1233_rib_msk,0.37,1.42,5.83,0.39
s0444_rib_msk,0.34,1.49,4.24,0.42
s0720_rib_msk,0.51,1.07,4.69,0.44
s0437_rib_msk,0.53,1.04,4.12,0.48
s0332_rib_msk,0.52,1.06,5.92,0.47
s0913_rib_msk,0.54,1.05,3.00,0.53
