subject-id,DSC,ASD,HD95,NSD
s1110_rib_msk,0.43,1.34,5.20,0.36
s0334_rib_msk,0.60,0.81,3.00,0.52
s1372_rib_msk,0.40,1.20,4.24,0.38
s0447_rib_msk,0.49,0.91,2.83,0.53
s0582_rib_msk,0.43,1.13,10.49,0.41
s0392_rib_msk,0.46,1.10,3.16,0.43
s1018_rib_msk,0.43,1.28,3.46,0.46
s0798_rib_msk,0.47,1.18,4.12,0.52
s1058_rib_msk,0.33,1.47,8.31,0.34
s0111_rib_msk,0.47,1.36,5.00,0.43
s0065_rib_msk,0.53,0.96,3.00,0.51
s0641_rib_msk,0.44,1.08,3.16,0.47
s0499_rib_msk,0.63,0.78,2.24,0.63
s0425_rib_msk,0.54,0.99,2.83,0.49
s0737_rib_msk,0.39,1.32,3.32,0.48
s0918_rib_msk,0.54,0.97,3.46,0.47
s0743_rib_msk,0.50,1.16,3.16,0.51
s0919_rib_msk,0.44,1.24,4.58,0.46
s0095_rib_msk,0.38,2.15,7.62,0.37
s1380_rib_msk,0.54,0.96,3.16,0.56
s1330_rib_msk,0.57,0.99,2.83,0.48
s0386_rib_msk,0.19,10.39,30.70,0.36
s0945_rib_msk,0.45,1.10,3.74,0.48
s1089_rib_msk,0.57,0.91,3.61,0.51
s0982_rib_msk,0.23,2.56,13.75,0.20
s1029_rib_msk,0.55,0.96,3.00,0.51
s1042_rib_msk,0.38,1.44,9.00,0.34
s1305_rib_msk,0.31,1.53,5.83,0.37
s0344_rib_msk,0.49,1.12,3.61,0.47
s0556_rib_msk,0.57,0.94,2.45,0.54
s0975_rib_msk,0.51,1.09,3.74,0.44
s0046_rib_msk,0.46,1.10,6.08,0.41
s1337_rib_msk,0.52,1.07,3.00,0.50
s1161_rib_msk,0.51,1.27,4.36,0.45
s0550_rib_msk,0.51,1.08,3.00,0.45
s0502_rib_msk,0.56,0.98,2.83,0.53
s0845_rib_msk,0.53,0.93,3.32,0.55
s0115_rib_msk,0.48,1.30,3.74,0.43
s0939_rib_msk,0.56,0.90,3.00,0.50
s0531_rib_msk,0.41,1.24,3.61,0.47
s1120_rib_msk,0.54,0.89,3.61,0.54
s0869_rib_msk,0.54,1.06,3.00,0.50
s0394_rib_msk,0.49,0.93,10.49,0.41
s0461_rib_msk,0.47,1.10,3.00,0.47
s0669_rib_msk,0.48,1.13,3.61,0.48
s0775_rib_msk,0.55,1.04,3.00,0.51
s0698_rib_msk,0.34,1.65,5.10,0.34
s0191_rib_msk,0.30,2.61,10.68,0.27
s0880_rib_msk,0.53,1.34,3.61,0.53
s1228_rib_msk,0.41,1.34,3.32,0.45
s0598_rib_msk,0.50,1.09,3.32,0.45
s1090_rib_msk,0.55,0.92,2.83,0.52
s1387_rib_msk,0.47,1.02,9.27,0.35
s0752_rib_msk,0.37,1.60,6.16,0.33
s0833_rib_msk,0.46,1.16,4.24,0.45
s0613_rib_msk,0.57,0.88,3.00,0.53
s1174_rib_msk,0.57,0.93,2.45,0.53
s0123_rib_msk,0.63,0.77,2.24,0.59
s0999_rib_msk,0.37,1.39,4.24,0.43
s0625_rib_msk,0.43,1.38,4.12,0.45
s1070_rib_msk,0.45,1.12,3.16,0.49
s0952_rib_msk,0.17,6.39,22.20,0.20
s0896_rib_msk,0.46,1.07,2.83,0.54
s0446_rib_msk,0.52,0.97,2.45,0.52
s1012_rib_msk,0.54,0.90,9.48,0.48
s1111_rib_msk,0.58,0.95,2.83,0.55
s1178_rib_msk,0.33,2.10,9.00,0.34
s1233_rib_msk,0.50,1.22,3.74,0.50
s0444_rib_msk,0.47,1.14,3.00,0.53
s0720_rib_msk,0.61,0.82,2.45,0.55
s0437_rib_msk,0.60,0.84,2.45,0.56
s0332_rib_msk,0.55,0.98,3.00,0.50
s0913_rib_msk,0.60,0.87,2.24,0.59
