subject-id,DSC,ASD,HD95,NSD
s1110,0.22,2.53,19.21,0.20
s0334,0.41,1.59,14.47,0.33
s1372,0.36,1.52,14.14,0.32
s0447,0.30,1.59,15.62,0.33
s0582,0.29,1.67,17.69,0.30
s0392,0.36,1.50,17.69,0.28
s1018,0.29,1.68,16.76,0.32
s0798,0.23,1.94,21.66,0.27
s1058,0.21,2.20,15.07,0.25
s0111,0.23,2.26,21.94,0.22
s0065,0.36,1.60,19.62,0.32
s0641,0.31,1.85,16.06,0.30
s0499,0.39,1.49,13.89,0.39
s0425,0.38,1.64,13.38,0.32
s0737,0.25,1.81,20.02,0.28
s0918,0.33,1.82,13.15,0.29
s0743,0.23,2.31,14.00,0.25
s0919,0.24,1.89,22.52,0.25
s0095,0.27,2.19,19.65,0.24
s1380,0.31,1.61,15.37,0.31
s1330,0.34,1.76,17.15,0.27
s0386,0.00,18.07,41.92,0.02
s0945,0.28,1.77,18.03,0.29
s1089,0.36,1.62,17.03,0.29
s0982,0.21,4.04,22.84,0.16
s1029,0.36,1.60,15.56,0.33
s1042,0.26,2.16,18.06,0.26
s1305,0.16,2.38,16.16,0.24
s0344,0.31,1.97,12.45,0.29
s0556,0.36,1.65,14.81,0.31
s0975,0.16,2.67,19.26,0.22
s0046,0.29,1.84,15.75,0.29
s1337,0.29,1.92,17.46,0.29
s1161,0.28,2.12,17.69,0.25
s0550,0.35,1.77,13.38,0.30
s0502,0.38,1.58,12.69,0.34
s0845,0.27,1.72,15.00,0.27
s0115,0.30,1.98,15.26,0.26
s0939,0.34,1.75,17.20,0.30
s0531,0.27,1.83,15.84,0.31
s1120,0.30,1.69,15.13,0.33
s0869,0.31,1.81,15.07,0.30
s0394,0.30,1.73,17.97,0.26
s0461,0.27,1.87,14.49,0.28
s0669,0.29,1.90,16.79,0.29
s0775,0.30,1.79,10.00,0.30
s0698,0.29,1.92,17.03,0.27
s0191,0.01,18.22,35.34,0.02
s0880,0.26,1.96,15.81,0.26
s1228,0.22,2.02,20.35,0.28
s0598,0.32,2.01,22.45,0.25
s1090,0.31,1.74,15.40,0.30
s1387,0.34,1.78,12.69,0.28
s0752,0.22,2.27,16.40,0.23
s0833,0.30,1.69,14.87,0.32
s0613,0.33,1.76,14.14,0.31
s1174,0.28,2.01,14.04,0.26
s0123,0.38,1.62,17.16,0.33
s0999,0.23,2.19,12.25,0.29
s0625,0.20,2.26,15.26,0.27
s1070,0.29,1.72,10.86,0.35
s0952,0.00,21.65,33.78,0.00
s0896,0.23,1.95,15.39,0.29
s0446,0.35,1.65,14.71,0.32
s1012,0.22,2.29,16.91,0.26
s1111,0.32,1.68,16.16,0.30
s1178,0.17,2.31,19.05,0.15
s1233,0.31,1.76,13.27,0.32
s0444,0.28,1.77,9.06,0.39
s0720,0.33,1.77,16.20,0.29
s0437,0.33,1.78,11.09,0.33
s0332,0.31,1.79,15.65,0.29
s0913,0.35,1.78,12.33,0.33
