subject-id,DSC,ASD,HD95,NSD
rsna-49_vert-1-seg-vert_msk,0.66,1.16,5.00,0.69
rsna-49_vert-2-seg-vert_msk,0.66,1.24,3.61,0.61
rsna-49_vert-3-seg-vert_msk,0.66,1.19,3.61,0.76
rsna-49_vert-4-seg-vert_msk,0.72,0.87,2.83,0.78
rsna-49_vert-5-seg-vert_msk,0.72,0.91,2.24,0.83
rsna-49_vert-6-seg-vert_msk,0.71,0.92,2.45,0.80
rsna-49_vert-7-seg-vert_msk,0.84,0.56,2.00,0.90
rsna-49_vert-8-seg-vert_msk,0.85,0.68,1.73,0.91
rsna-65_vert-1-seg-vert_msk,0.71,1.16,3.61,0.72
rsna-65_vert-3-seg-vert_msk,0.79,0.84,2.24,0.90
rsna-65_vert-4-seg-vert_msk,0.81,0.61,1.41,0.92
rsna-65_vert-5-seg-vert_msk,0.81,0.58,2.00,0.89
rsna-65_vert-6-seg-vert_msk,0.83,0.50,2.00,0.91
rsna-65_vert-7-seg-vert_msk,0.85,0.54,1.73,0.93
rsna-65_vert-8-seg-vert_msk,0.88,0.53,1.41,0.95
rsna-70_vert-1-seg-vert_msk,0.53,1.89,5.66,0.49
rsna-70_vert-2-seg-vert_msk,0.71,1.09,5.83,0.62
rsna-70_vert-3-seg-vert_msk,0.69,1.00,3.61,0.67
rsna-70_vert-4-seg-vert_msk,0.69,0.87,3.61,0.70
rsna-70_vert-5-seg-vert_msk,0.69,0.84,3.16,0.68
rsna-70_vert-6-seg-vert_msk,0.70,0.88,3.32,0.73
rsna-70_vert-7-seg-vert_msk,0.82,0.56,2.83,0.83
rsna-70_vert-8-seg-vert_msk,0.82,0.63,2.83,0.82
rsna-33_vert-1-seg-vert_msk,0.51,1.96,7.24,0.46
rsna-33_vert-2-seg-vert_msk,0.79,0.86,3.46,0.81
rsna-33_vert-3-seg-vert_msk,0.80,0.74,1.73,0.92
rsna-33_vert-4-seg-vert_msk,0.81,0.63,1.41,0.94
rsna-33_vert-7-seg-vert_msk,0.85,0.52,1.41,0.94
rsna-33_vert-8-seg-vert_msk,0.86,0.55,1.73,0.92
rsna-83_vert-1-seg-vert_msk,0.64,1.17,3.46,0.72
rsna-83_vert-2-seg-vert_msk,0.77,0.89,2.24,0.86
rsna-83_vert-3-seg-vert_msk,0.76,0.80,2.24,0.88
rsna-83_vert-4-seg-vert_msk,0.80,0.62,2.00,0.91
rsna-83_vert-5-seg-vert_msk,0.77,0.85,2.24,0.91
rsna-83_vert-6-seg-vert_msk,0.76,0.77,2.00,0.87
rsna-83_vert-7-seg-vert_msk,0.75,0.86,2.24,0.83
rsna-83_vert-8-seg-vert_msk,0.76,0.89,2.24,0.83
rsna-83_vert-9-seg-vert_msk,0.77,0.95,3.00,0.86
rsna-35_vert-1-seg-vert_msk,0.67,1.13,4.24,0.72
rsna-35_vert-2-seg-vert_msk,0.78,0.83,2.24,0.84
rsna-35_vert-3-seg-vert_msk,0.58,1.26,3.00,0.66
rsna-35_vert-4-seg-vert_msk,0.46,1.89,4.58,0.57
rsna-35_vert-5-seg-vert_msk,0.52,1.50,4.12,0.58
rsna-35_vert-6-seg-vert_msk,0.68,0.96,2.45,0.73
rsna-35_vert-7-seg-vert_msk,0.66,1.15,2.83,0.68
rsna-35_vert-8-seg-vert_msk,0.87,0.57,1.41,0.95
rsna-04_vert-1-seg-vert_msk,0.61,1.41,3.74,0.76
rsna-04_vert-2-seg-vert_msk,0.63,1.36,3.32,0.71
rsna-04_vert-3-seg-vert_msk,0.65,1.09,2.24,0.79
rsna-04_vert-4-seg-vert_msk,0.77,0.62,1.73,0.91
rsna-04_vert-5-seg-vert_msk,0.78,0.68,1.73,0.92
rsna-04_vert-6-seg-vert_msk,0.74,0.82,2.24,0.84
rsna-04_vert-7-seg-vert_msk,0.76,0.82,2.45,0.81
rsna-04_vert-8-seg-vert_msk,0.81,0.78,2.00,0.92
rsna-26_vert-1-seg-vert_msk,0.45,2.95,7.81,0.55
rsna-26_vert-12-seg-vert_msk,0.00,15.50,26.16,0.00
rsna-26_vert-2-seg-vert_msk,0.79,0.84,2.24,0.85
rsna-26_vert-3-seg-vert_msk,0.83,0.57,1.41,0.96
rsna-26_vert-4-seg-vert_msk,0.80,0.65,1.41,0.96
rsna-26_vert-5-seg-vert_msk,0.79,0.66,1.41,0.96
rsna-26_vert-6-seg-vert_msk,0.72,0.90,2.24,0.91
rsna-26_vert-7-seg-vert_msk,0.78,0.74,2.00,0.88
rsna-26_vert-8-seg-vert_msk,0.84,0.60,1.41,0.93
rsna-26_vert-9-seg-vert_msk,0.86,0.61,1.41,0.97
rsna-80_vert-10-seg-vert_msk,0.75,0.91,2.45,0.76
rsna-80_vert-4-seg-vert_msk,0.61,1.40,4.24,0.70
rsna-80_vert-5-seg-vert_msk,0.67,1.11,3.16,0.74
rsna-80_vert-7-seg-vert_msk,0.68,1.58,5.66,0.75
rsna-80_vert-8-seg-vert_msk,0.77,0.92,2.24,0.82
rsna-80_vert-9-seg-vert_msk,0.82,0.73,2.00,0.89
rsna-02_vert-1-seg-vert_msk,0.18,4.21,9.49,0.33
rsna-02_vert-10-seg-vert_msk,0.41,2.78,9.74,0.42
rsna-02_vert-12-seg-vert_msk,nan,inf,nan,nan
rsna-02_vert-13-seg-vert_msk,0.00,15.81,25.04,0.00
rsna-02_vert-2-seg-vert_msk,0.82,0.69,2.00,0.90
rsna-02_vert-3-seg-vert_msk,0.80,0.71,2.00,0.91
rsna-02_vert-4-seg-vert_msk,0.83,0.58,1.73,0.95
rsna-02_vert-5-seg-vert_msk,0.83,0.57,1.41,0.98
rsna-02_vert-6-seg-vert_msk,0.78,0.69,1.73,0.93
rsna-02_vert-7-seg-vert_msk,0.80,0.69,2.00,0.89
rsna-02_vert-8-seg-vert_msk,nan,inf,nan,nan
rsna-02_vert-9-seg-vert_msk,0.87,0.61,1.73,0.93
rsna-06_vert-1-seg-vert_msk,0.63,1.29,4.00,0.63
rsna-06_vert-2-seg-vert_msk,0.80,0.87,2.24,0.87
rsna-06_vert-3-seg-vert_msk,0.75,1.05,2.24,0.83
rsna-06_vert-4-seg-vert_msk,0.81,0.62,1.73,0.93
rsna-06_vert-5-seg-vert_msk,0.80,0.63,1.73,0.92
rsna-06_vert-6-seg-vert_msk,0.77,0.87,2.45,0.91
rsna-06_vert-7-seg-vert_msk,0.81,0.70,2.00,0.91
rsna-06_vert-8-seg-vert_msk,0.88,0.56,1.41,0.95
rsna-06_vert-9-seg-vert_msk,0.86,0.63,1.41,0.94
rsna-13_vert-1-seg-vert_msk,0.79,0.64,2.24,0.85
rsna-13_vert-2-seg-vert_msk,0.85,0.56,1.73,0.91
rsna-13_vert-3-seg-vert_msk,0.82,0.60,2.00,0.88
rsna-13_vert-4-seg-vert_msk,0.76,0.67,2.24,0.82
rsna-13_vert-5-seg-vert_msk,0.74,0.69,2.83,0.75
rsna-13_vert-6-seg-vert_msk,0.75,0.74,2.45,0.77
rsna-13_vert-7-seg-vert_msk,0.78,0.68,3.32,0.74
rsna-58_vert-1-seg-vert_msk,0.76,0.83,2.45,0.82
rsna-58_vert-2-seg-vert_msk,0.85,0.61,2.00,0.89
rsna-58_vert-3-seg-vert_msk,0.81,0.67,1.73,0.93
rsna-58_vert-4-seg-vert_msk,0.81,0.59,2.00,0.89
rsna-58_vert-5-seg-vert_msk,0.79,0.66,2.00,0.90
rsna-58_vert-6-seg-vert_msk,0.79,0.64,2.24,0.87
rsna-58_vert-7-seg-vert_msk,0.82,0.67,3.00,0.83
rsna-58_vert-8-seg-vert_msk,0.83,0.69,2.24,0.85
rsna-46_vert-1-seg-vert_msk,0.62,1.54,5.83,0.60
rsna-46_vert-3-seg-vert_msk,0.75,0.85,2.83,0.80
rsna-46_vert-5-seg-vert_msk,0.68,1.01,3.16,0.74
rsna-46_vert-6-seg-vert_msk,0.72,0.95,2.83,0.80
rsna-46_vert-8-seg-vert_msk,0.86,0.59,1.41,0.93
rsna-46_vert-9-seg-vert_msk,0.86,0.57,1.73,0.92
