id,spl,spa,avbh,pvbh,svbl,ivbl,vcl
sub-verse023_vert-19,1.230,122.680,0.870,0.680,0.220,0.950,0.440
sub-verse023_vert-22,2.540,18.410,1.490,1.620,3.090,2.420,1.770
sub-verse023_vert-21,0.440,6.270,2.680,1.630,2.150,0.690,0.770
sub-verse006_vert-24,0.670,5.700,2.230,3.020,3.060,2.280,2.150
sub-verse023_vert-18,1.070,10.610,1.530,0.110,1.490,0.300,0.000
sub-verse023_vert-23,0.690,0.380,1.960,1.680,1.090,0.580,0.730
sub-verse006_vert-23,1.440,10.980,0.070,1.370,0.280,2.550,2.630
sub-verse023_vert-20,1.230,3.110,0.220,1.020,0.540,0.560,0.120
sub-verse034_vert-20,1.890,15.680,3.410,2.820,0.910,0.250,0.020
sub-verse034_vert-18,2.140,3.070,2.130,1.870,0.700,1.300,1.180
sub-verse034_vert-19,0.590,24.780,0.010,1.160,0.060,0.260,0.580
sub-verse050_vert-11,0.740,7.210,2.410,1.420,2.940,0.190,1.530
sub-verse034_vert-21,3.550,11.600,0.210,1.160,1.210,1.920,0.840
sub-verse050_vert-10,0.100,5.340,0.770,0.880,2.510,0.100,1.170
sub-verse034_vert-22,0.720,13.890,0.900,2.190,2.820,2.890,0.600
sub-verse034_vert-23,5.300,44.570,0.330,0.260,2.110,1.420,0.560
sub-verse050_vert-12,4.130,0.850,1.040,0.820,0.300,1.290,1.810
sub-verse034_vert-24,3.500,4.890,1.710,1.180,1.130,1.700,3.240
sub-verse050_vert-13,1.430,0.520,1.190,0.250,0.020,2.060,2.370
sub-verse050_vert-16,2.350,64.300,0.130,1.240,0.870,0.800,1.350
sub-verse050_vert-14,6.140,2.960,1.970,0.200,13.630,5.610,8.350
sub-verse050_vert-15,1.870,3.710,2.380,0.960,0.220,0.860,2.110
sub-verse050_vert-19,1.940,9.740,0.510,1.490,0.550,0.930,0.740
sub-verse050_vert-18,2.540,5.630,0.200,0.660,1.320,2.070,1.100
sub-verse050_vert-17,3.620,4.910,0.560,1.300,1.170,0.690,0.290
sub-verse050_vert-20,1.540,2.090,0.550,1.310,1.130,0.610,1.610
sub-verse050_vert-21,0.650,2.590,0.990,0.700,0.260,1.420,1.010
sub-verse050_vert-22,0.810,7.970,2.670,1.770,0.080,1.270,0.580
sub-verse050_vert-23,0.550,3.350,0.850,0.340,1.790,0.830,1.220
sub-verse050_vert-8,0.490,13.110,1.570,0.160,0.320,0.120,0.280
sub-verse053_vert-20,0.140,2.870,0.970,0.740,0.020,1.350,0.170
sub-verse050_vert-9,0.760,0.600,1.430,2.040,1.210,0.330,0.970
sub-verse053_vert-22,0.650,20.230,2.430,1.640,0.190,1.030,0.440
sub-verse053_vert-21,4.170,16.410,0.740,1.050,0.230,1.420,0.890
sub-verse058_vert-19,0.290,2.570,0.010,0.440,4.180,1.640,0.920
sub-verse058_vert-20,0.190,1.340,0.050,0.010,1.110,0.090,0.590
sub-verse058_vert-21,0.980,11.780,0.690,0.230,1.650,1.670,1.190
sub-verse058_vert-22,1.070,18.410,1.610,1.690,0.600,0.440,1.030
sub-verse058_vert-23,1.250,114.470,0.680,0.990,0.610,1.290,0.400
sub-verse058_vert-24,3.950,12.600,2.420,2.220,0.650,0.610,1.560
sub-verse068_vert-17,0.920,4.860,2.390,1.420,2.280,4.330,0.820
sub-verse068_vert-16,4.160,7.330,2.350,2.150,0.990,0.120,0.030
sub-verse068_vert-18,4.040,6.080,0.550,1.290,0.290,2.740,0.130
sub-verse068_vert-19,0.310,1.130,0.360,0.230,1.530,0.260,0.310
sub-verse068_vert-20,1.020,3.490,0.700,2.060,11.160,1.330,0.590
sub-verse068_vert-21,0.860,6.980,1.390,0.400,0.760,0.490,0.450
sub-verse068_vert-22,3.850,137.790,0.160,0.240,1.040,0.170,0.340
sub-verse068_vert-23,5.440,26.630,1.470,0.100,1.810,0.230,0.900
sub-verse073_vert-20,0.170,5.710,0.170,0.170,0.230,3.480,0.380
sub-verse068_vert-24,4.160,22.450,0.330,1.160,0.440,0.500,2.750
sub-verse073_vert-21,0.160,0.440,1.550,0.250,2.770,0.390,1.020
sub-verse073_vert-22,0.870,0.250,0.410,0.170,0.190,3.470,0.270
sub-verse073_vert-23,0.690,6.580,0.210,0.230,0.260,0.590,0.730
sub-verse073_vert-24,0.690,0.460,0.090,1.410,0.440,1.340,1.350
sub-verse095_vert-10,0.440,4.060,3.060,0.290,0.340,1.580,0.750
sub-verse095_vert-12,2.550,4.030,0.000,0.290,1.030,1.810,0.490
sub-verse095_vert-11,4.410,14.030,1.130,2.000,1.290,1.600,1.090
sub-verse095_vert-13,2.780,2.570,0.660,0.090,2.090,0.520,1.030
sub-verse095_vert-14,1.310,5.300,1.110,0.440,2.600,0.950,0.130
sub-verse095_vert-17,0.710,3.220,1.130,0.140,0.000,2.990,0.900
sub-verse095_vert-15,1.340,76.530,3.040,0.910,2.160,1.910,0.850
sub-verse095_vert-16,0.650,6.580,1.540,0.970,0.740,0.350,0.120
sub-verse095_vert-20,0.470,78.890,1.160,0.840,0.590,0.190,0.520
sub-verse095_vert-19,0.380,3.660,0.750,0.320,1.210,3.290,0.680
sub-verse095_vert-18,0.630,92.520,0.320,0.950,0.590,3.730,0.390
sub-verse095_vert-22,2.010,1.370,0.090,1.360,0.090,1.260,1.570
sub-verse095_vert-21,0.330,1.280,0.010,0.780,0.020,1.730,0.610
sub-verse095_vert-23,0.800,12.780,0.490,3.170,1.410,3.160,0.370
sub-verse125_vert-10,1.720,8.030,0.480,1.460,0.310,0.410,1.110
sub-verse095_vert-24,0.630,4.920,0.210,1.200,3.200,3.030,0.930
sub-verse095_vert-8,0.030,8.780,1.820,1.500,0.130,6.060,1.350
sub-verse095_vert-9,1.080,3.070,0.040,1.300,0.390,0.430,0.640
sub-verse125_vert-12,0.720,10.370,0.860,0.970,0.980,0.830,0.360
sub-verse125_vert-11,0.360,7.080,0.620,1.800,0.750,1.360,0.170
sub-verse125_vert-13,3.570,3.020,0.870,0.730,3.250,0.580,0.900
sub-verse125_vert-14,2.140,3.580,0.620,0.130,0.240,0.660,0.280
sub-verse125_vert-15,1.780,3.730,2.710,0.940,0.130,1.260,0.600
sub-verse125_vert-16,0.000,1.270,2.130,1.710,0.110,0.870,0.220
sub-verse125_vert-18,0.540,3.860,0.660,0.460,1.640,0.800,0.750
sub-verse125_vert-19,0.830,2.290,1.940,0.050,0.000,1.300,0.090
sub-verse125_vert-17,0.130,4.670,0.160,0.900,0.660,1.130,0.050
sub-verse127_vert-10,0.240,4.930,0.230,0.860,1.510,0.590,0.350
sub-verse125_vert-9,1.030,4.530,0.620,0.200,0.180,3.710,0.660
sub-verse125_vert-20,0.800,2.050,1.740,0.070,1.270,0.240,0.170
sub-verse127_vert-11,3.180,2.330,0.870,0.900,0.040,1.610,0.440
sub-verse127_vert-14,0.060,3.050,1.940,0.190,4.780,2.590,1.970
sub-verse127_vert-12,0.470,1.820,1.430,1.910,3.400,0.740,0.030
sub-verse127_vert-13,1.830,0.750,3.640,1.320,0.610,3.340,0.470
sub-verse127_vert-15,3.200,1.560,1.220,1.310,1.690,1.640,0.290
sub-verse127_vert-16,2.060,54.890,0.740,0.400,0.070,0.200,0.380
sub-verse127_vert-17,2.310,1.120,3.950,0.310,0.160,3.290,1.430
sub-verse127_vert-19,0.150,10.350,1.100,1.770,0.150,0.070,0.730
sub-verse127_vert-18,5.320,8.690,1.160,0.260,0.420,3.840,2.460
sub-verse127_vert-20,1.590,2.680,1.460,1.410,1.050,1.260,0.040
sub-verse127_vert-8,3.870,25.250,1.910,1.140,2.080,0.760,0.520
sub-verse127_vert-24,0.200,3.920,0.190,2.360,1.500,2.640,0.050
sub-verse127_vert-21,1.360,4.410,3.160,1.570,1.230,2.030,0.560
sub-verse127_vert-23,0.460,10.000,0.600,0.170,1.760,1.080,1.220
sub-verse127_vert-22,1.450,6.260,1.600,0.560,2.260,0.520,0.830
sub-verse127_vert-9,0.950,3.880,0.360,2.550,0.220,1.030,0.200
sub-verse134_vert-20,0.500,4.700,3.620,0.500,3.370,0.270,1.230
sub-verse134_vert-22,1.860,12.070,0.420,0.560,0.640,3.090,0.990
sub-verse134_vert-21,1.070,8.570,2.000,2.580,2.570,2.310,0.350
sub-verse134_vert-23,0.990,11.930,0.590,3.820,0.890,0.650,0.680
sub-verse134_vert-24,1.130,119.400,2.550,1.930,0.570,4.040,1.580
sub-verse138_vert-16,0.610,71.440,1.730,0.310,1.880,1.820,1.050
sub-verse138_vert-17,0.720,1.660,3.090,0.130,0.620,1.000,0.110
sub-verse138_vert-18,1.190,5.010,1.060,0.060,1.280,2.090,1.120
sub-verse138_vert-19,1.060,1.500,1.300,1.040,0.240,0.780,0.110
sub-verse138_vert-20,1.480,0.620,0.230,0.650,0.520,0.440,2.660
sub-verse138_vert-21,1.270,3.610,1.090,1.940,5.390,2.730,2.410
sub-verse138_vert-22,0.590,4.560,1.130,0.420,0.160,1.340,0.180
sub-verse152_vert-19,0.210,1.220,0.500,0.410,0.300,1.160,0.140
sub-verse152_vert-20,0.000,152.420,0.770,0.200,1.430,1.080,1.080
sub-verse138_vert-23,1.380,6.380,3.980,1.630,1.110,2.280,1.500
sub-verse152_vert-21,0.390,6.370,0.060,0.780,1.780,1.200,1.020
sub-verse152_vert-22,0.200,12.120,1.490,1.810,2.900,1.270,0.350
sub-verse152_vert-24,2.430,1.900,0.650,0.840,3.790,2.330,1.670
sub-verse152_vert-23,1.290,2.700,0.370,1.250,0.230,0.520,1.230
sub-verse221_vert-4,3.160,1.860,1.950,3.220,2.170,0.160,1.300
sub-verse221_vert-5,1.440,22.010,1.740,3.200,5.270,0.190,0.270
sub-verse221_vert-2,2.790,3.760,6.490,6.160,12.710,19.520,0.010
sub-verse221_vert-3,8.530,31.500,3.840,3.330,0.700,0.580,0.510
sub-verse221_vert-6,2.740,4.970,0.590,1.200,2.640,1.170,0.460
sub-verse221_vert-7,1.830,1.940,0.890,1.850,0.480,0.120,0.150
sub-verse221_vert-8,1.920,0.480,1.020,0.150,0.830,0.830,0.380
sub-verse402_split-verse251_vert-11,4.860,9.550,0.920,1.670,1.190,0.290,0.300
sub-verse402_split-verse251_vert-10,4.430,5.570,1.400,1.640,0.320,0.410,0.520
sub-verse221_vert-9,2.600,10.470,1.210,0.790,1.470,2.260,0.670
sub-verse402_split-verse251_vert-12,4.120,32.640,0.950,0.030,1.070,0.670,0.000
sub-verse402_split-verse251_vert-14,11.240,11.120,0.070,1.830,0.800,0.000,0.990
sub-verse402_split-verse251_vert-15,0.470,7.900,2.790,1.270,1.080,1.180,0.160
sub-verse402_split-verse251_vert-13,9.720,12.390,1.260,0.890,0.660,1.420,0.510
sub-verse402_split-verse251_vert-17,0.220,0.100,0.990,0.380,0.150,0.510,0.130
sub-verse402_split-verse251_vert-16,0.910,78.070,0.100,0.060,1.300,0.040,0.160
sub-verse402_split-verse251_vert-18,2.060,8.920,0.800,0.170,2.590,1.260,0.310
sub-verse402_split-verse251_vert-19,5.680,18.080,3.090,0.780,3.620,1.350,0.190
sub-verse402_split-verse251_vert-21,0.080,68.960,0.170,0.060,0.740,1.010,1.000
sub-verse402_split-verse251_vert-22,2.960,6.940,0.910,0.560,0.910,0.760,0.280
sub-verse402_split-verse251_vert-20,2.870,16.910,0.080,0.340,0.070,1.630,0.010
sub-verse402_split-verse251_vert-6,2.140,14.840,1.950,0.620,3.340,0.350,0.430
sub-verse402_split-verse251_vert-7,3.850,14.610,2.620,1.050,0.440,1.230,0.910
