subject-id,DSC,ASD,HD95,NSD
sub-verse138_vert-16-seg-vert_msk,0.86,0.59,2.00,0.87
sub-verse138_vert-17-seg-vert_msk,0.87,0.59,2.24,0.87
sub-verse138_vert-18-seg-vert_msk,0.88,0.58,2.00,0.90
sub-verse138_vert-19-seg-vert_msk,0.89,0.57,2.00,0.89
sub-verse138_vert-20-seg-vert_msk,0.88,0.58,2.00,0.89
sub-verse138_vert-21-seg-vert_msk,0.88,0.59,2.24,0.88
sub-verse138_vert-22-seg-vert_msk,0.87,0.65,2.24,0.87
sub-verse138_vert-23-seg-vert_msk,0.87,0.79,2.00,0.87
sub-verse138_vert-24-seg-vert_msk,0.81,1.04,4.12,0.70
sub-verse058_vert-19-seg-vert_msk,0.87,0.66,1.73,0.91
sub-verse058_vert-20-seg-vert_msk,0.88,0.56,2.00,0.91
sub-verse058_vert-21-seg-vert_msk,0.89,0.51,1.41,0.93
sub-verse058_vert-22-seg-vert_msk,0.87,0.58,2.24,0.87
sub-verse058_vert-23-seg-vert_msk,0.88,0.63,1.73,0.91
sub-verse058_vert-24-seg-vert_msk,0.85,0.77,2.24,0.83
sub-verse152_vert-19-seg-vert_msk,0.91,0.47,1.00,0.98
sub-verse152_vert-20-seg-vert_msk,0.88,0.55,1.41,0.93
sub-verse152_vert-21-seg-vert_msk,0.91,0.46,1.41,0.96
sub-verse152_vert-22-seg-vert_msk,0.88,0.66,1.73,0.91
sub-verse152_vert-23-seg-vert_msk,0.86,0.81,2.00,0.89
sub-verse152_vert-24-seg-vert_msk,0.84,0.80,2.45,0.81
sub-verse068_vert-16-seg-vert_msk,0.84,0.80,2.24,0.86
sub-verse068_vert-17-seg-vert_msk,0.87,0.59,2.24,0.89
sub-verse068_vert-18-seg-vert_msk,0.84,0.76,2.45,0.85
sub-verse068_vert-19-seg-vert_msk,0.86,0.73,2.24,0.86
sub-verse068_vert-20-seg-vert_msk,0.78,0.97,2.24,0.77
sub-verse068_vert-21-seg-vert_msk,0.84,0.77,2.00,0.86
sub-verse068_vert-22-seg-vert_msk,0.85,0.68,2.45,0.81
sub-verse068_vert-23-seg-vert_msk,0.84,0.74,2.45,0.79
sub-verse068_vert-24-seg-vert_msk,0.82,0.94,3.46,0.75
sub-verse409_split-verse266_vert-10-seg-vert_msk,0.78,0.90,3.61,0.79
sub-verse409_split-verse266_vert-11-seg-vert_msk,0.71,1.33,3.32,0.69
sub-verse409_split-verse266_vert-12-seg-vert_msk,0.70,1.69,5.74,0.70
sub-verse409_split-verse266_vert-13-seg-vert_msk,0.70,1.65,5.20,0.67
sub-verse409_split-verse266_vert-14-seg-vert_msk,0.70,1.83,5.39,0.66
sub-verse409_split-verse266_vert-15-seg-vert_msk,0.67,2.39,8.30,0.64
sub-verse409_split-verse266_vert-16-seg-vert_msk,0.66,2.45,8.25,0.63
sub-verse409_split-verse266_vert-17-seg-vert_msk,0.66,2.03,6.32,0.55
sub-verse409_split-verse266_vert-18-seg-vert_msk,0.70,1.88,6.00,0.61
sub-verse409_split-verse266_vert-19-seg-vert_msk,0.72,1.91,6.40,0.64
sub-verse409_split-verse266_vert-20-seg-vert_msk,0.70,1.35,7.07,0.53
sub-verse409_split-verse266_vert-21-seg-vert_msk,0.64,1.39,5.92,0.46
sub-verse409_split-verse266_vert-22-seg-vert_msk,0.67,1.18,6.16,0.52
sub-verse409_split-verse266_vert-23-seg-vert_msk,0.66,1.64,5.66,0.46
sub-verse409_split-verse266_vert-24-seg-vert_msk,0.76,1.15,4.12,0.60
sub-verse409_split-verse266_vert-8-seg-vert_msk,0.82,0.60,2.00,0.88
sub-verse409_split-verse266_vert-9-seg-vert_msk,0.84,0.80,2.75,0.89
sub-verse073_vert-20-seg-vert_msk,0.88,0.66,1.73,0.91
sub-verse073_vert-21-seg-vert_msk,0.86,0.65,2.45,0.85
sub-verse073_vert-22-seg-vert_msk,0.81,0.92,3.68,0.78
sub-verse073_vert-23-seg-vert_msk,0.86,0.70,2.00,0.86
sub-verse073_vert-24-seg-vert_msk,0.86,0.74,2.24,0.87
sub-verse095_vert-10-seg-vert_msk,0.85,0.54,1.73,0.91
sub-verse095_vert-11-seg-vert_msk,0.80,0.68,2.24,0.87
sub-verse095_vert-12-seg-vert_msk,0.83,0.61,1.73,0.91
sub-verse095_vert-13-seg-vert_msk,0.84,0.61,1.41,0.93
sub-verse095_vert-14-seg-vert_msk,0.86,0.58,1.41,0.94
sub-verse095_vert-15-seg-vert_msk,0.86,0.65,1.41,0.94
sub-verse095_vert-16-seg-vert_msk,0.87,0.58,1.41,0.94
sub-verse095_vert-17-seg-vert_msk,0.89,0.51,1.41,0.95
sub-verse095_vert-18-seg-vert_msk,0.88,0.65,1.41,0.95
sub-verse095_vert-19-seg-vert_msk,0.88,0.64,1.41,0.93
sub-verse095_vert-20-seg-vert_msk,0.91,0.47,1.41,0.96
sub-verse095_vert-21-seg-vert_msk,0.90,0.53,1.41,0.94
sub-verse095_vert-22-seg-vert_msk,0.89,0.55,1.41,0.93
sub-verse095_vert-23-seg-vert_msk,0.86,0.70,2.00,0.89
sub-verse095_vert-24-seg-vert_msk,0.85,0.78,2.24,0.85
sub-verse095_vert-8-seg-vert_msk,0.81,0.61,2.45,0.84
sub-verse095_vert-9-seg-vert_msk,0.84,0.61,1.73,0.92
