subject-id,DSC,ASD,HD95,NSD
sub-verse138_vert-16-seg-vert_msk,0.88,0.50,1.73,0.91
sub-verse138_vert-17-seg-vert_msk,0.87,0.62,2.00,0.89
sub-verse138_vert-18-seg-vert_msk,0.89,0.58,1.73,0.92
sub-verse138_vert-19-seg-vert_msk,0.90,0.53,1.73,0.92
sub-verse138_vert-20-seg-vert_msk,0.88,0.65,2.24,0.90
sub-verse138_vert-21-seg-vert_msk,0.89,0.57,2.00,0.90
sub-verse138_vert-22-seg-vert_msk,0.91,0.46,1.41,0.93
sub-verse138_vert-23-seg-vert_msk,0.90,0.58,1.73,0.93
sub-verse138_vert-24-seg-vert_msk,0.85,0.85,3.32,0.79
sub-verse058_vert-19-seg-vert_msk,0.89,0.59,1.41,0.94
sub-verse058_vert-20-seg-vert_msk,0.88,0.57,1.73,0.91
sub-verse058_vert-21-seg-vert_msk,0.89,0.50,1.41,0.94
sub-verse058_vert-22-seg-vert_msk,0.88,0.54,1.73,0.91
sub-verse058_vert-23-seg-vert_msk,0.88,0.58,1.41,0.92
sub-verse058_vert-24-seg-vert_msk,0.87,0.69,2.00,0.89
sub-verse152_vert-19-seg-vert_msk,0.91,0.50,1.41,0.97
sub-verse152_vert-20-seg-vert_msk,0.88,0.58,1.41,0.95
sub-verse152_vert-21-seg-vert_msk,0.92,0.45,1.00,0.97
sub-verse152_vert-22-seg-vert_msk,0.89,0.59,1.73,0.92
sub-verse152_vert-23-seg-vert_msk,0.88,0.67,2.00,0.92
sub-verse152_vert-24-seg-vert_msk,0.85,0.78,2.45,0.81
sub-verse068_vert-16-seg-vert_msk,0.85,0.67,2.00,0.87
sub-verse068_vert-17-seg-vert_msk,0.88,0.54,2.00,0.91
sub-verse068_vert-18-seg-vert_msk,0.85,0.74,2.45,0.84
sub-verse068_vert-19-seg-vert_msk,0.85,0.78,2.24,0.85
sub-verse068_vert-20-seg-vert_msk,0.78,0.92,2.24,0.77
sub-verse068_vert-21-seg-vert_msk,0.84,0.79,2.00,0.86
sub-verse068_vert-22-seg-vert_msk,0.85,0.70,2.24,0.83
sub-verse068_vert-23-seg-vert_msk,0.87,0.65,2.24,0.85
sub-verse068_vert-24-seg-vert_msk,0.82,0.80,3.46,0.73
sub-verse409_split-verse266_vert-10-seg-vert_msk,0.80,0.77,3.40,0.81
sub-verse409_split-verse266_vert-11-seg-vert_msk,0.69,1.98,6.71,0.68
sub-verse409_split-verse266_vert-12-seg-vert_msk,0.70,1.93,7.00,0.71
sub-verse409_split-verse266_vert-13-seg-vert_msk,0.71,2.09,7.00,0.68
sub-verse409_split-verse266_vert-14-seg-vert_msk,0.65,2.16,6.40,0.58
sub-verse409_split-verse266_vert-15-seg-vert_msk,0.66,2.22,7.68,0.61
sub-verse409_split-verse266_vert-16-seg-vert_msk,0.69,2.15,7.36,0.63
sub-verse409_split-verse266_vert-17-seg-vert_msk,0.68,1.90,6.40,0.57
sub-verse409_split-verse266_vert-18-seg-vert_msk,0.71,1.90,6.56,0.60
sub-verse409_split-verse266_vert-19-seg-vert_msk,0.75,1.70,6.10,0.67
sub-verse409_split-verse266_vert-20-seg-vert_msk,0.71,1.32,5.74,0.54
sub-verse409_split-verse266_vert-21-seg-vert_msk,0.64,1.35,7.07,0.48
sub-verse409_split-verse266_vert-22-seg-vert_msk,0.67,1.10,6.40,0.54
sub-verse409_split-verse266_vert-23-seg-vert_msk,0.65,1.63,5.48,0.46
sub-verse409_split-verse266_vert-24-seg-vert_msk,0.77,1.13,4.47,0.61
sub-verse409_split-verse266_vert-8-seg-vert_msk,0.85,0.55,1.73,0.92
sub-verse409_split-verse266_vert-9-seg-vert_msk,0.84,0.69,2.45,0.89
sub-verse073_vert-20-seg-vert_msk,0.88,0.63,1.73,0.92
sub-verse073_vert-21-seg-vert_msk,0.88,0.61,1.73,0.92
sub-verse073_vert-22-seg-vert_msk,0.84,0.81,3.00,0.82
sub-verse073_vert-23-seg-vert_msk,0.87,0.67,2.00,0.87
sub-verse073_vert-24-seg-vert_msk,0.86,0.72,2.00,0.87
sub-verse095_vert-10-seg-vert_msk,0.88,0.45,1.41,0.96
sub-verse095_vert-11-seg-vert_msk,0.80,0.73,2.00,0.89
sub-verse095_vert-12-seg-vert_msk,0.87,0.48,1.41,0.96
sub-verse095_vert-13-seg-vert_msk,0.87,0.56,1.41,0.95
sub-verse095_vert-14-seg-vert_msk,0.87,0.54,1.41,0.95
sub-verse095_vert-15-seg-vert_msk,0.89,0.52,1.41,0.96
sub-verse095_vert-16-seg-vert_msk,0.89,0.52,1.41,0.96
sub-verse095_vert-17-seg-vert_msk,0.90,0.50,1.41,0.95
sub-verse095_vert-18-seg-vert_msk,0.90,0.57,1.41,0.96
sub-verse095_vert-19-seg-vert_msk,0.90,0.53,1.41,0.96
sub-verse095_vert-20-seg-vert_msk,0.92,0.42,1.00,0.97
sub-verse095_vert-21-seg-vert_msk,0.91,0.48,1.41,0.97
sub-verse095_vert-22-seg-vert_msk,0.90,0.50,1.41,0.96
sub-verse095_vert-23-seg-vert_msk,0.88,0.61,1.41,0.93
sub-verse095_vert-24-seg-vert_msk,0.88,0.61,1.73,0.91
sub-verse095_vert-8-seg-vert_msk,0.81,0.68,2.83,0.83
sub-verse095_vert-9-seg-vert_msk,0.86,0.53,1.41,0.95
sub-verse410_split-verse227_vert-1-seg-vert_msk,0.45,5.22,17.20,0.70
sub-verse410_split-verse227_vert-2-seg-vert_msk,0.81,1.10,2.22,0.91
sub-verse410_split-verse227_vert-3-seg-vert_msk,0.78,0.76,2.24,0.91
sub-verse410_split-verse227_vert-4-seg-vert_msk,0.79,0.67,1.73,0.96
sub-verse410_split-verse227_vert-5-seg-vert_msk,0.78,1.11,6.35,0.96
sub-verse410_split-verse227_vert-6-seg-vert_msk,0.82,0.53,1.41,0.96
sub-verse410_split-verse227_vert-7-seg-vert_msk,0.84,0.57,1.41,0.96
sub-verse410_split-verse227_vert-8-seg-vert_msk,0.88,0.51,1.41,0.98
sub-verse053_vert-20-seg-vert_msk,0.90,0.47,1.41,0.95
sub-verse053_vert-21-seg-vert_msk,0.83,0.63,3.00,0.81
sub-verse053_vert-22-seg-vert_msk,0.79,1.08,5.83,0.67
sub-verse053_vert-23-seg-vert_msk,0.75,1.33,5.39,0.67
sub-verse053_vert-24-seg-vert_msk,0.63,1.64,5.83,0.50
