id,spl,spa,avbh,pvbh,svbl,ivbl,vcl
sub-verse006_vert-23,1.920,9.870,2.050,2.220,2.030,1.020,1.230
sub-verse073_vert-20,0.110,5.310,1.000,0.100,0.540,4.930,0.240
sub-verse073_vert-21,0.040,4.390,1.800,0.410,2.150,0.430,0.650
sub-verse073_vert-23,0.360,2.180,0.090,0.100,1.350,0.130,1.000
sub-verse073_vert-22,0.830,5.800,0.000,1.920,1.450,4.430,0.330
sub-verse073_vert-24,0.700,18.130,1.720,0.900,2.650,0.770,0.660
sub-verse095_vert-10,1.560,1.650,0.940,0.380,0.720,0.840,0.740
sub-verse095_vert-11,0.890,6.940,2.050,2.730,0.750,1.420,1.120
sub-verse095_vert-12,1.310,8.400,2.100,0.030,0.700,1.470,0.050
sub-verse095_vert-14,0.910,0.850,0.670,1.650,2.150,1.130,1.010
sub-verse095_vert-13,8.410,3.950,0.750,0.570,3.010,1.910,0.910
sub-verse095_vert-15,1.610,62.220,2.380,0.150,1.290,1.140,0.290
sub-verse095_vert-16,0.300,4.950,0.820,0.430,1.950,1.330,0.090
sub-verse095_vert-17,0.560,88.700,0.940,0.530,0.890,0.280,0.750
sub-verse095_vert-19,0.770,72.700,0.100,0.450,0.130,2.980,1.150
sub-verse095_vert-18,1.340,100.020,0.320,1.280,0.290,0.850,0.110
sub-verse095_vert-20,0.480,84.790,0.980,0.350,0.870,1.720,0.490
sub-verse095_vert-22,2.240,7.380,0.930,0.570,0.400,0.240,0.930
sub-verse125_vert-10,0.890,8.620,0.530,0.490,0.590,2.060,0.040
sub-verse095_vert-23,0.470,24.170,0.330,1.670,2.100,2.410,1.340
sub-verse095_vert-24,1.180,1.710,0.250,1.800,4.210,1.810,1.350
sub-verse095_vert-21,0.670,82.020,1.820,0.440,0.130,1.030,0.160
sub-verse125_vert-11,1.520,10.980,0.700,1.150,0.790,1.490,0.170
sub-verse095_vert-9,1.020,7.350,0.010,1.220,1.400,0.840,0.170
sub-verse125_vert-12,4.440,1.150,0.070,0.640,1.210,1.170,0.180
sub-verse095_vert-8,0.120,3.570,1.150,0.120,0.710,0.020,1.420
sub-verse125_vert-13,13.170,2.830,0.780,1.020,3.240,0.150,0.160
sub-verse125_vert-15,0.810,3.690,1.110,0.460,2.460,2.900,0.620
sub-verse125_vert-14,0.740,1.450,0.300,0.470,1.010,0.440,0.380
sub-verse125_vert-17,0.010,0.540,0.190,0.580,0.840,0.560,0.880
sub-verse125_vert-16,0.320,0.800,0.600,0.320,0.190,1.660,0.600
sub-verse125_vert-19,1.400,2.950,2.460,0.450,0.980,2.040,0.720
sub-verse125_vert-20,1.440,7.580,2.150,2.450,0.650,0.200,0.770
sub-verse125_vert-9,0.490,6.340,0.610,0.970,0.350,0.280,0.660
sub-verse125_vert-18,2.140,1.030,1.520,0.240,1.140,0.120,0.560
sub-verse127_vert-10,4.420,0.150,1.630,0.980,1.080,1.070,0.280
sub-verse127_vert-12,0.750,55.460,0.470,3.700,2.490,3.680,0.660
sub-verse127_vert-13,3.000,4.590,4.070,2.110,2.280,1.840,0.610
sub-verse127_vert-11,1.060,2.170,1.760,2.540,0.070,3.790,0.910
sub-verse127_vert-15,1.280,4.290,1.410,0.470,2.700,0.710,0.720
sub-verse127_vert-14,0.510,1.060,1.690,0.310,2.730,1.520,1.960
sub-verse127_vert-16,1.170,56.460,1.240,0.620,0.120,0.630,0.540
sub-verse127_vert-17,2.160,0.490,3.490,0.320,0.330,1.780,0.920
sub-verse127_vert-18,2.030,6.960,2.810,0.700,0.980,0.110,2.410
sub-verse127_vert-19,0.150,3.680,0.310,3.900,1.030,1.890,0.840
sub-verse127_vert-20,2.340,13.520,0.300,0.800,1.180,3.580,1.250
sub-verse127_vert-21,0.030,28.640,0.830,0.140,1.570,0.220,2.540
sub-verse127_vert-22,0.030,2.300,0.150,0.280,1.830,0.920,0.510
sub-verse127_vert-8,1.290,22.280,0.400,0.580,3.300,1.430,0.590
sub-verse127_vert-9,0.000,1.530,0.600,0.460,0.760,1.670,0.640
sub-verse127_vert-23,0.940,2.080,0.570,0.090,0.070,0.490,0.710
sub-verse127_vert-24,0.860,5.990,0.780,2.100,0.910,1.180,0.700
sub-verse134_vert-20,0.190,11.610,2.450,2.410,1.340,0.390,0.960
sub-verse134_vert-21,0.560,4.200,2.440,2.450,1.490,2.990,0.520
sub-verse134_vert-22,0.830,2.440,0.690,0.640,0.950,0.590,0.830
sub-verse134_vert-23,1.120,0.570,0.630,2.430,1.920,0.960,0.420
sub-verse138_vert-16,1.170,74.270,0.480,1.550,1.920,1.560,1.040
sub-verse134_vert-24,2.170,8.080,2.890,0.270,1.220,4.610,0.720
sub-verse138_vert-17,0.560,1.090,0.560,0.390,0.310,0.930,0.570
sub-verse138_vert-19,1.610,1.480,0.450,1.020,1.000,2.120,0.000
sub-verse138_vert-20,2.200,1.660,0.240,0.350,0.850,1.950,1.840
sub-verse138_vert-18,3.190,9.600,4.080,0.150,2.090,1.500,0.010
sub-verse138_vert-21,0.760,1.490,0.630,1.280,8.190,2.680,2.590
sub-verse138_vert-22,0.000,3.530,0.840,0.150,0.660,0.640,0.680
sub-verse152_vert-19,1.390,15.200,0.800,0.500,0.170,1.290,0.700
sub-verse152_vert-21,0.520,6.470,0.560,0.600,1.320,0.960,0.020
sub-verse152_vert-20,1.240,1.930,0.520,0.050,1.230,2.390,0.170
sub-verse152_vert-22,2.070,121.260,0.910,2.350,0.730,0.000,0.060
sub-verse152_vert-23,1.890,5.850,2.030,0.610,0.770,0.210,0.340
sub-verse221_vert-1,5.080,69.070,6.100,6.680,1.060,15.100,0.170
sub-verse152_vert-24,0.080,126.590,1.530,0.210,4.240,4.380,1.190
sub-verse221_vert-2,0.300,58.550,6.920,2.500,11.760,14.580,0.120
sub-verse221_vert-3,12.490,28.920,2.150,3.040,1.030,1.730,0.060
sub-verse221_vert-5,1.430,25.110,2.090,3.960,7.980,0.210,1.670
sub-verse221_vert-4,3.010,0.360,3.160,2.400,1.770,0.340,0.450
sub-verse221_vert-6,4.840,1.480,1.090,2.890,0.190,1.760,1.950
sub-verse221_vert-7,1.350,4.890,1.390,1.960,0.360,1.590,0.840
sub-verse221_vert-8,1.040,1.290,0.700,0.150,0.190,0.490,0.940
sub-verse221_vert-9,2.180,7.020,0.280,1.040,1.960,0.790,0.610
sub-verse402_split-verse251_vert-11,0.010,55.480,2.270,0.790,1.190,0.060,0.170
sub-verse402_split-verse251_vert-12,5.400,32.650,0.620,0.040,0.720,1.160,0.530
sub-verse402_split-verse251_vert-10,1.430,0.470,0.890,1.900,1.070,1.010,0.270
sub-verse402_split-verse251_vert-15,2.270,3.640,2.410,0.700,1.470,0.790,0.490
sub-verse402_split-verse251_vert-13,7.480,30.810,0.910,0.540,1.440,3.950,0.040
sub-verse402_split-verse251_vert-14,11.450,10.830,0.580,1.690,0.040,3.940,0.870
sub-verse402_split-verse251_vert-16,0.810,3.990,0.490,0.480,0.210,1.320,0.260
sub-verse402_split-verse251_vert-17,1.200,2.900,0.400,0.360,0.070,0.000,0.430
sub-verse402_split-verse251_vert-18,2.850,7.440,0.150,1.450,3.470,2.590,0.440
sub-verse402_split-verse251_vert-20,2.770,26.020,0.780,0.120,0.150,2.600,0.920
sub-verse402_split-verse251_vert-19,1.200,16.180,3.650,0.630,2.610,1.700,1.520
sub-verse402_split-verse251_vert-21,0.290,70.780,0.010,1.020,0.410,0.420,0.720
sub-verse402_split-verse251_vert-6,7.620,2.450,0.830,1.100,4.620,1.320,1.390
sub-verse402_split-verse251_vert-22,1.080,6.600,0.950,0.660,0.610,1.010,0.910
sub-verse402_split-verse251_vert-7,1.730,8.200,0.630,1.520,2.070,0.960,0.070
sub-verse402_split-verse251_vert-24,2.610,10.400,3.520,0.860,2.440,1.190,1.400
sub-verse402_split-verse251_vert-9,9.580,32.380,2.400,3.890,6.220,0.710,1.040
sub-verse402_split-verse251_vert-8,0.570,47.990,0.120,0.290,1.840,1.930,1.970
sub-verse406_split-verse261_vert-10,5.820,97.420,0.760,0.750,1.340,0.080,0.430
sub-verse406_split-verse261_vert-11,7.490,4.880,1.840,1.100,1.690,1.780,0.890
sub-verse406_split-verse261_vert-12,6.370,14.730,0.420,0.080,2.710,0.560,1.270
sub-verse406_split-verse261_vert-13,2.980,0.300,1.920,1.510,0.430,0.710,0.990
sub-verse406_split-verse261_vert-14,3.130,12.990,0.240,0.810,0.960,0.910,1.410
sub-verse406_split-verse261_vert-15,9.980,7.200,0.540,0.760,2.220,0.230,0.430
sub-verse406_split-verse261_vert-16,13.080,10.480,1.060,3.490,6.650,2.790,1.640
sub-verse406_split-verse261_vert-19,5.620,32.500,0.210,0.280,14.360,0.310,1.180
sub-verse406_split-verse261_vert-21,2.980,21.400,0.300,0.890,0.850,0.520,0.630
sub-verse406_split-verse261_vert-20,7.800,16.410,2.250,5.920,0.180,0.140,0.660
sub-verse406_split-verse261_vert-22,0.200,7.650,0.630,0.090,0.600,0.840,0.360
sub-verse406_split-verse261_vert-24,1.960,4.200,0.390,1.220,1.500,3.380,1.370
sub-verse406_split-verse261_vert-23,0.420,3.540,0.510,2.410,1.850,0.740,0.130
sub-verse406_split-verse261_vert-7,3.150,15.060,0.590,0.320,0.890,0.480,0.030
sub-verse406_split-verse261_vert-9,3.670,74.200,1.080,1.070,1.310,2.210,1.100
sub-verse406_split-verse261_vert-8,10.180,59.380,2.410,3.820,1.750,6.450,0.480
sub-verse409_split-verse266_vert-10,0.550,50.510,0.000,0.050,1.710,3.290,0.380
sub-verse409_split-verse266_vert-11,3.910,39.990,1.210,0.740,1.250,0.550,2.070
sub-verse409_split-verse266_vert-12,3.130,42.820,0.100,1.250,4.080,1.730,0.350
sub-verse409_split-verse266_vert-14,14.600,49.170,1.260,0.080,2.720,2.220,0.850
sub-verse409_split-verse266_vert-15,1.770,67.680,0.130,1.750,1.320,4.460,1.020
sub-verse409_split-verse266_vert-16,3.060,82.240,0.380,3.080,3.570,1.340,0.630
sub-verse409_split-verse266_vert-17,0.070,85.150,0.500,0.060,2.030,3.310,1.460
sub-verse409_split-verse266_vert-21,7.610,30.330,3.310,1.740,1.720,2.520,1.690
sub-verse409_split-verse266_vert-22,8.590,7.730,2.160,0.540,4.170,3.030,2.180
sub-verse409_split-verse266_vert-8,1.270,1.240,2.960,0.690,2.200,1.890,0.370
sub-verse409_split-verse266_vert-24,3.870,13.650,0.500,0.960,9.390,1.660,1.560
sub-verse410_split-verse227_vert-4,0.470,76.890,0.240,0.360,0.690,1.230,0.180
sub-verse410_split-verse227_vert-5,1.200,69.540,0.360,1.420,0.660,1.670,0.720
sub-verse410_split-verse227_vert-3,3.170,1.140,0.770,1.110,5.580,5.480,0.280
sub-verse410_split-verse227_vert-2,0.570,8.820,1.780,0.670,4.440,1.310,0.020
sub-verse409_split-verse266_vert-9,0.760,29.900,0.830,1.200,2.600,0.010,0.170
sub-verse410_split-verse227_vert-6,1.410,2.330,1.780,1.380,0.620,0.470,0.600
sub-verse410_split-verse227_vert-7,1.160,0.160,1.930,1.570,1.390,0.240,0.810
sub-verse410_split-verse267_vert-10,11.150,1.130,0.100,0.930,2.480,0.310,0.530
sub-verse410_split-verse227_vert-8,0.830,1.980,3.410,1.800,0.420,1.490,0.530
sub-verse410_split-verse267_vert-11,1.220,48.730,1.110,0.460,1.390,4.970,0.820
sub-verse410_split-verse267_vert-12,9.110,30.010,0.910,0.710,0.690,2.700,0.020
sub-verse410_split-verse267_vert-13,0.770,3.150,2.630,0.660,0.930,1.810,0.940
sub-verse410_split-verse267_vert-14,0.180,5.790,0.960,0.560,0.550,1.220,0.030
sub-verse410_split-verse267_vert-17,0.010,1.870,0.880,1.050,6.370,3.580,0.250
sub-verse410_split-verse267_vert-15,1.550,9.950,2.030,0.210,0.460,0.170,0.240
sub-verse410_split-verse267_vert-16,2.600,7.810,0.740,1.950,0.100,0.010,0.390
sub-verse410_split-verse267_vert-18,0.890,4.980,0.630,0.370,0.240,1.640,0.710
sub-verse410_split-verse267_vert-20,0.700,9.480,0.250,0.890,0.560,2.020,0.010
sub-verse410_split-verse267_vert-23,4.000,22.680,1.900,0.400,0.270,5.680,1.100
sub-verse410_split-verse267_vert-21,0.690,8.080,0.860,0.970,1.290,0.810,0.100
sub-verse410_split-verse267_vert-19,1.300,135.580,1.770,0.780,2.270,0.060,0.400
sub-verse410_split-verse267_vert-24,1.690,20.480,0.390,1.800,1.260,1.970,1.860
sub-verse410_split-verse267_vert-22,2.020,13.480,1.370,0.310,1.820,2.990,0.020
sub-verse410_split-verse267_vert-8,0.580,98.470,1.230,0.390,4.980,2.720,0.290
sub-verse410_split-verse267_vert-9,1.800,32.870,1.990,1.870,2.180,2.450,0.340
