subject-id,DSC,ASD,HD95,NSD
sub-verse138_vert-16-seg-vert_msk,0.85,0.68,2.24,0.86
sub-verse138_vert-17-seg-vert_msk,0.86,0.62,2.45,0.84
sub-verse138_vert-18-seg-vert_msk,0.84,0.75,2.24,0.82
sub-verse138_vert-19-seg-vert_msk,0.85,0.77,2.24,0.81
sub-verse138_vert-20-seg-vert_msk,0.86,0.65,2.24,0.84
sub-verse138_vert-21-seg-vert_msk,0.87,0.69,2.00,0.89
sub-verse138_vert-22-seg-vert_msk,0.89,0.61,2.00,0.90
sub-verse138_vert-23-seg-vert_msk,0.85,0.77,3.00,0.80
sub-verse138_vert-24-seg-vert_msk,0.80,1.06,4.35,0.65
sub-verse058_vert-19-seg-vert_msk,0.86,0.77,2.24,0.87
sub-verse058_vert-20-seg-vert_msk,0.86,0.75,2.00,0.87
sub-verse058_vert-21-seg-vert_msk,0.87,0.69,2.00,0.89
sub-verse058_vert-22-seg-vert_msk,0.85,0.68,2.83,0.82
sub-verse058_vert-23-seg-vert_msk,0.86,0.75,2.24,0.85
sub-verse058_vert-24-seg-vert_msk,0.84,0.84,2.45,0.79
sub-verse152_vert-19-seg-vert_msk,0.86,0.81,2.00,0.92
sub-verse152_vert-20-seg-vert_msk,0.83,0.88,2.24,0.83
sub-verse152_vert-21-seg-vert_msk,0.86,0.79,2.00,0.90
sub-verse152_vert-22-seg-vert_msk,0.86,0.78,2.00,0.87
sub-verse152_vert-23-seg-vert_msk,0.85,0.92,2.24,0.83
sub-verse152_vert-24-seg-vert_msk,0.81,1.03,3.00,0.69
sub-verse068_vert-16-seg-vert_msk,0.82,0.82,2.24,0.82
sub-verse068_vert-17-seg-vert_msk,0.85,0.75,2.24,0.84
sub-verse068_vert-18-seg-vert_msk,0.83,0.70,3.00,0.78
sub-verse068_vert-19-seg-vert_msk,0.81,0.85,3.74,0.73
sub-verse068_vert-20-seg-vert_msk,0.76,1.07,2.83,0.70
sub-verse068_vert-21-seg-vert_msk,0.83,0.79,2.24,0.79
sub-verse068_vert-22-seg-vert_msk,0.85,0.71,2.45,0.81
sub-verse068_vert-23-seg-vert_msk,0.84,0.84,2.24,0.81
sub-verse068_vert-24-seg-vert_msk,0.83,0.80,3.46,0.76
sub-verse409_split-verse266_vert-10-seg-vert_msk,0.69,1.36,4.42,0.62
sub-verse409_split-verse266_vert-11-seg-vert_msk,0.66,1.68,4.33,0.58
sub-verse409_split-verse266_vert-12-seg-vert_msk,0.71,1.38,3.74,0.67
sub-verse409_split-verse266_vert-13-seg-vert_msk,0.70,1.46,4.12,0.60
sub-verse409_split-verse266_vert-14-seg-vert_msk,0.68,1.65,4.12,0.56
sub-verse409_split-verse266_vert-15-seg-vert_msk,0.71,1.57,4.12,0.60
sub-verse409_split-verse266_vert-16-seg-vert_msk,0.73,1.45,4.24,0.63
sub-verse409_split-verse266_vert-17-seg-vert_msk,0.69,1.67,5.10,0.53
sub-verse409_split-verse266_vert-18-seg-vert_msk,0.71,1.68,4.58,0.54
sub-verse409_split-verse266_vert-19-seg-vert_msk,0.74,1.36,4.69,0.57
sub-verse409_split-verse266_vert-20-seg-vert_msk,0.73,1.27,6.32,0.53
sub-verse409_split-verse266_vert-21-seg-vert_msk,0.68,1.41,5.74,0.45
sub-verse409_split-verse266_vert-22-seg-vert_msk,0.64,1.35,7.68,0.39
sub-verse409_split-verse266_vert-23-seg-vert_msk,0.62,1.58,6.48,0.35
sub-verse409_split-verse266_vert-24-seg-vert_msk,0.73,1.27,5.00,0.50
sub-verse409_split-verse266_vert-8-seg-vert_msk,0.77,0.86,2.83,0.76
sub-verse409_split-verse266_vert-9-seg-vert_msk,0.79,0.84,2.24,0.80
sub-verse073_vert-20-seg-vert_msk,0.83,0.87,2.45,0.80
sub-verse073_vert-21-seg-vert_msk,0.82,0.88,3.00,0.77
sub-verse073_vert-22-seg-vert_msk,0.76,1.15,3.61,0.64
sub-verse073_vert-23-seg-vert_msk,0.79,1.13,3.00,0.72
sub-verse073_vert-24-seg-vert_msk,0.81,1.00,2.83,0.74
sub-verse095_vert-10-seg-vert_msk,0.81,0.72,2.24,0.86
sub-verse095_vert-11-seg-vert_msk,0.73,1.11,2.83,0.76
sub-verse095_vert-12-seg-vert_msk,0.81,0.77,2.00,0.88
sub-verse095_vert-13-seg-vert_msk,0.80,0.83,2.00,0.87
sub-verse095_vert-14-seg-vert_msk,0.84,0.73,1.73,0.92
sub-verse095_vert-15-seg-vert_msk,0.83,0.82,2.00,0.89
sub-verse095_vert-16-seg-vert_msk,0.84,0.75,1.73,0.91
sub-verse095_vert-17-seg-vert_msk,0.85,0.73,2.00,0.88
sub-verse095_vert-18-seg-vert_msk,0.87,0.71,1.73,0.91
sub-verse095_vert-19-seg-vert_msk,0.86,0.83,2.00,0.89
sub-verse095_vert-20-seg-vert_msk,0.87,0.73,2.00,0.91
sub-verse095_vert-21-seg-vert_msk,0.86,0.80,2.00,0.89
sub-verse095_vert-22-seg-vert_msk,0.86,0.75,2.00,0.89
sub-verse095_vert-23-seg-vert_msk,0.83,0.90,2.24,0.82
sub-verse095_vert-24-seg-vert_msk,0.84,0.87,2.24,0.82
sub-verse095_vert-8-seg-vert_msk,0.78,0.89,2.24,0.81
sub-verse095_vert-9-seg-vert_msk,0.82,0.71,1.73,0.90
