subject-id,DSC,ASD,HD95,NSD
rsna-49_vert-1-seg-vert_msk,0.56,2.18,5.00,0.57
rsna-49_vert-2-seg-vert_msk,0.64,1.55,3.74,0.59
rsna-49_vert-3-seg-vert_msk,0.57,1.97,4.58,0.57
rsna-49_vert-4-seg-vert_msk,0.62,1.50,3.61,0.59
rsna-49_vert-5-seg-vert_msk,0.60,1.76,4.24,0.61
rsna-49_vert-6-seg-vert_msk,0.65,1.35,3.16,0.64
rsna-49_vert-7-seg-vert_msk,0.77,0.93,2.45,0.79
rsna-49_vert-8-seg-vert_msk,0.79,1.01,2.24,0.80
rsna-65_vert-1-seg-vert_msk,0.65,1.23,3.74,0.59
rsna-65_vert-3-seg-vert_msk,0.68,1.26,3.00,0.68
rsna-65_vert-4-seg-vert_msk,0.71,1.11,2.83,0.71
rsna-65_vert-5-seg-vert_msk,0.72,1.05,2.45,0.73
rsna-65_vert-6-seg-vert_msk,0.73,1.00,2.45,0.73
rsna-65_vert-7-seg-vert_msk,0.77,0.86,3.00,0.78
rsna-65_vert-8-seg-vert_msk,0.79,0.93,2.45,0.77
rsna-70_vert-1-seg-vert_msk,0.48,2.24,6.33,0.46
rsna-70_vert-2-seg-vert_msk,0.68,1.16,6.78,0.52
rsna-70_vert-3-seg-vert_msk,0.69,1.21,3.16,0.66
rsna-70_vert-4-seg-vert_msk,0.65,1.32,3.61,0.60
rsna-70_vert-5-seg-vert_msk,0.69,1.06,3.00,0.64
rsna-70_vert-6-seg-vert_msk,0.66,1.25,3.32,0.60
rsna-70_vert-7-seg-vert_msk,0.74,1.11,2.83,0.72
rsna-70_vert-8-seg-vert_msk,0.78,0.84,3.00,0.72
rsna-33_vert-1-seg-vert_msk,0.42,4.14,11.47,0.45
rsna-33_vert-2-seg-vert_msk,0.53,2.92,8.06,0.38
rsna-33_vert-3-seg-vert_msk,0.59,1.90,4.36,0.56
rsna-33_vert-4-seg-vert_msk,0.73,1.07,2.45,0.75
rsna-33_vert-7-seg-vert_msk,0.74,1.12,2.83,0.74
rsna-33_vert-8-seg-vert_msk,0.79,1.00,2.83,0.79
rsna-83_vert-1-seg-vert_msk,0.54,1.95,4.90,0.58
rsna-83_vert-2-seg-vert_msk,0.70,1.20,3.11,0.70
rsna-83_vert-3-seg-vert_msk,0.65,1.31,3.00,0.67
rsna-83_vert-4-seg-vert_msk,0.67,1.22,2.83,0.68
rsna-83_vert-5-seg-vert_msk,0.63,1.45,3.00,0.64
rsna-83_vert-6-seg-vert_msk,0.62,1.80,4.35,0.63
rsna-83_vert-7-seg-vert_msk,0.70,1.26,2.83,0.69
rsna-83_vert-8-seg-vert_msk,0.67,1.22,3.61,0.60
rsna-83_vert-9-seg-vert_msk,0.72,1.11,2.83,0.72
rsna-35_vert-1-seg-vert_msk,0.58,2.42,5.10,0.61
rsna-35_vert-2-seg-vert_msk,0.73,1.10,3.00,0.70
