id,gt_or_pred,spl,spa,avbh,pvbh,svbl,ivbl,vcl
sub-verse023_vert-22,PRED,24.82,171.42,21.17,21.05,26.14,25.65,5.76
sub-verse006_vert-23,PRED,21.42,177.89,20.55,20.14,19.65,23.66,7.88
sub-verse006_vert-23,GT,38.17,100.12,39.04,41.34,86.06,63.91,48.40
sub-verse050_vert-10,PRED,101.74,95.82,31.83,35.03,22.53,0.56,54.51
sub-verse050_vert-11,PRED,104.12,95.00,29.14,32.11,0.55,0.23,52.20
sub-verse050_vert-13,GT,62.93,86.70,44.55,57.46,65.15,100.90,51.90
sub-verse050_vert-16,PRED,67.65,76.58,38.61,38.08,66.17,72.76,57.98
sub-verse050_vert-16,GT,64.21,93.06,32.19,37.91,65.14,62.26,56.13
sub-verse050_vert-22,GT,33.65,166.78,21.27,24.66,33.69,37.41,6.54
sub-verse050_vert-23,PRED,28.07,30.43,24.92,20.88,33.90,36.70,8.27
sub-verse058_vert-24,PRED,23.96,161.38,16.42,15.00,18.98,19.60,4.60
sub-verse058_vert-24,GT,19.93,135.20,36.94,31.54,45.81,46.94,39.27
sub-verse073_vert-20,GT,23.08,163.04,17.57,17.26,19.86,15.01,11.20
sub-verse073_vert-20,PRED,21.38,153.74,17.31,18.02,17.75,20.81,10.52
sub-verse073_vert-21,GT,25.29,159.43,16.27,17.19,19.98,21.31,10.36
sub-verse073_vert-21,PRED,23.43,153.32,18.59,14.14,21.78,21.66,9.83
sub-verse073_vert-22,GT,25.93,152.37,17.87,16.64,20.21,16.39,10.30
sub-verse073_vert-22,PRED,23.21,152.67,17.87,16.61,20.17,16.21,9.08
sub-verse073_vert-23,GT,22.54,149.81,18.97,16.18,19.03,20.04,9.61
sub-verse073_vert-23,PRED,22.81,148.15,19.59,17.17,20.62,21.45,8.88
sub-verse073_vert-24,GT,19.54,145.39,17.45,16.89,21.06,20.31,9.68
sub-verse073_vert-24,PRED,21.07,139.37,16.87,16.64,19.79,18.57,9.33
sub-verse095_vert-10,GT,27.96,127.51,12.76,10.47,10.78,12.52,11.26
sub-verse095_vert-10,PRED,24.52,137.39,11.56,12.01,9.69,12.28,8.98
sub-verse095_vert-11,GT,26.41,65.52,6.38,9.15,14.22,15.86,10.96
sub-verse095_vert-11,PRED,27.00,44.06,9.87,10.21,13.40,12.75,8.59
sub-verse095_vert-13,GT,20.56,72.88,12.52,12.89,17.99,18.30,10.80
sub-verse095_vert-12,GT,28.08,72.16,9.72,12.22,15.08,16.87,11.29
sub-verse095_vert-13,PRED,33.67,61.15,13.44,12.81,14.81,16.79,9.25
sub-verse095_vert-12,PRED,28.56,60.74,12.29,10.50,14.56,15.14,9.40
sub-verse095_vert-15,PRED,30.70,121.87,14.81,14.45,17.45,18.13,9.36
sub-verse095_vert-15,GT,29.41,120.56,11.29,13.49,16.83,17.68,9.82
sub-verse095_vert-14,GT,34.19,67.98,10.88,10.93,19.05,18.89,10.80
sub-verse095_vert-14,PRED,32.38,61.42,14.68,13.96,16.43,15.47,9.87
sub-verse095_vert-17,GT,23.68,49.66,14.41,15.28,18.21,19.38,10.66
sub-verse095_vert-16,PRED,27.04,128.11,14.95,13.57,20.60,19.70,9.44
sub-verse095_vert-16,GT,25.45,44.53,12.80,14.48,20.04,19.08,9.90
sub-verse095_vert-17,PRED,26.10,135.17,15.86,16.46,18.96,17.04,9.16
sub-verse095_vert-18,PRED,21.41,134.31,15.65,16.67,18.72,16.30,9.37
sub-verse095_vert-18,GT,20.92,130.59,14.63,15.41,18.95,19.36,10.91
sub-verse095_vert-19,GT,22.39,123.78,15.81,17.74,20.15,21.92,12.69
sub-verse095_vert-19,PRED,24.21,41.71,17.82,19.03,18.44,18.13,10.80
sub-verse095_vert-21,PRED,26.79,132.46,19.87,19.67,19.29,20.17,11.03
sub-verse095_vert-20,PRED,24.56,46.18,18.72,19.51,19.10,16.16,11.07
sub-verse095_vert-22,PRED,26.31,41.98,19.03,18.27,23.41,21.46,10.62
sub-verse095_vert-20,GT,24.94,50.16,15.81,17.58,20.95,21.33,12.29
sub-verse095_vert-21,GT,26.21,133.62,15.74,17.63,20.90,20.94,12.10
sub-verse095_vert-8,PRED,25.00,141.48,9.59,10.02,8.31,9.90,8.90
sub-verse095_vert-23,PRED,24.88,39.56,19.32,17.65,22.18,21.78,9.58
sub-verse095_vert-9,PRED,23.47,143.91,11.37,10.47,8.82,9.13,9.02
sub-verse095_vert-23,GT,22.81,23.36,17.22,15.20,23.38,22.24,9.69
sub-verse095_vert-24,GT,20.43,30.09,18.76,17.61,16.65,15.48,10.87
sub-verse095_vert-9,GT,24.65,144.19,9.53,8.92,10.81,11.54,10.70
sub-verse125_vert-10,GT,23.93,51.94,9.70,10.51,13.02,12.99,9.32
sub-verse125_vert-11,GT,27.37,61.32,10.95,9.52,13.84,14.65,10.22
sub-verse095_vert-22,GT,23.60,32.94,16.45,17.20,21.13,20.23,12.30
sub-verse125_vert-12,GT,28.08,66.75,10.25,11.23,14.80,13.95,10.48
sub-verse095_vert-8,GT,22.79,147.07,9.78,9.37,8.68,8.89,11.43
sub-verse125_vert-10,PRED,23.68,37.33,11.10,9.40,13.44,14.30,8.51
sub-verse125_vert-11,PRED,24.99,46.28,13.13,11.75,14.03,12.43,9.44
sub-verse125_vert-13,GT,31.08,78.22,6.52,10.67,19.43,18.10,9.83
sub-verse125_vert-13,PRED,23.97,57.21,9.45,11.30,13.51,16.50,9.54
sub-verse125_vert-12,PRED,25.34,63.54,12.68,13.30,13.17,15.11,10.07
sub-verse125_vert-14,GT,30.99,68.59,12.70,12.08,15.61,16.83,10.87
sub-verse095_vert-24,PRED,19.66,28.84,20.18,18.03,17.16,20.60,8.95
sub-verse125_vert-17,GT,23.63,44.75,12.62,12.69,18.94,18.94,9.93
sub-verse125_vert-14,PRED,19.60,69.05,12.75,13.40,15.76,15.25,8.92
