subject-id,DSC,ASD,HD95,NSD
sub-verse138_vert-16-seg-vert_msk,0.88,0.52,1.73,0.90
sub-verse138_vert-17-seg-vert_msk,0.88,0.53,2.00,0.91
sub-verse138_vert-18-seg-vert_msk,0.89,0.59,1.41,0.92
sub-verse138_vert-19-seg-vert_msk,0.89,0.59,1.41,0.93
sub-verse138_vert-20-seg-vert_msk,0.89,0.55,1.73,0.92
sub-verse138_vert-21-seg-vert_msk,0.90,0.54,1.41,0.93
sub-verse138_vert-22-seg-vert_msk,0.89,0.60,1.73,0.91
sub-verse138_vert-23-seg-vert_msk,0.87,0.80,2.24,0.88
sub-verse138_vert-24-seg-vert_msk,0.83,0.89,3.74,0.74
sub-verse058_vert-19-seg-vert_msk,0.88,0.64,1.73,0.93
sub-verse058_vert-20-seg-vert_msk,0.89,0.58,1.41,0.93
sub-verse058_vert-21-seg-vert_msk,0.88,0.55,1.41,0.93
sub-verse058_vert-22-seg-vert_msk,0.88,0.59,2.00,0.89
sub-verse058_vert-23-seg-vert_msk,0.86,0.76,2.00,0.89
sub-verse058_vert-24-seg-vert_msk,0.84,0.85,2.24,0.80
sub-verse152_vert-19-seg-vert_msk,0.88,0.70,1.73,0.94
sub-verse152_vert-20-seg-vert_msk,0.85,0.74,2.00,0.90
sub-verse152_vert-21-seg-vert_msk,0.87,0.71,2.00,0.92
sub-verse152_vert-22-seg-vert_msk,0.87,0.69,1.73,0.91
sub-verse152_vert-23-seg-vert_msk,0.85,0.94,2.45,0.84
sub-verse152_vert-24-seg-vert_msk,0.83,0.94,2.45,0.76
sub-verse068_vert-16-seg-vert_msk,0.87,0.57,1.41,0.93
sub-verse068_vert-17-seg-vert_msk,0.87,0.64,2.00,0.88
sub-verse068_vert-18-seg-vert_msk,0.86,0.69,2.00,0.84
sub-verse068_vert-19-seg-vert_msk,0.83,0.85,2.24,0.80
sub-verse068_vert-20-seg-vert_msk,0.81,0.85,2.24,0.80
sub-verse068_vert-21-seg-vert_msk,0.83,0.78,2.24,0.82
sub-verse068_vert-22-seg-vert_msk,0.88,0.59,2.00,0.87
sub-verse068_vert-23-seg-vert_msk,0.87,0.68,2.00,0.88
sub-verse068_vert-24-seg-vert_msk,0.85,0.71,2.83,0.81
sub-verse409_split-verse266_vert-10-seg-vert_msk,0.79,0.80,3.32,0.78
sub-verse409_split-verse266_vert-11-seg-vert_msk,0.80,0.80,3.00,0.80
sub-verse409_split-verse266_vert-12-seg-vert_msk,0.80,0.87,2.24,0.83
sub-verse409_split-verse266_vert-13-seg-vert_msk,0.76,1.15,3.16,0.72
sub-verse409_split-verse266_vert-14-seg-vert_msk,0.82,0.84,2.24,0.87
sub-verse409_split-verse266_vert-15-seg-vert_msk,0.79,1.41,5.29,0.78
sub-verse409_split-verse266_vert-16-seg-vert_msk,0.78,1.33,4.90,0.77
sub-verse409_split-verse266_vert-17-seg-vert_msk,0.69,1.72,5.83,0.60
sub-verse409_split-verse266_vert-18-seg-vert_msk,0.70,2.03,7.51,0.58
sub-verse409_split-verse266_vert-19-seg-vert_msk,0.74,1.48,5.20,0.58
sub-verse409_split-verse266_vert-20-seg-vert_msk,0.77,1.07,4.24,0.63
sub-verse409_split-verse266_vert-21-seg-vert_msk,0.67,1.41,6.40,0.46
sub-verse409_split-verse266_vert-22-seg-vert_msk,0.73,1.12,4.58,0.53
sub-verse409_split-verse266_vert-23-seg-vert_msk,0.64,1.65,5.39,0.41
sub-verse409_split-verse266_vert-24-seg-vert_msk,0.76,1.21,4.29,0.56
sub-verse409_split-verse266_vert-8-seg-vert_msk,0.78,0.72,2.83,0.80
sub-verse409_split-verse266_vert-9-seg-vert_msk,0.74,1.26,4.36,0.73
sub-verse073_vert-20-seg-vert_msk,0.87,0.73,2.00,0.90
sub-verse073_vert-21-seg-vert_msk,0.88,0.65,1.73,0.91
sub-verse073_vert-22-seg-vert_msk,0.85,0.79,2.24,0.84
sub-verse073_vert-23-seg-vert_msk,0.84,0.81,2.24,0.83
sub-verse073_vert-24-seg-vert_msk,0.83,0.87,2.24,0.79
sub-verse095_vert-10-seg-vert_msk,0.85,0.59,1.41,0.94
sub-verse095_vert-11-seg-vert_msk,0.78,0.82,1.73,0.87
sub-verse095_vert-12-seg-vert_msk,0.86,0.56,1.41,0.95
sub-verse095_vert-13-seg-vert_msk,0.83,0.72,2.00,0.89
sub-verse095_vert-14-seg-vert_msk,0.83,0.69,2.00,0.90
sub-verse095_vert-15-seg-vert_msk,0.85,0.66,2.00,0.91
sub-verse095_vert-16-seg-vert_msk,0.86,0.66,2.00,0.90
sub-verse095_vert-17-seg-vert_msk,0.87,0.64,1.73,0.92
sub-verse095_vert-18-seg-vert_msk,0.89,0.59,1.41,0.94
sub-verse095_vert-19-seg-vert_msk,0.89,0.60,1.41,0.93
sub-verse095_vert-20-seg-vert_msk,0.88,0.66,1.73,0.92
sub-verse095_vert-21-seg-vert_msk,0.88,0.62,1.41,0.94
