subject-id,DSC,ASD,HD95,NSD
sub-verse138,0.85,0.69,2.00,0.88
sub-verse138,0.88,0.51,2.24,0.88
sub-verse138,0.87,0.62,2.00,0.88
sub-verse138,0.89,0.58,2.00,0.88
sub-verse138,0.87,0.57,3.00,0.84
sub-verse138,0.89,0.56,2.00,0.89
sub-verse138,0.89,0.56,1.73,0.92
sub-verse138,0.87,0.69,2.24,0.83
sub-verse138,0.81,0.92,5.00,0.68
sub-verse058,0.88,0.59,1.41,0.92
sub-verse058,0.88,0.56,1.73,0.92
sub-verse058,0.89,0.54,1.41,0.94
sub-verse058,0.88,0.55,2.00,0.89
sub-verse058,0.87,0.67,2.00,0.89
sub-verse058,0.85,0.75,2.24,0.83
sub-verse152,0.90,0.54,1.00,0.97
sub-verse152,0.86,0.68,2.00,0.92
sub-verse152,0.90,0.53,1.41,0.96
sub-verse152,0.86,0.73,2.00,0.89
sub-verse152,0.85,0.86,2.24,0.87
sub-verse152,0.84,0.85,2.24,0.82
sub-verse068,0.83,0.71,2.00,0.88
sub-verse068,0.88,0.52,2.00,0.90
sub-verse068,0.86,0.59,2.83,0.85
sub-verse068,0.87,0.62,2.24,0.86
sub-verse068,0.81,0.80,2.24,0.80
sub-verse068,0.85,0.59,2.24,0.85
sub-verse068,0.88,0.57,2.24,0.87
sub-verse068,0.88,0.64,1.73,0.91
sub-verse068,0.81,0.84,3.61,0.72
sub-verse409,0.78,0.71,4.53,0.78
sub-verse409,0.75,0.82,5.74,0.71
sub-verse409,0.75,1.06,3.00,0.73
sub-verse409,0.70,1.40,4.47,0.64
sub-verse409,0.69,1.63,4.58,0.62
sub-verse409,0.69,1.66,6.32,0.62
sub-verse409,0.71,1.88,7.62,0.68
sub-verse409,0.67,1.99,6.63,0.58
sub-verse409,0.73,1.54,5.74,0.64
sub-verse409,0.76,1.28,4.36,0.63
sub-verse409,0.75,1.08,6.16,0.57
sub-verse409,0.68,1.35,5.20,0.48
sub-verse409,0.69,1.25,5.39,0.49
sub-verse409,0.65,1.54,5.00,0.46
sub-verse409,0.78,1.11,4.12,0.60
sub-verse409,0.80,0.68,2.24,0.84
sub-verse409,0.83,0.71,2.45,0.88
sub-verse073,0.86,0.72,2.24,0.89
sub-verse073,0.88,0.59,2.00,0.90
sub-verse073,0.85,0.76,2.24,0.85
sub-verse073,0.87,0.63,2.00,0.88
sub-verse073,0.87,0.61,2.24,0.87
sub-verse095,0.88,0.44,1.41,0.96
sub-verse095,0.80,0.75,1.76,0.90
sub-verse095,0.87,0.48,1.41,0.95
sub-verse095,0.84,0.64,1.41,0.94
sub-verse095,0.86,0.57,1.41,0.94
sub-verse095,0.86,0.63,2.00,0.92
sub-verse095,0.88,0.54,1.41,0.94
sub-verse095,0.89,0.58,1.41,0.94
sub-verse095,0.89,0.58,1.41,0.94
sub-verse095,0.88,0.57,1.73,0.91
sub-verse095,0.88,0.61,1.73,0.92
sub-verse095,0.89,0.57,1.41,0.94
sub-verse095,0.90,0.53,1.41,0.95
sub-verse095,0.87,0.69,2.00,0.88
sub-verse095,0.88,0.65,1.73,0.91
sub-verse095,0.79,0.71,2.45,0.82
sub-verse095,0.86,0.53,1.41,0.95
sub-verse410,0.65,1.05,3.32,0.75
sub-verse410,0.80,0.74,2.24,0.86
sub-verse410,0.77,0.77,2.24,0.91
sub-verse410,0.75,0.73,2.00,0.90
sub-verse410,0.74,0.98,2.83,0.91
sub-verse410,0.80,0.59,1.73,0.93
sub-verse410,0.84,0.53,1.41,0.95
sub-verse410,0.86,0.78,1.41,0.96
sub-verse053,0.89,0.46,2.00,0.91
sub-verse053,0.83,0.62,3.00,0.79
sub-verse053,0.81,0.87,5.00,0.73
sub-verse053,0.72,1.20,8.30,0.50
sub-verse053,0.61,1.49,6.40,0.40
sub-verse404,0.86,0.62,2.24,0.91
sub-verse404,0.84,0.62,2.24,0.87
sub-verse404,0.86,0.56,1.41,0.92
sub-verse404,0.89,0.40,1.41,0.95
sub-verse404,0.89,0.42,1.41,0.93
sub-verse404,0.88,0.55,1.41,0.93
sub-verse404,0.89,0.54,1.41,0.93
sub-verse404,0.87,0.64,1.73,0.90
sub-verse404,0.88,0.60,2.24,0.89
sub-verse404,0.89,0.56,2.00,0.90
sub-verse404,0.92,0.42,1.41,0.95
sub-verse404,0.91,0.48,1.41,0.96
sub-verse404,0.91,0.51,1.41,0.95
sub-verse404,0.88,0.65,2.00,0.88
sub-verse404,0.87,0.71,2.24,0.87
sub-verse404,0.78,0.79,2.00,0.88
sub-verse404,0.85,0.60,2.00,0.90
sub-verse404,0.87,0.54,1.41,0.94
sub-verse406,0.66,1.01,4.12,0.69
sub-verse406,0.73,0.83,3.16,0.71
sub-verse406,0.74,0.71,2.24,0.83
sub-verse406,0.79,0.64,1.73,0.91
sub-verse406,0.77,0.72,1.73,0.91
sub-verse406,0.77,0.64,2.45,0.84
sub-verse406,0.76,0.86,2.24,0.82
sub-verse406,0.74,0.89,3.16,0.72
sub-verse406,0.81,0.79,2.00,0.84
sub-verse402,0.86,0.61,1.73,0.91
sub-verse402,0.85,0.66,1.73,0.91
sub-verse402,0.83,0.79,2.45,0.85
